Standing,Team,Total,P,K,P,K,P,K,P,K
1.0,AAS,60,1,16,3,6,5,1,7,11
2.0,Sheriffs,45,6,3,1,11,10,3,4,6
3.0,KYKLOS,41,3,3,5,3,1,9,11,2
4.0,Xc,36,2,4,9,4,3,8,8,0
5.0,FC,35,8,3,8,2,4,0,1,9
6.0,Oilers,24,9,6,6,2,9,1,3,1
7.0,Royal Mooses,23,4,0,2,2,8,3,9,0
8.0,weeboys,20,5,0,4,3,11,3,12,3
9.0,Kissyourhomies,20,11,0,7,3,12,0,2,3
10.0,PepeGurls,16,13,0,12,0,6,6,5,1
11.0,Casuals4Fun,16,10,0,10,0,2,0,6,0
12.0,NRF-Gaming,7,7,0,11,0,13,0,10,0
13.0,Scorpions,6,12,0,13,0,7,0,13,0
14.0,Nooobix,0,20,0,20,0,20,0,20,0
