,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints
,Unnamed: 0_level_1,Team,Total,"Round 1 Round 1 March 20, 2022 - 12:00 SGTWorld's Edge Team Burger Lightning Unicorn Reignite","Round 1 Round 1 March 20, 2022 - 12:00 SGTWorld's Edge Team Burger Lightning Unicorn Reignite","Round 2 Round 2 March 20, 2022 - 12:30 SGTWorld's Edge Reignite ANT Esports Club Antiaa","Round 2 Round 2 March 20, 2022 - 12:30 SGTWorld's Edge Reignite ANT Esports Club Antiaa","Round 3 Round 3 March 20, 2022 - 13:00 SGTWorld's Edge Reignite Team Burger Inside The Ring","Round 3 Round 3 March 20, 2022 - 13:00 SGTWorld's Edge Reignite Team Burger Inside The Ring","Round 4 Round 4 March 20, 2022 - 13:30 SGTStorm Point Team Burger We Are Trash WEAREGODGAMERS","Round 4 Round 4 March 20, 2022 - 13:30 SGTStorm Point Team Burger We Are Trash WEAREGODGAMERS","Round 5 Round 5 March 20, 2022 - 14:00 SGTStorm Point DNZ FreeAgents MDY White","Round 5 Round 5 March 20, 2022 - 14:00 SGTStorm Point DNZ FreeAgents MDY White","Round 6 Round 6 March 20, 2022 - 14:30 SGTStorm Point Inside The Ring Emmanuel Team Burger","Round 6 Round 6 March 20, 2022 - 14:30 SGTStorm Point Inside The Ring Emmanuel Team Burger"
,Unnamed: 0_level_2,Team,Total,P,K,P,K,P,K,P,K,P,K,P,K
0,1.0,RIG,98,3,8,1,17,1,12,6,12,4,7,12,2
1,2.0,BRGR,85,1,6,9,0,2,13,1,11,10,4,3,7
2,3.0,ITR,64,7,6,16,3,3,7,5,3,6,3,1,13
3,4.0,FA,42,14,2,4,5,12,0,10,3,2,6,6,5
4,5.0,DNZ,41,18,0,18,0,8,6,15,0,1,15,11,4
5,6.0,ANT,34,5,7,2,8,18,1,8,2,12,0,16,0
6,7.0,EMM,34,4,3,15,0,13,3,13,0,11,0,2,10
7,8.0,WAT,34,12,0,5,4,11,1,2,7,9,1,7,1
8,9.0,MDY.W,29,15,3,13,0,7,1,7,3,3,7,17,0
9,10.0,LU,27,2,7,11,2,10,0,12,0,15,3,15,0
10,11.0,Antiaa,27,9,0,3,6,5,0,17,1,5,0,10,1
11,12.0,OC,22,6,1,12,2,17,0,4,3,14,0,8,4
12,13.0,WGG,20,11,3,10,1,16,0,3,5,18,0,13,0
13,14.0,PK,19,13,0,8,0,15,1,9,0,8,2,4,3
14,15.0,MON,16,10,2,14,0,14,1,18,0,7,3,9,1
15,16.0,DYN,15,8,1,6,0,6,0,16,1,17,0,5,1
16,17.0,MYTH,11,16,0,7,1,9,2,14,1,13,0,18,0
17,18.0,DREAM,9,17,1,17,0,4,1,11,0,16,0,14,0
18,19.0,NLN,0,0,0,0,0,0,0,0,0,0,0,0,0
19,20.0,YFM,0,0,0,0,0,0,0,0,0,0,0,0,0
