,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints
,Unnamed: 0_level_1,Team,Total,"Round 1 Round 1 March 27, 2022 - 16:00 SGTWorld's Edge Mythos Team Burger SLAy","Round 1 Round 1 March 27, 2022 - 16:00 SGTWorld's Edge Mythos Team Burger SLAy","Round 2 Round 2 March 27, 2022 - 16:30 SGTWorld's Edge BRP DreamFire MDY White","Round 2 Round 2 March 27, 2022 - 16:30 SGTWorld's Edge BRP DreamFire MDY White","Round 3 Round 3 March 27, 2022 - 17:00 SGTWorld's Edge Monkeyz Method2Madness Inside The Ring","Round 3 Round 3 March 27, 2022 - 17:00 SGTWorld's Edge Monkeyz Method2Madness Inside The Ring","Round 4 Round 4 March 27, 2022 - 17:30 SGTStorm Point Team Burger Method2Madness SLAy","Round 4 Round 4 March 27, 2022 - 17:30 SGTStorm Point Team Burger Method2Madness SLAy","Round 5 Round 5 March 27, 2022 - 18:00 SGTStorm Point We Are Trash SLAy Team Burger","Round 5 Round 5 March 27, 2022 - 18:00 SGTStorm Point We Are Trash SLAy Team Burger","Round 6 Round 6 March 27, 2022 - 18:30 SGTStorm Point Team Burger Primis Komanda Mythos","Round 6 Round 6 March 27, 2022 - 18:30 SGTStorm Point Team Burger Primis Komanda Mythos"
,Unnamed: 0_level_2,Team,Total,P,K,P,K,P,K,P,K,P,K,P,K
0,1.0,BRGR,91,2,10,9,3,8,2,1,10,3,10,1,12
1,2.0,M2,56,9,0,8,2,2,7,2,18,5,1,8,0
2,3.0,MDY.W,53,5,2,3,15,4,8,15,0,9,5,13,3
3,4.0,MYTH,50,1,6,5,3,11,3,10,3,10,0,3,7
4,5.0,BRP,48,6,6,1,10,13,0,4,0,6,2,6,3
5,6.0,MON,48,4,2,4,2,1,6,11,2,4,2,5,2
6,7.0,SLAY,40,3,3,7,1,7,0,3,2,2,4,11,0
7,8.0,DF,37,14,0,2,7,6,1,8,2,8,3,9,5
8,9.0,WAT,35,13,3,15,0,12,0,12,0,1,15,14,0
9,10.0,PK,32,10,0,10,0,5,4,5,4,13,1,2,1
10,11.0,ITR,26,7,2,6,0,3,6,9,0,15,0,10,0
11,12.0,WGG,23,12,3,11,0,15,0,7,0,7,4,4,2
12,13.0,STB,18,8,2,14,0,14,1,6,1,12,0,7,3
13,14.0,DESI,12,15,0,13,0,10,2,14,0,14,0,12,3
14,15.0,WHIZ,10,11,3,12,0,9,0,13,0,11,0,15,0
15,16.0,DREAM,0,0,0,0,0,0,0,0,0,0,0,0,0
16,17.0,GS,0,0,0,0,0,0,0,0,0,0,0,0,0
17,18.0,PWLS,0,0,0,0,0,0,0,0,0,0,0,0,0
18,19.0,SMC,0,0,0,0,0,0,0,0,0,0,0,0,0
19,20.0,YFM,0,0,0,0,0,0,0,0,0,0,0,0,0
