,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints
,Unnamed: 0_level_1,Team,Total,"Round 1 Round 1 March 26, 2022 - 15:00 SGTWorld's EdgeMissing: nxl wolpack DML Monkeyz","Round 1 Round 1 March 26, 2022 - 15:00 SGTWorld's EdgeMissing: nxl wolpack DML Monkeyz","Round 2 Round 2 March 26, 2022 - 15:30 SGTWorld's Edge Sutoraiku Team Burger ATHXHVY","Round 2 Round 2 March 26, 2022 - 15:30 SGTWorld's Edge Sutoraiku Team Burger ATHXHVY","Round 3 Round 3 March 26, 2022 - 16:00 SGTWorld's Edge Sutoraiku Primis Komanda NXL WOLFPACK","Round 3 Round 3 March 26, 2022 - 16:00 SGTWorld's Edge Sutoraiku Primis Komanda NXL WOLFPACK","Round 4 Round 4 March 26, 2022 - 16:30 SGTStorm Point Sutoraiku EXO Clan Team Burger","Round 4 Round 4 March 26, 2022 - 16:30 SGTStorm Point Sutoraiku EXO Clan Team Burger","Round 5 Round 5 March 26, 2022 - 17:00 SGTStorm Point Team Burger FW Esports We Are Trash","Round 5 Round 5 March 26, 2022 - 17:00 SGTStorm Point Team Burger FW Esports We Are Trash","Round 6 Round 6 March 26, 2022 - 20:30 SGTStorm Point NXL WOLFPACK Team Burger Monkeyz","Round 6 Round 6 March 26, 2022 - 20:30 SGTStorm Point NXL WOLFPACK Team Burger Monkeyz"
,Unnamed: 0_level_2,Team,Total,P,K,P,K,P,K,P,K,P,K,P,K
0,1.0,BRGR,85,4,6,2,7,6,10,3,3,1,8,2,6
1,2.0,STK,81,10,0,1,16,1,18,1,6,13,0,10,0
2,3.0,NXL,70,1,14,16,1,3,3,11,4,14,0,1,15
3,4.0,WAT,39,12,1,11,3,7,0,4,4,3,11,15,2
4,5.0,PK,37,8,1,8,3,2,6,9,5,8,2,7,0
5,6.0,ITR,36,5,9,6,2,13,3,13,2,7,7,13,0
6,7.0,FW,35,14,5,17,0,15,4,10,0,2,7,9,4
7,8.0,EXO,31,11,3,18,0,9,0,2,12,11,0,11,2
8,9.0,MON,31,3,4,12,0,4,2,16,0,12,2,3,2
9,10.0,MDY.W,30,18,0,10,2,18,0,5,6,9,10,12,3
10,11.0,DML,30,2,2,14,1,17,0,12,3,10,1,5,6
11,12.0,ATH,23,16,0,3,2,10,0,14,0,17,0,4,6
12,13.0,BWS,22,17,0,7,3,5,1,6,3,15,2,8,0
13,14.0,MBTN,22,7,2,5,4,14,0,17,0,4,0,14,2
14,15.0,SNG,22,6,2,4,3,8,0,15,1,16,2,6,0
15,16.0,MYTH,14,13,2,9,1,12,0,8,1,6,1,17,0
16,17.0,DNN,14,9,0,15,0,11,0,7,2,5,1,16,0
17,18.0,WGG,5,15,0,13,2,16,1,18,0,18,0,18,0
18,19.0,DREAM,0,0,0,0,0,0,0,0,0,0,0,0,0
19,20.0,YFM,0,0,0,0,0,0,0,0,0,0,0,0,0
