Standing,Team,Total,P,K,P,K,P,K,P,K
1.0,YaBaL,57,112,55,92,0,63,99,112,1414
2.0,3DONE,46,131,33,54,77,112,1515,54,0
3.0,Fortuna,42,29,1111,45,77,82,11,73,44
4.0,NAT,32,73,33,112,1010,111,0,92,11
5.0,RUG,26,82,44,131,0,54,77,37,11
6.0,GENIUS,25,45,44,102,33,45,44,121,11
7.0,Scarlet Fox,24,37,11,63,33,102,0,45,33
8.0,Level UP,18,102,11,37,55,92,0,141,0
9.0,Fujii Gaming,18,92,33,73,0,29,11,200,0
10.0,RAIZ,16,121,0,29,22,121,0,63,0
11.0,REAH,15,54,11,141,0,37,11,111,0
12.0,Farley,11,63,0,111,11,141,0,102,33
13.0,LFT wax,11,141,11,82,11,73,0,82,11
14.0,monkey,4,111,0,121,0,131,0,131,0
