,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints
,Unnamed: 0_level_1,Team,Total,"Round 1 Round 1 October 2, 2021 - 14:20 BSTWorld's Edge NoFear Gaming Back to Lobby Ignite","Round 1 Round 1 October 2, 2021 - 14:20 BSTWorld's Edge NoFear Gaming Back to Lobby Ignite","Round 2 Round 2 October 2, 2021 - 14:55 BSTWorld's Edge T-Rex BORGIR UTFT","Round 2 Round 2 October 2, 2021 - 14:55 BSTWorld's Edge T-Rex BORGIR UTFT","Round 3 Round 3 October 2, 2021 - 15:30 BSTWorld's Edge Ignite TOG STUGOTS","Round 3 Round 3 October 2, 2021 - 15:30 BSTWorld's Edge Ignite TOG STUGOTS","Round 4 Round 4 October 2, 2021 - 16:05 BSTWorld's Edge T-Rex SeComportaYa NoFear Gaming","Round 4 Round 4 October 2, 2021 - 16:05 BSTWorld's Edge T-Rex SeComportaYa NoFear Gaming"
,Unnamed: 0_level_2,Team,Total,P,K,P,K,P,K,P,K
0,1.0,TREX,88,7,10,1,19,10,11,1,19
1,2.0,NoFear,47,1,11,10,2,19,0,3,13
2,3.0,Ignite,40,3,5,15,0,1,15,19,0
3,4.0,Back to Lobby,31,2,9,6,8,14,1,18,0
4,5.0,TOG,31,11,0,7,5,2,5,4,3
5,6.0,BGR,29,5,6,2,4,7,2,11,0
6,7.0,UTFT,25,4,3,3,6,13,3,16,0
7,8.0,SCTA,23,16,0,5,1,9,2,2,5
8,9.0,ALKaIIIbI,20,13,1,4,7,6,2,12,0
9,10.0,EFG Team,19,9,0,20,0,5,4,5,5
10,11.0,Royal Mooses,15,8,4,14,0,4,0,9,1
11,12.0,Lagom,12,14,1,8,1,12,4,10,0
12,13.0,SeXy Chonks,12,10,3,18,0,8,1,8,2
13,14.0,STUGOTS,12,18,0,13,0,3,3,15,0
14,15.0,plugged off life,10,12,3,12,0,15,0,13,3
15,16.0,onetap,10,6,3,9,1,17,0,14,0
16,17.0,Boydem,9,19,1,11,1,20,0,7,3
17,18.0,LaFay,7,20,0,16,2,16,0,6,2
18,19.0,Wisps,6,15,0,19,1,11,2,17,1
19,20.0,Moanerz EU,4,17,1,17,0,18,3,20,0
