,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints
,Unnamed: 0_level_1,Team,Total,"Round 1 Round 1 October 2, 2021 - 14:20 BSTWorld's Edge Oui XDA Explosion","Round 1 Round 1 October 2, 2021 - 14:20 BSTWorld's Edge Oui XDA Explosion","Round 2 Round 2 October 2, 2021 - 14:55 BSTWorld's Edge uwuowoboys Explosion Team Legion","Round 2 Round 2 October 2, 2021 - 14:55 BSTWorld's Edge uwuowoboys Explosion Team Legion","Round 3 Round 3 October 2, 2021 - 15:30 BSTWorld's Edge Clean uwuowoboys Team Legion","Round 3 Round 3 October 2, 2021 - 15:30 BSTWorld's Edge Clean uwuowoboys Team Legion","Round 4 Round 4 October 2, 2021 - 16:05 BSTWorld's Edge Clean Explosion Phoenix Legacy","Round 4 Round 4 October 2, 2021 - 16:05 BSTWorld's Edge Clean Explosion Phoenix Legacy"
,Unnamed: 0_level_2,Team,Total,P,K,P,K,P,K,P,K
0,1.0,CLN,63,4,0,13,6,1,14,1,13
1,2.0,uwuowoboys,46,10,6,1,13,2,2,14,1
2,3.0,Explosion,45,3,3,2,3,8,6,2,6
3,4.0,LGN,42,8,1,3,7,3,9,4,4
4,5.0,PXL,40,11,3,6,11,5,4,3,7
5,6.0,XDA,33,2,8,4,2,9,3,6,1
6,7.0,Oui,31,1,12,5,1,14,0,15,0
7,8.0,MantaX,21,9,6,15,2,7,2,10,3
8,9.0,Undertaker,20,6,3,9,0,6,3,5,2
9,10.0,Abysse,15,14,1,12,0,17,1,8,9
10,11.0,Wait For Top 6,15,16,0,10,3,11,6,12,2
11,12.0,Sxercise,15,20,0,7,3,10,3,9,2
12,13.0,cis dis,13,5,4,20,0,18,0,7,2
13,14.0,Sapere Aude,12,7,4,11,2,12,0,11,0
14,15.0,ANTI,7,12,1,14,3,15,0,17,0
15,16.0,Ghoul-punk,7,15,1,17,0,4,0,16,0
16,17.0,Stigma Crew,5,13,3,18,0,13,0,18,0
17,18.0,Oeufs au fromage,4,19,0,8,2,20,0,20,0
18,19.0,WARM Esport,1,17,0,16,0,16,0,13,0
19,20.0,qoud vera Genus,0,18,0,19,0,20,0,20,0
