Standings,Team.1,Total,Lobby
1.0,SNG,71,Lobby 1
2.0,RL.XV,36,Lobby 1
3.0,DREAM,35,Lobby 1
4.0,Incorporated,33,Lobby 1
5.0,Vaczer Esport,33,Lobby 1
6.0,IFPD,32,Lobby 1
7.0,PWLS,32,Lobby 1
8.0,Conquerors,12,Lobby 1
9.0,AnythinG,10,Lobby 1
10.0,Team eXplicit,10,Lobby 1
11.0,SAINTS,10,Lobby 1
12.0,GOB boomers,9,Lobby 1
13.0,High Legends,7,Lobby 1
1.0,WHIZ,74,Lobby 2
2.0,April,53,Lobby 2
3.0,RebellioN,32,Lobby 2
4.0,BOG,29,Lobby 2
5.0,madzJabol,28,Lobby 2
6.0,EVO.Shadow,28,Lobby 2
7.0,JOKO,27,Lobby 2
8.0,RyZ HK,27,Lobby 2
9.0,Team Psycho,15,Lobby 2
10.0,hello nihao,15,Lobby 2
11.0,Easy AF!,13,Lobby 2
12.0,Madu Sunnah Ai,11,Lobby 2
13.0,Atrox Rex PH,8,Lobby 2
14.0,0 Brains,6,Lobby 2
1.0,INF,53,Lobby 3
2.0,ANgun,48,Lobby 3
3.0,Pavlova,41,Lobby 3
4.0,DSG,36,Lobby 3
5.0,RNG,35,Lobby 3
6.0,Estrell,35,Lobby 3
7.0,WAT,34,Lobby 3
8.0,Suspicious Fools,25,Lobby 3
9.0,EVOS,13,Lobby 3
10.0,Elegants,10,Lobby 3
11.0,GOD OF DREAM,9,Lobby 3
12.0,Chronostasis,5,Lobby 3
13.0,CornerRyzen,5,Lobby 3
14.0,Thamizh eSports,4,Lobby 3
1.0,GS,77,Lobby 4
2.0,Dimple Esport,54,Lobby 4
3.0,uwuXuwu,52,Lobby 4
4.0,AFxRP Skyrise,34,Lobby 4
5.0,Bad Genius,27,Lobby 4
6.0,DESI,21,Lobby 4
7.0,Joker,20,Lobby 4
8.0,DDYM,13,Lobby 4
9.0,YOII,12,Lobby 4
10.0,Anthem Sygma,10,Lobby 4
11.0,TEAM MIRACLE,9,Lobby 4
12.0,WINGS,8,Lobby 4
13.0,Rock & Morti,5,Lobby 4
14.0,The Desi Boys,1,Lobby 4
1.0,On the Sticks,71,Lobby 5
2.0,LittleMeow,59,Lobby 5
3.0,NonetWork,51,Lobby 5
4.0,LAG,37,Lobby 5
5.0,Hardstuck D4,33,Lobby 5
6.0,Boink Gang,29,Lobby 5
7.0,God's Geek Gang,15,Lobby 5
8.0,Team Lockdown,14,Lobby 5
9.0,Astreaks Gaming,12,Lobby 5
10.0,Triple Cobra,11,Lobby 5
11.0,Wize,9,Lobby 5
12.0,Team Bubbikins,8,Lobby 5
13.0,EZ4CLAP,7,Lobby 5
14.0,MamuMonster,4,Lobby 5
1.0,O3,82,Lobby 6
2.0,WGG,55,Lobby 6
3.0,DYN,47,Lobby 6
4.0,RL.Genesis,41,Lobby 6
5.0,InfernoDSC,26,Lobby 6
6.0,AMG TW,22,Lobby 6
7.0,Multicultural,18,Lobby 6
8.0,R1,17,Lobby 6
9.0,TooSoonParty,16,Lobby 6
10.0,SmoothOperators,10,Lobby 6
11.0,OC,9,Lobby 6
12.0,MagikPanda,8,Lobby 6
13.0,NRD,5,Lobby 6
14.0,Edi Daddy Inc.,4,Lobby 6
1.0,TX,104,Lobby 7
2.0,WGGxBTC,42,Lobby 7
3.0,QE.NY,36,Lobby 7
4.0,Bot Bot,25,Lobby 7
5.0,Haiya,25,Lobby 7
6.0,MBTN,22,Lobby 7
7.0,NMLS,21,Lobby 7
8.0,Tomato town,19,Lobby 7
9.0,South Cartel,16,Lobby 7
10.0,Team Shinigami,16,Lobby 7
11.0,CHAWDOY,13,Lobby 7
12.0,Team Hydro,13,Lobby 7
13.0,SkarptSinne,11,Lobby 7
14.0,Sanak Family,4,Lobby 7
1.0,EVO BERZ,67,Lobby 8
2.0,WGGxPK,59,Lobby 8
3.0,HeadHunters,49,Lobby 8
4.0,PG,37,Lobby 8
5.0,DifferentBreed,23,Lobby 8
6.0,StrawberryJam,20,Lobby 8
7.0,RJININ,20,Lobby 8
8.0,Antiaa,19,Lobby 8
9.0,Nim Nim Esport,18,Lobby 8
10.0,iON,16,Lobby 8
11.0,Triple Threat OG,12,Lobby 8
12.0,KARAVEL Aegis,9,Lobby 8
13.0,NOPLAY2,8,Lobby 8
14.0,Freedom,6,Lobby 8
