Standing,Team,Total,P,K,P.1,K.1,P.2,K.2,P.3,K.3,Lobby,Round,P.4,K.4,P.5,K.5
1.0,OF,63,3,6,2,11,1,11,11,6,Lobby 1,Quarterfinals,,,,
2.0,Chimera,54,5,5,1,5,13,0,1,15,Lobby 1,Quarterfinals,,,,
3.0,SST,42,1,12,15,3,7,1,7,7,Lobby 1,Quarterfinals,,,,
4.0,Sobek,38,9,1,11,3,2,10,2,3,Lobby 1,Quarterfinals,,,,
5.0,BRZ,28,4,3,3,6,9,3,13,1,Lobby 1,Quarterfinals,,,,
6.0,PRDX,25,2,7,10,3,15,0,10,1,Lobby 1,Quarterfinals,,,,
7.0,AK47,23,10,1,8,8,11,3,9,4,Lobby 1,Quarterfinals,,,,
8.0,SussyBaka,23,15,0,5,3,10,4,5,5,Lobby 1,Quarterfinals,,,,
9.0,ROCKETZ TEAM,20,11,4,9,1,14,1,3,3,Lobby 1,Quarterfinals,,,,
10.0,BHT,15,13,1,12,0,8,5,4,0,Lobby 1,Quarterfinals,,,,
11.0,BTH,15,6,2,4,3,16,0,8,0,Lobby 1,Quarterfinals,,,,
12.0,TRAGIIC BR,14,16,0,6,3,5,2,12,1,Lobby 1,Quarterfinals,,,,
13.0,Os MIAU,13,14,0,7,0,3,1,14,0,Lobby 1,Quarterfinals,,,,
14.0,Infinity Evo,12,12,3,16,1,17,1,6,3,Lobby 1,Quarterfinals,,,,
15.0,Aoba Team,11,7,0,13,0,6,4,16,0,Lobby 1,Quarterfinals,,,,
16.0,Spartan Warriors,7,8,0,17,0,4,0,17,0,Lobby 1,Quarterfinals,,,,
17.0,Morri Nem Vi,3,17,0,14,0,12,0,15,0,Lobby 1,Quarterfinals,,,,
1.0,Slav Animals,78,1,17,1,9,7,2,1,11,Lobby 2,Quarterfinals,,,,
2.0,Love Egirls,47,14,5,15,4,4,16,9,13,Lobby 2,Quarterfinals,,,,
3.0,ALFA WARRIORS,45,6,3,2,6,1,10,8,0,Lobby 2,Quarterfinals,,,,
4.0,KZN,43,2,1,6,9,2,11,12,0,Lobby 2,Quarterfinals,,,,
5.0,As Misera,30,8,3,3,4,5,3,5,3,Lobby 2,Quarterfinals,,,,
