,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints
,Unnamed: 0_level_1,Team,Total,"Round 1 Round 1 September 26, 2021 - 12:00 BSTWorld's Edge Chiefs Game of Drones Oracle Esport","Round 1 Round 1 September 26, 2021 - 12:00 BSTWorld's Edge Chiefs Game of Drones Oracle Esport","Round 2 Round 2 September 26, 2021 - 12:30 BSTWorld's Edge Bitfix Gaming Slappers Chiefs","Round 2 Round 2 September 26, 2021 - 12:30 BSTWorld's Edge Bitfix Gaming Slappers Chiefs","Round 3 Round 3 September 26, 2021 - 13:00 BSTWorld's Edge K1CK Game of Drones NotoriousFamily","Round 3 Round 3 September 26, 2021 - 13:00 BSTWorld's Edge K1CK Game of Drones NotoriousFamily","Round 4 Round 4 September 26, 2021 - 13:30 BSTWorld's Edge SUCCUBUS MajorPushers Oracle Esport","Round 4 Round 4 September 26, 2021 - 13:30 BSTWorld's Edge SUCCUBUS MajorPushers Oracle Esport"
,Unnamed: 0_level_2,Team,Total,P,K,P,K,P,K,P,K
0,1.0,K1CK,53,6,9,10,7,1,17,18,3
1,2.0,Chiefs,47,1,14,3,12,15,0,19,1
2,3.0,GOD,38,2,8,20,0,2,6,10,4
3,4.0,ORCL,34,3,6,11,3,6,3,3,4
4,5.0,SPPI,31,10,2,4,3,8,5,4,7
5,6.0,MP,31,19,1,7,6,7,1,2,8
6,7.0,SCBS,30,7,1,14,3,4,0,1,5
7,8.0,BFG,26,12,3,1,7,14,0,12,1
8,9.0,PXL,22,14,0,16,3,5,6,5,4
9,10.0,NotoriousFamily,20,8,0,18,0,3,7,14,3
10,11.0,SLAP,20,15,0,2,5,13,1,11,2
11,12.0,CHI,15,13,2,6,0,18,2,7,4
12,13.0,AintInvlbleDream,13,9,5,5,0,12,0,13,0
13,14.0,1515,11,20,0,12,0,10,4,15,3
14,15.0,BGR,11,18,1,9,4,9,0,9,0
15,16.0,Senshi,10,17,0,13,0,16,3,6,3
16,17.0,TRIHARD,9,5,0,17,2,19,0,8,1
17,18.0,Wisps,7,11,2,19,0,11,0,16,3
18,19.0,Tr1peRs,7,4,1,15,0,20,0,17,0
19,20.0,SCTA,6,16,3,8,0,17,1,20,0
