Standing,Team,Total,P,K,P,K,P,K,P,K
1.0,AM,62,14,1,9,8,2,16,1,13
2.0,EST,45,9,2,3,11,1,6,9,3
3.0,LF,39,2,4,5,3,4,7,6,4
4.0,RT,37,1,9,15,2,3,4,14,1
5.0,NEAN,30,3,10,18,0,8,3,4,3
6.0,Sussy Bakas,30,7,3,1,4,14,2,12,4
7.0,Unlucky,28,13,1,2,2,9,3,5,6
8.0,NM,21,16,0,7,3,15,0,2,5
9.0,Los Hefes,20,4,5,6,2,10,3,17,0
10.0,Aisle 5,19,6,3,19,0,5,2,3,0
11.0,MOAN,17,8,3,14,6,7,2,19,0
12.0,GNR,16,10,3,17,3,12,5,13,1
13.0,TPM,15,5,1,12,0,13,0,7,5
14.0,Sniper Meta,13,11,5,16,0,16,0,11,6
15.0,Tijuana Piranas,10,20,0,4,5,18,0,20,0
16.0,FROG,10,15,0,10,3,19,0,8,2
17.0,BQB,8,12,4,11,0,17,0,10,0
18.0,ZERO,7,17,0,8,1,11,1,18,2
19.0,2 Zoomers1boomer,6,18,0,20,0,6,0,15,2
20.0,1 vs Lobby,4,19,2,13,1,20,0,16,0
