B vs C StandingsPlacements and killsPoints,Team,Total,P,K,P,K,P,K,P,K,P,K,P,K
1.0,ESA,123,6,4,1,9,1,16,1,18,1,8,3,10
2.0,100T,64,4,1,2,9,11,0,17,2,2,13,5,11
3.0,CLG,44,2,9,3,4,7,4,13,2,17,0,7,2
4.0,TL,43,12,0,6,4,4,4,18,0,19,0,1,14
5.0,C9,38,1,11,17,3,19,0,4,4,15,0,14,1
6.0,GHOST,36,14,4,10,0,20,0,3,8,12,3,4,5
7.0,CLT,34,10,2,15,0,2,4,7,1,9,3,6,4
8.0,NRG,34,18,0,13,3,5,0,9,3,4,5,2,2
9.0,FUR,30,13,1,8,10,9,4,10,1,7,4,18,0
10.0,BBG,30,7,4,5,4,3,4,19,1,20,2,17,1
11.0,CAS,27,8,5,7,3,18,0,2,3,18,0,10,0
12.0,AP,25,3,6,16,0,6,6,20,0,16,0,12,2
13.0,SCRY,21,20,0,18,0,8,8,8,2,8,4,16,1
14.0,LVG,20,11,0,14,0,12,1,12,4,5,7,20,0
15.0,OXG,18,15,0,19,0,15,3,6,4,14,2,8,1
16.0,RCO,18,5,1,20,0,13,0,11,0,3,3,11,0
17.0,LMK,17,17,2,4,3,16,0,5,0,13,1,15,0
18.0,DY,13,19,1,12,0,10,2,14,1,11,0,9,2
19.0,OA,13,16,0,9,2,14,0,15,3,6,1,19,0
20.0,GFORCE,12,9,0,11,3,17,0,16,0,10,2,13,1
