B vs D StandingsPlacements and killsPoints,Team,Total,P,K,P,K,P,K,P,K,P,K,P,K
1.0,NRG,86,4,11,8,5,1,10,1,11,2,8,12,0
2.0,DY,72,7,0,10,7,10,3,3,7,1,9,1,8
3.0,SEN,67,8,5,2,12,8,1,2,10,3,10,17,0
4.0,SSG,56,3,7,7,0,3,9,9,4,10,3,3,5
5.0,UNL,40,1,9,17,0,6,7,4,4,20,0,20,0
6.0,SCRY,35,18,0,3,13,4,5,17,3,12,1,18,0
7.0,TOR,31,16,0,6,1,16,6,5,4,13,4,6,5
8.0,DXT,31,10,2,9,3,5,1,14,5,11,0,4,5
9.0,COL,31,2,4,4,4,12,1,13,1,19,0,7,2
10.0,RCO,31,11,5,5,0,2,2,11,1,9,0,5,2
11.0,SAF,29,19,0,20,0,20,0,16,0,5,4,2,12
12.0,CLG,28,5,4,18,0,14,1,6,1,4,6,9,1
13.0,E8,24,17,0,1,6,17,0,8,2,15,0,13,0
14.0,AGG,20,13,3,19,0,7,5,10,0,8,0,11,3
15.0,CLT,20,6,3,16,0,9,0,7,1,7,2,15,2
16.0,OXG,17,20,0,13,1,19,0,20,1,6,4,8,5
17.0,TDG,17,15,2,14,0,15,2,15,0,16,3,10,4
18.0,LMK,12,14,2,11,3,13,0,12,1,17,0,14,1
19.0,AP,8,9,0,15,1,11,1,19,0,14,1,19,0
20.0,GHOST,5,12,0,12,2,18,1,18,0,18,0,16,0
