,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints
,Unnamed: 0_level_1,Team,Total,"Round 1 Round 1 September 26, 2021 - 14:00 BSTWorld's Edge Sheriffs MajorPushers ALKaIIIbI","Round 1 Round 1 September 26, 2021 - 14:00 BSTWorld's Edge Sheriffs MajorPushers ALKaIIIbI","Round 2 Round 2 September 26, 2021 - 14:35 BSTWorld's Edge MajorPushers ALKaIIIbI K1CK","Round 2 Round 2 September 26, 2021 - 14:35 BSTWorld's Edge MajorPushers ALKaIIIbI K1CK","Round 3 Round 3 September 26, 2021 - 15:10 BSTWorld's Edge Sheriffs Game of Drones Odin Gamers","Round 3 Round 3 September 26, 2021 - 15:10 BSTWorld's Edge Sheriffs Game of Drones Odin Gamers","Round 4 Round 4 September 26, 2021 - 15:45 BSTWorld's Edge Chiefs AllPlanned ATK","Round 4 Round 4 September 26, 2021 - 15:45 BSTWorld's Edge Chiefs AllPlanned ATK","Round 5 Round 5 September 26, 2021 - 16:20 BSTWorld's Edge AllPlanned K1CK Bitfix Gaming","Round 5 Round 5 September 26, 2021 - 16:20 BSTWorld's Edge AllPlanned K1CK Bitfix Gaming","Round 6 Round 6 September 26, 2021 - 16:55 BSTWorld's Edge MajorPushers ATK Phoenix Legacy","Round 6 Round 6 September 26, 2021 - 16:55 BSTWorld's Edge MajorPushers ATK Phoenix Legacy"
,Unnamed: 0_level_2,Team,Total,P,K,P,K,P,K,P,K,P,K,P,K
0,1.0,MP,101,2,9,1,17,9,4,10,1,14,6,1,26
1,2.0,AP,66,5,3,6,5,7,3,2,9,1,14,19,1
2,3.0,K1CK,65,8,7,3,7,6,6,15,3,2,14,16,6
3,4.0,Sheriffs,55,1,13,20,1,1,11,8,0,16,2,11,1
4,5.0,Chiefs,43,4,4,7,8,11,0,1,9,18,0,18,1
5,6.0,ATK,40,14,1,4,0,16,0,3,5,12,0,2,11
6,7.0,OG,34,10,3,5,1,3,7,18,3,9,4,20,1
7,8.0,ALKaIIIbI,33,3,10,2,4,20,0,19,1,20,0,15,1
8,9.0,NXB,30,15,0,9,0,4,3,5,6,11,1,6,4
9,10.0,ORCL,26,7,5,13,3,18,0,13,4,8,3,10,2
10,11.0,PXL,25,12,0,17,0,17,0,12,2,6,7,3,4
11,12.0,BFG,20,13,0,19,0,12,4,14,0,3,5,13,0
12,13.0,GOD,20,20,1,12,0,2,5,17,0,10,1,14,0
13,14.0,Explosion,19,18,1,18,1,10,9,16,0,15,0,4,0
14,15.0,thr33 stack,18,9,0,11,3,8,1,9,1,5,0,9,0
15,16.0,SPPI,16,6,1,16,0,14,0,6,4,13,0,12,2
16,17.0,UTFT,16,17,0,15,0,15,0,4,5,19,0,5,0
17,18.0,Young Squad,16,11,0,14,2,5,2,20,0,7,0,7,0
18,19.0,SCBS,15,16,0,10,1,13,2,11,1,4,0,8,0
19,20.0,NotoriousFamily,11,19,0,8,0,19,3,7,3,17,0,17,0
