Standing,Team,Total,P,K,P.1,K.1,P.2,K.2,P.3,K.3,Lobby,Round,P.4,K.4,P.5,K.5
1.0,TX,55,3,7,3,15,9,9,8,6,Lobby 1,Round_1,,,,
2.0,RL.XV,41,13,0,5,3,1,15,7,3,Lobby 1,Round_1,,,,
3.0,Quentiam,41,1,7,4,3,10,1,5,7,Lobby 1,Round_1,,,,
4.0,Sigma Gamers,39,2,5,12,0,6,0,1,9,Lobby 1,Round_1,,,,
5.0,Prestige Elite,32,4,4,7,3,3,5,10,3,Lobby 1,Round_1,,,,
6.0,Team Vicity,25,5,0,10,0,4,1,2,4,Lobby 1,Round_1,,,,
7.0,DREAM,23,10,2,6,1,5,3,3,1,Lobby 1,Round_1,,,,
8.0,OC,21,7,6,2,0,13,0,11,1,Lobby 1,Round_1,,,,
9.0,LH,19,12,0,1,3,12,0,9,0,Lobby 1,Round_1,,,,
10.0,RNG,17,8,3,9,5,8,0,6,0,Lobby 1,Round_1,,,,
11.0,TEAR,16,9,1,13,0,2,2,12,0,Lobby 1,Round_1,,,,
12.0,Bunning LTD,10,11,0,11,0,7,0,4,0,Lobby 1,Round_1,,,,
13.0,tXt,7,6,0,8,0,11,0,13,0,Lobby 1,Round_1,,,,
1.0,April,55,5,9,3,7,1,15,12,0,Lobby 2,Round_1,,,,
2.0,Scythe,46,4,5,6,3,2,12,4,4,Lobby 2,Round_1,,,,
3.0,StrawberryJam,43,2,7,1,8,8,0,10,3,Lobby 2,Round_1,,,,
4.0,OGL,36,1,8,4,1,13,0,3,2,Lobby 2,Round_1,,,,
5.0,RJININ,34,10,2,2,7,3,1,6,3,Lobby 2,Round_1,,,,
6.0,MBTN,29,13,0,10,1,11,3,1,9,Lobby 2,Round_1,,,,
7.0,Y105,22,7,1,5,5,7,3,7,0,Lobby 2,Round_1,,,,
8.0,TEAM MIRACLE,21,12,0,7,0,4,1,2,2,Lobby 2,Round_1,,,,
9.0,Nitrogen Oxide,20,3,1,11,0,12,0,5,6,Lobby 2,Round_1,,,,
10.0,SkarptSinne,12,6,1,9,0,6,1,9,0,Lobby 2,Round_1,,,,
11.0,VENOM KNF,7,8,0,8,0,10,1,20,0,Lobby 2,Round_1,,,,
12.0,Ace Players,7,9,0,20,0,5,0,11,0,Lobby 2,Round_1,,,,
13.0,Informal Squad,6,11,0,12,0,9,0,8,0,Lobby 2,Round_1,,,,
14.0,hello nihao,0,20,0,20,0,20,0,20,0,Lobby 2,Round_1,,,,
1.0,MDY,88,4,13,8,5,1,25,1,14,Lobby 3,Round_1,,,,
2.0,Estrell,53,1,11,3,11,11,1,3,3,Lobby 3,Round_1,,,,
3.0,WAT,40,5,2,7,4,3,6,6,11,Lobby 3,Round_1,,,,
4.0,Link E-sports,30,2,3,4,0,6,1,2,0,Lobby 3,Round_1,,,,
5.0,Astreaks Gaming,28,6,0,1,6,5,0,11,2,Lobby 3,Round_1,,,,
6.0,END,27,12,1,2,6,8,0,4,3,Lobby 3,Round_1,,,,
7.0,Soosmar slayer,20,3,4,5,0,9,0,10,1,Lobby 3,Round_1,,,,
8.0,Wkey,18,7,3,11,0,2,1,12,0,Lobby 3,Round_1,,,,
9.0,IFPD,12,8,0,6,2,10,0,7,0,Lobby 3,Round_1,,,,
10.0,Happy To Be Here,11,14,0,13,0,4,0,5,0,Lobby 3,Round_1,,,,
11.0,UNINUB,8,9,0,12,0,7,0,9,0,Lobby 3,Round_1,,,,
12.0,RebellioN,6,11,0,9,0,12,0,8,0,Lobby 3,Round_1,,,,
13.0,WuhuFlyer,6,10,0,10,0,13,0,13,0,Lobby 3,Round_1,,,,
14.0,off boys,1,13,0,20,0,20,0,20,0,Lobby 3,Round_1,,,,
1.0,HOPE,57,1,7,1,13,9,4,9,5,Lobby 4,Round_1,,,,
2.0,INF,47,9,2,2,7,2,9,6,6,Lobby 4,Round_1,,,,
3.0,Hardstuck D4,46,3,6,6,2,5,0,1,12,Lobby 4,Round_1,,,,
4.0,PWLS,44,2,8,8,7,8,0,3,9,Lobby 4,Round_1,,,,
5.0,South Cartel,35,5,3,4,1,7,4,2,6,Lobby 4,Round_1,,,,
6.0,Inferno DRT,25,6,0,7,6,4,5,10,1,Lobby 4,Round_1,,,,
7.0,team garong,25,4,2,10,0,1,3,11,0,Lobby 4,Round_1,,,,
8.0,iON,20,11,4,13,0,3,5,13,1,Lobby 4,Round_1,,,,
9.0,Hardstucks,16,10,1,11,3,6,0,4,1,Lobby 4,Round_1,,,,
10.0,Noobs UwU,15,14,0,3,0,12,3,7,0,Lobby 4,Round_1,,,,
11.0,Losin Control,11,8,1,9,0,10,3,12,0,Lobby 4,Round_1,,,,
12.0,Team eXplicit,11,7,1,14,0,11,3,8,0,Lobby 4,Round_1,,,,
13.0,Teriyaki Boyz,10,12,0,5,0,13,0,5,0,Lobby 4,Round_1,,,,
14.0,Saint,4,13,0,12,0,14,0,14,0,Lobby 4,Round_1,,,,
1.0,GS,55,6,3,11,3,1,14,2,10,Lobby 5,Round_1,,,,
2.0,AMG TW,54,2,4,1,11,2,4,8,3,Lobby 5,Round_1,,,,
3.0,Antiaa,39,8,2,4,4,5,2,1,8,Lobby 5,Round_1,,,,
4.0,SLK,33,5,6,12,3,4,5,7,6,Lobby 5,Round_1,,,,
5.0,Bxby's,26,1,2,3,0,6,2,20,0,Lobby 5,Round_1,,,,
6.0,FTW,24,3,1,2,1,11,0,5,1,Lobby 5,Round_1,,,,
7.0,ANgun,20,7,6,7,3,8,2,12,0,Lobby 5,Round_1,,,,
8.0,QE.NY,19,11,5,9,0,7,2,4,1,Lobby 5,Round_1,,,,
9.0,Speed,17,4,1,6,4,9,0,9,0,Lobby 5,Round_1,,,,
10.0,HEHEHE,15,9,1,13,0,12,0,3,3,Lobby 5,Round_1,,,,
11.0,Triple Cobra,15,12,1,5,0,3,0,10,0,Lobby 5,Round_1,,,,
12.0,Freedom,12,10,0,8,0,10,3,6,0,Lobby 5,Round_1,,,,
13.0,Elegants,11,13,0,10,2,13,1,11,3,Lobby 5,Round_1,,,,
1.0,Pavlova,50,2,5,7,0,1,9,5,8,Lobby 6,Round_1,,,,
2.0,BadutCompeCeunah,48,4,5,2,10,3,8,10,2,Lobby 6,Round_1,,,,
3.0,RL.Genesis,44,1,11,5,7,6,5,9,0,Lobby 6,Round_1,,,,
4.0,Juiced,36,12,0,1,7,4,3,6,5,Lobby 6,Round_1,,,,
5.0,Multicultural,33,10,0,8,0,2,8,4,7,Lobby 6,Round_1,,,,
6.0,WGGxPK,30,5,6,12,1,10,0,1,4,Lobby 6,Round_1,,,,
7.0,DSG,25,6,6,4,6,5,0,12,0,Lobby 6,Round_1,,,,
8.0,Lags Fault,16,7,0,3,2,7,0,13,0,Lobby 6,Round_1,,,,
