,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints
,Unnamed: 0_level_1,Team,Total,"Round 1 Round 1 September 25, 2021 - 14:20 PDTWorld's Edge SCARRA LOVERS Estral Esports Onyx Gaming","Round 1 Round 1 September 25, 2021 - 14:20 PDTWorld's Edge SCARRA LOVERS Estral Esports Onyx Gaming","Round 2 Round 2 September 25, 2021 - 14:55 PDTWorld's Edge Kaged Moon Boys Onyx Gaming","Round 2 Round 2 September 25, 2021 - 14:55 PDTWorld's Edge Kaged Moon Boys Onyx Gaming","Round 3 Round 3 September 25, 2021 - 15:30 PDTWorld's Edge Estral Esports Sussy Bakas Onyx Gaming","Round 3 Round 3 September 25, 2021 - 15:30 PDTWorld's Edge Estral Esports Sussy Bakas Onyx Gaming","Round 4 Round 4 September 25, 2021 - 16:05 PDTWorld's Edge Lazarus RAWRXDTEEHEE Siracha","Round 4 Round 4 September 25, 2021 - 16:05 PDTWorld's Edge Lazarus RAWRXDTEEHEE Siracha"
,Unnamed: 0_level_2,Team,Total,P,K,P,K,P,K,P,K
0,1.0,EST,47,2,11,17,1,1,12,12,1
1,2.0,Onyx,44,3,5,3,7,3,11,18,0
2,3.0,FNG NEW ERA,38,7,14,13,3,11,2,4,9
3,4.0,RAWR,36,4,5,9,3,9,1,2,9
4,5.0,LF,31,15,3,5,9,5,4,7,3
5,6.0,LZR,31,10,5,11,4,12,1,1,5
6,7.0,Kaged,31,6,1,1,8,15,0,10,4
7,8.0,Sussy Bakas,30,5,1,8,1,2,10,16,3
8,9.0,SCARRA LOVERS,30,1,4,10,1,4,6,17,0
9,10.0,Siracha,24,11,0,4,3,16,3,3,5
10,11.0,Moon Boys,24,8,0,2,7,6,1,15,1
11,12.0,IFE,18,18,0,6,3,7,0,5,5
12,13.0,MXGamers,15,12,3,18,0,10,4,8,3
13,14.0,Iron Giant,10,13,2,7,2,8,0,19,0
14,15.0,ZERO,8,20,0,19,0,13,1,6,3
15,16.0,Chesco,7,14,0,12,2,17,0,13,2
16,17.0,Lost Pub Players,7,16,1,15,0,18,0,9,3
17,18.0,RLP,6,9,1,14,0,14,0,11,0
18,19.0,DoorKickingGang,3,17,1,16,2,20,0,20,0
19,20.0,Tin Roof Tacos,1,19,0,20,0,19,0,14,0
