,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints
,Unnamed: 0_level_1,Team,Total,"Round 1 Round 1 October 23, 2021 - 16:00 BRTWorld's Edge Team Cruelty Horus Most Valuable","Round 1 Round 1 October 23, 2021 - 16:00 BRTWorld's Edge Team Cruelty Horus Most Valuable","Round 2 Round 2 October 23, 2021 - 16:35 BRTWorld's Edge clubinvictusaim Fênix Team Omega Team","Round 2 Round 2 October 23, 2021 - 16:35 BRTWorld's Edge clubinvictusaim Fênix Team Omega Team","Round 3 Round 3 October 23, 2021 - 17:10 BRTWorld's Edge BRAZUCAS Team Cruelty Sobek e-Sports","Round 3 Round 3 October 23, 2021 - 17:10 BRTWorld's Edge BRAZUCAS Team Cruelty Sobek e-Sports","Round 4 Round 4 October 23, 2021 - 17:45 BRTWorld's Edge Most Valuable Dynamics LeaveNoWitness","Round 4 Round 4 October 23, 2021 - 17:45 BRTWorld's Edge Most Valuable Dynamics LeaveNoWitness","Round 5 Round 5 October 23, 2021 - 18:20 BRTWorld's Edge Most Valuable Fênix Team Dynamics","Round 5 Round 5 October 23, 2021 - 18:20 BRTWorld's Edge Most Valuable Fênix Team Dynamics","Round 6 Round 6 October 23, 2021 - 18:55 BRTWorld's Edge LeaveNoWitness BRAZUCAS TEAM Most Valuable","Round 6 Round 6 October 23, 2021 - 18:55 BRTWorld's Edge LeaveNoWitness BRAZUCAS TEAM Most Valuable"
,Unnamed: 0_level_2,Team,Total,P,K,P,K,P,K,P,K,P,K,P,K
0,1.0,MVP,74,3,2,9,3,11,0,1,15,1,9,3,4
1,2.0,BRT,70,9,4,16,3,1,10,5,12,7,3,2,8
2,3.0,LNW,62,4,1,15,2,10,6,3,1,4,5,1,15
3,4.0,TC,52,1,8,6,6,2,7,14,3,19,0,7,0
4,5.0,FNX,45,5,4,2,3,13,6,7,3,2,3,18,0
5,6.0,DYN,43,13,0,4,1,9,4,2,3,3,6,6,2
6,7.0,HRS,34,2,12,18,1,7,1,12,0,8,5,20,0
7,8.0,CIA,34,20,0,1,15,15,0,11,0,16,0,4,0
8,9.0,WILD,26,6,4,20,0,5,0,20,0,10,3,5,6
9,10.0,OMEGA,25,8,5,3,4,17,0,15,0,5,0,11,1
10,11.0,DGL,23,7,8,14,0,20,0,17,0,15,3,15,6
11,12.0,PRDX,23,17,3,5,2,14,3,6,4,13,0,9,0
12,13.0,SKC,23,10,0,10,3,6,4,10,0,6,4,16,0
13,14.0,SLU,22,12,0,17,2,19,0,4,3,12,5,10,3
14,15.0,SBK,21,19,0,8,2,3,5,13,0,17,3,17,1
15,16.0,Duty calls,20,15,2,13,2,8,9,19,2,20,1,19,0
16,17.0,PD,16,14,0,19,0,18,0,9,3,14,2,12,6
17,18.0,Slav Animals,16,11,0,11,5,16,0,8,3,9,1,14,0
18,19.0,As Misera,16,16,1,7,1,4,2,16,2,18,0,8,0
19,20.0,Love Egirls,5,18,0,12,0,12,0,18,0,11,0,13,1
