,B vs D StandingsPlacements and killsPoints,B vs D StandingsPlacements and killsPoints,B vs D StandingsPlacements and killsPoints,B vs D StandingsPlacements and killsPoints,B vs D StandingsPlacements and killsPoints,B vs D StandingsPlacements and killsPoints,B vs D StandingsPlacements and killsPoints,B vs D StandingsPlacements and killsPoints,B vs D StandingsPlacements and killsPoints,B vs D StandingsPlacements and killsPoints,B vs D StandingsPlacements and killsPoints,B vs D StandingsPlacements and killsPoints,B vs D StandingsPlacements and killsPoints,B vs D StandingsPlacements and killsPoints,B vs D StandingsPlacements and killsPoints
,Unnamed: 0_level_1,Team,Total,"Round 1 Round 1 December 5, 2021 - 12:00 BRTWorld's Edge BRAZUCAS Elevate Tekila","Round 1 Round 1 December 5, 2021 - 12:00 BRTWorld's Edge BRAZUCAS Elevate Tekila","Round 2 Round 2 December 5, 2021 - 12:35 BRTWorld's Edge clubinvictusaim Paradox Esports Team DeftFox","Round 2 Round 2 December 5, 2021 - 12:35 BRTWorld's Edge clubinvictusaim Paradox Esports Team DeftFox","Round 3 Round 3 December 5, 2021 - 13:10 BRTWorld's Edge Horus Fênix Team Elevate","Round 3 Round 3 December 5, 2021 - 13:10 BRTWorld's Edge Horus Fênix Team Elevate","Round 4 Round 4 December 5, 2021 - 13:45 BRTWorld's Edge BRAZUCAS Tekila LeaveNoWitness","Round 4 Round 4 December 5, 2021 - 13:45 BRTWorld's Edge BRAZUCAS Tekila LeaveNoWitness","Round 5 Round 5 December 5, 2021 - 14:20 BRTWorld's Edge Tekila Horus Insomnia","Round 5 Round 5 December 5, 2021 - 14:20 BRTWorld's Edge Tekila Horus Insomnia","Round 6 Round 6 December 5, 2021 - 14:55 BRTWorld's Edge Elevate BRAZUCAS clubinvictusaim","Round 6 Round 6 December 5, 2021 - 14:55 BRTWorld's Edge Elevate BRAZUCAS clubinvictusaim"
,Unnamed: 0_level_2,Team,Total,P,K,P,K,P,K,P,K,P,K,P,K
0,1.0,BRT,86,1,13,6,9,15,0,1,12,8,5,2,8
1,2.0,FNX,59,5,8,4,7,2,12,13,0,13,1,5,7
2,3.0,HRS,57,13,1,5,2,1,8,7,4,2,6,7,4
3,4.0,TK,56,3,5,8,3,14,3,2,4,1,8,9,0
4,5.0,ELV,56,2,7,7,0,3,3,9,2,5,4,1,3
5,6.0,FL,42,4,6,13,0,4,12,10,1,7,4,8,1
6,7.0,DFX,36,9,0,3,8,17,1,5,2,6,2,4,2
7,8.0,CIA,36,7,0,1,6,6,0,17,0,12,0,3,4
8,9.0,PRDX,35,8,7,2,6,11,0,4,4,16,0,12,0
9,10.0,BRZ,28,11,1,16,1,7,0,15,0,4,8,6,5
10,11.0,LNW,26,12,1,12,1,5,0,3,9,11,0,14,0
11,12.0,INS,23,17,0,15,0,10,6,8,2,3,2,15,0
12,13.0,ODK,21,14,2,10,1,13,4,16,3,17,0,13,6
13,14.0,PD,20,10,1,9,3,9,2,11,0,10,5,17,0
14,15.0,USB,14,18,0,11,0,8,1,6,0,15,1,10,3
15,16.0,As Misera,11,16,0,14,0,12,0,12,1,9,1,11,3
16,17.0,OMEGA,5,6,0,17,0,16,0,14,0,14,0,16,0
17,18.0,Duty calls,1,15,0,18,0,0,0,0,0,0,0,0,0
18,19.0,Natural Killer,0,0,0,0,0,0,0,0,0,0,0,0,0
19,20.0,No Org,0,0,0,0,0,0,0,0,0,0,0,0,0
