,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints
,Unnamed: 0_level_1,Team,Total,"Round 1 Round 1 November 20, 2021 - 12:00 BRTWorld's Edge Fake Love E-Sports Team DeftFox BreakingRulleZ","Round 1 Round 1 November 20, 2021 - 12:00 BRTWorld's Edge Fake Love E-Sports Team DeftFox BreakingRulleZ","Round 2 Round 2 November 20, 2021 - 12:35 BRTWorld's Edge Most Valuable Sobek e-Sports Team DeftFox","Round 2 Round 2 November 20, 2021 - 12:35 BRTWorld's Edge Most Valuable Sobek e-Sports Team DeftFox","Round 3 Round 3 November 20, 2021 - 13:10 BRTWorld's Edge Elevate Fake Love E-Sports Team DeftFox","Round 3 Round 3 November 20, 2021 - 13:10 BRTWorld's Edge Elevate Fake Love E-Sports Team DeftFox","Round 4 Round 4 November 20, 2021 - 13:45 BRTWorld's Edge Fake Love E-Sports Team Cruelty Slav Animals","Round 4 Round 4 November 20, 2021 - 13:45 BRTWorld's Edge Fake Love E-Sports Team Cruelty Slav Animals","Round 5 Round 5 November 20, 2021 - 14:20 BRTWorld's Edge Skull Cracker Dynamics Love Egirls","Round 5 Round 5 November 20, 2021 - 14:20 BRTWorld's Edge Skull Cracker Dynamics Love Egirls","Round 6 Round 6 November 20, 2021 - 14:55 BRTWorld's Edge BreakingRulleZ Sobek e-Sports Team DeftFox","Round 6 Round 6 November 20, 2021 - 14:55 BRTWorld's Edge BreakingRulleZ Sobek e-Sports Team DeftFox"
,Unnamed: 0_level_2,Team,Total,P,K,P,K,P,K,P,K,P,K,P,K
0,1.0,FL,103,1,14,12,4,2,11,1,16,6,4,4,12
1,2.0,SBK,58,9,5,2,9,7,4,7,1,5,4,2,5
2,3.0,BRZ,54,3,1,4,3,9,5,8,2,9,3,1,10
3,4.0,DFX,53,2,7,3,4,3,1,18,0,7,2,3,6
4,5.0,SKC,45,4,6,5,2,19,0,12,3,1,9,7,0
5,6.0,MVP,44,18,0,1,15,15,0,11,0,4,9,11,0
6,7.0,ELV,42,7,3,13,2,1,15,13,1,19,0,8,2
7,8.0,TK,40,8,7,18,0,6,1,6,9,8,7,6,3
8,9.0,DYN,35,5,2,9,0,10,3,4,3,2,3,10,0
9,10.0,TC,30,19,0,6,2,5,2,2,6,15,2,13,0
10,11.0,WILD,29,12,5,7,2,8,6,5,3,16,0,14,2
11,12.0,Slav Animals,22,11,2,8,2,16,0,3,5,11,1,15,0
12,13.0,Love Egirls,18,13,0,16,0,17,0,14,0,3,3,5,2
13,14.0,USB,17,14,0,10,3,13,2,17,0,10,0,9,4
14,15.0,ODK,14,6,1,14,1,12,1,19,0,14,2,16,3
15,16.0,No Org,14,10,0,11,2,14,0,9,2,13,2,18,1
16,17.0,SLU,12,15,0,15,5,18,0,15,0,18,0,12,3
17,18.0,DGL,11,16,1,17,0,11,2,10,3,12,0,17,1
18,19.0,INS,9,17,0,19,0,4,1,16,0,17,3,19,0
19,20.0,Natural Killer,0,20,0,20,0,20,0,20,0,20,0,20,0
