,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints
,Unnamed: 0_level_1,Team,Total,"Round 1 Round 1 March 19, 2022 - 14:00 SGTStorm Point DNZ Young RYU TEAM Lightning Junior","Round 1 Round 1 March 19, 2022 - 14:00 SGTStorm Point DNZ Young RYU TEAM Lightning Junior","Round 2 Round 2 March 19, 2022 - 14:30 SGTStorm Point DNZ Young September Jail Kings","Round 2 Round 2 March 19, 2022 - 14:30 SGTStorm Point DNZ Young September Jail Kings","Round 3 Round 3 March 19, 2022 - 15:00 SGTStorm Point DNZ Young MDY Black RYU TEAM","Round 3 Round 3 March 19, 2022 - 15:00 SGTStorm Point DNZ Young MDY Black RYU TEAM","Round 4 Round 4 March 19, 2022 - 15:30 SGTWorld's Edge iON-HAPPY YiTuoshi DRG","Round 4 Round 4 March 19, 2022 - 15:30 SGTWorld's Edge iON-HAPPY YiTuoshi DRG","Round 5 Round 5 March 19, 2022 - 16:00 SGTWorld's Edge MDY Black Ascendent DRG","Round 5 Round 5 March 19, 2022 - 16:00 SGTWorld's Edge MDY Black Ascendent DRG","Round 6 Round 6 March 19, 2022 - 16:30 SGTWorld's Edge Horizon (Thai team) Bajigur Team MDY Black","Round 6 Round 6 March 19, 2022 - 16:30 SGTWorld's Edge Horizon (Thai team) Bajigur Team MDY Black"
,Unnamed: 0_level_2,Team,Total,P,K,P,K,P,K,P,K,P,K,P,K
0,1.0,DNZY,90,1,15,1,11,1,8,5,5,4,6,16,0
1,2.0,MDYB,87,20,0,8,9,2,11,14,3,1,17,3,16
2,3.0,YTS,72,5,9,19,0,4,13,2,8,10,2,5,16
3,4.0,Horizon,54,12,8,11,3,8,3,19,0,6,10,1,11
4,5.0,iON-H,49,4,4,7,2,14,2,1,14,9,0,14,3
5,6.0,RYU,43,2,8,16,0,3,2,10,4,5,2,10,3
6,7.0,DRG,42,14,5,20,0,11,5,3,3,3,9,7,1
7,8.0,姐妹花,27,7,3,10,3,6,3,8,4,14,1,8,0
8,9.0,ASC,27,8,4,17,0,15,1,11,2,2,5,9,0
9,10.0,RZ,25,15,0,5,0,13,5,4,7,13,1,18,0
10,11.0,September,24,18,0,2,9,19,0,13,0,15,0,6,1
11,12.0,JKs,22,9,1,3,6,20,0,15,0,17,0,4,0
12,13.0,ZeroTwo,17,10,0,6,5,16,0,9,4,18,0,13,0
13,14.0,Baj,17,13,0,13,0,5,0,16,0,12,0,2,1
14,15.0,SOT,16,17,0,4,3,12,0,6,1,8,0,15,0
15,16.0,LIGJR,14,3,0,12,1,17,2,18,2,16,1,17,0
16,17.0,AmK,14,6,2,9,0,18,0,17,0,7,2,11,1
17,18.0,Soosmar slayer,13,19,0,15,4,7,0,7,0,11,0,12,0
18,19.0,OJ,4,16,0,14,0,10,0,12,0,19,0,19,0
19,20.0,TTS,3,11,0,18,0,9,0,20,0,20,0,20,0
