,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints
,Unnamed: 0_level_1,Team,Total,"Round 1 Round 1 March 20, 2022 - 12:00 JSTWorld's Edge Riddle Meteor GameWith","Round 1 Round 1 March 20, 2022 - 12:00 JSTWorld's Edge Riddle Meteor GameWith","Round 2 Round 2 March 20, 2022 - 12:30 JSTWorld's Edge FA kids GameWith Root Union Gaming","Round 2 Round 2 March 20, 2022 - 12:30 JSTWorld's Edge FA kids GameWith Root Union Gaming","Round 3 Round 3 March 20, 2022 - 13:00 JSTWorld's Edge LEDIAN MAGICAL Team UNITE Riddle","Round 3 Round 3 March 20, 2022 - 13:00 JSTWorld's Edge LEDIAN MAGICAL Team UNITE Riddle","Round 4 Round 4 March 20, 2022 - 13:30 JSTStorm Point United Crew γ GameWith Quintette Fortissimo","Round 4 Round 4 March 20, 2022 - 13:30 JSTStorm Point United Crew γ GameWith Quintette Fortissimo","Round 5 Round 5 March 20, 2022 - 14:00 JSTStorm Point Riddle United Crew γ LEDIAN MAGICAL","Round 5 Round 5 March 20, 2022 - 14:00 JSTStorm Point Riddle United Crew γ LEDIAN MAGICAL","Round 6 Round 6 March 20, 2022 - 14:30 JSTStorm Point GameWith REJECT FA kids","Round 6 Round 6 March 20, 2022 - 14:30 JSTStorm Point GameWith REJECT FA kids"
,Unnamed: 0_level_2,Team,Total,P,K,P,K,P,K,P,K,P,K,P,K
0,1.0,GW,72,3,10,2,5,7,1,2,2,11,3,1,10
1,2.0,FAK,65,19,0,1,17,12,3,10,9,18,0,3,14
2,3.0,UC,57,6,4,5,5,13,1,1,11,2,7,19,0
3,4.0,MTR,56,2,8,4,11,5,9,6,4,8,1,18,0
4,5.0,RID,55,1,8,20,0,3,3,18,0,1,9,5,0
5,6.0,RUG,43,16,0,3,2,17,1,7,5,4,12,4,3
6,7.0,LDN,42,15,0,10,6,1,8,13,1,3,2,8,0
7,8.0,Flora,40,20,0,7,1,4,11,5,6,6,5,13,1
8,9.0,RXC,38,8,6,17,0,10,2,9,4,12,1,7,15
9,10.0,LFTW,36,14,3,6,1,11,4,4,7,10,3,10,4
10,11.0,RC,34,12,2,16,0,14,2,15,4,15,6,2,7
11,12.0,QF,22,11,2,19,0,6,1,3,5,9,0,11,0
12,13.0,RIG-N,20,5,2,8,6,18,3,12,0,13,0,15,0
13,14.0,UNI,19,10,1,12,0,2,4,14,0,17,0,14,0
14,15.0,AVA,18,9,0,13,0,16,3,20,0,7,6,6,0
15,16.0,RPG,15,4,6,14,0,9,0,11,0,16,0,20,0
16,17.0,ALV,14,7,1,11,4,15,0,16,0,14,2,12,0
17,18.0,D4RK,13,13,1,9,1,8,2,19,0,20,0,9,2
18,19.0,BEXT,8,17,2,18,0,19,0,17,0,5,2,17,0
19,20.0,TW,7,18,0,15,0,20,0,8,1,19,0,16,3
