Standing,Team,Total,P,K,P.1,K.1,P.2,K.2,P.3,K.3,Lobby,Round,P.4,K.4,P.5,K.5
12.0,Team Lockdown,8,13,0,7,0,8,0,10,0,Lobby 3,Round_1,,,,
13.0,Lags Fault,6,10,0,9,0,11,0,13,0,Lobby 3,Round_1,,,,
1.0,MBTN,78,1,10,2,6,4,13,1,11,Lobby 4,Round_1,,,,
2.0,HeadHunters,53,2,6,3,9,1,9,13,0,Lobby 4,Round_1,,,,
3.0,4Thumbs1Arm,49,3,5,1,8,2,7,14,0,Lobby 4,Round_1,,,,
4.0,Warsoul Hammer,42,6,2,6,2,5,4,2,15,Lobby 4,Round_1,,,,
5.0,60 Hurtz,22,4,0,4,1,11,0,3,3,Lobby 4,Round_1,,,,
6.0,PWLS,17,7,8,12,1,9,0,12,1,Lobby 4,Round_1,,,,
7.0,Kopi,17,5,0,10,0,3,0,11,3,Lobby 4,Round_1,,,,
8.0,RJININ,15,9,1,5,3,12,2,10,0,Lobby 4,Round_1,,,,
9.0,INF,14,8,0,7,4,10,0,7,0,Lobby 4,Round_1,,,,
10.0,Elegants,12,13,0,14,0,6,1,5,2,Lobby 4,Round_1,,,,
11.0,Conquerors,12,10,0,8,2,7,0,6,0,Lobby 4,Round_1,,,,
12.0,Informal Squad,9,12,2,11,0,8,1,8,0,Lobby 4,Round_1,,,,
13.0,GOB Valhalla,9,14,0,13,0,14,0,4,1,Lobby 4,Round_1,,,,
14.0,Speed,7,11,0,9,1,13,0,9,0,Lobby 4,Round_1,,,,
1.0,GS,71,4,10,3,10,3,6,1,14,Lobby 5,Round_1,,,,
2.0,DSG,46,5,5,5,0,1,8,4,8,Lobby 5,Round_1,,,,
3.0,Multicultural,41,11,0,1,9,2,6,10,2,Lobby 5,Round_1,,,,
4.0,Easy AF!,31,2,2,8,3,7,6,5,2,Lobby 5,Round_1,,,,
5.0,South Cartel,31,1,8,9,0,4,2,8,0,Lobby 5,Round_1,,,,
6.0,PG,26,12,3,2,5,6,3,9,0,Lobby 5,Round_1,,,,
7.0,END,25,6,4,7,0,8,1,3,5,Lobby 5,Round_1,,,,
8.0,The Desi Boys,17,9,0,11,0,9,0,2,3,Lobby 5,Round_1,,,,
9.0,Keep it 100,16,3,0,6,2,11,0,6,0,Lobby 5,Round_1,,,,
10.0,Nostalgic,13,13,0,4,5,12,0,11,0,Lobby 5,Round_1,,,,
11.0,InfernoDSC,12,8,0,13,0,5,4,12,0,Lobby 5,Round_1,,,,
12.0,clanGH0ST,11,10,0,10,0,10,0,7,2,Lobby 5,Round_1,,,,
13.0,DDYM,7,7,1,12,0,13,0,13,0,Lobby 5,Round_1,,,,
1.0,WGGxPK,46,12,1,1,6,1,12,11,1,Lobby 6,Round_1,,,,
2.0,DYN,44,3,7,6,8,7,6,7,7,Lobby 6,Round_1,,,,
3.0,RL.XV,37,5,5,2,14,9,1,8,0,Lobby 6,Round_1,,,,
4.0,EVO.Shadow,36,10,0,3,9,2,7,10,0,Lobby 6,Round_1,,,,
5.0,QE.NY,32,8,7,5,1,6,1,5,10,Lobby 6,Round_1,,,,
6.0,OC,32,1,8,10,0,10,3,9,3,Lobby 6,Round_1,,,,
7.0,September,30,2,4,13,0,5,2,2,1,Lobby 6,Round_1,,,,
8.0,DESI,27,14,0,7,0,11,3,1,7,Lobby 6,Round_1,,,,
9.0,IRATCHAIMAZE,16,7,4,9,0,13,0,6,3,Lobby 6,Round_1,,,,
10.0,tXt,15,11,0,8,0,3,0,4,0,Lobby 6,Round_1,,,,
11.0,Nitrogen Oxide,14,6,0,20,0,20,0,3,4,Lobby 6,Round_1,,,,
12.0,GOB boomers,9,9,0,12,0,4,0,12,0,Lobby 6,Round_1,,,,
13.0,VENOM KNF,9,13,0,4,0,8,0,14,0,Lobby 6,Round_1,,,,
14.0,MimpiSMP,8,4,0,11,0,12,0,13,0,Lobby 6,Round_1,,,,
1.0,DNZ,69,4,6,9,6,2,13,1,16,Lobby 7,Round_1,,,,
2.0,AMG TW,53,9,3,1,17,3,5,7,4,Lobby 7,Round_1,,,,
3.0,WHIZ,44,1,17,11,0,11,2,2,2,Lobby 7,Round_1,,,,
4.0,EVO BERZ,43,8,1,2,10,1,7,10,0,Lobby 7,Round_1,,,,
5.0,Yang baca jelek,36,5,6,4,1,4,5,6,7,Lobby 7,Round_1,,,,
6.0,SLK,26,2,0,3,0,9,1,5,3,Lobby 7,Round_1,,,,
7.0,Team Psycho,15,6,0,6,1,5,3,13,0,Lobby 7,Round_1,,,,
8.0,Vaczer Esport,15,3,3,13,0,13,1,8,0,Lobby 7,Round_1,,,,
9.0,Triple Threat OG,15,12,0,5,0,10,0,3,1,Lobby 7,Round_1,,,,
10.0,Happy To Be Here,11,13,0,10,1,8,0,4,0,Lobby 7,Round_1,,,,
11.0,Triple Cobra,10,7,0,7,0,7,0,12,0,Lobby 7,Round_1,,,,
12.0,WINGS,8,10,0,12,0,12,0,11,3,Lobby 7,Round_1,,,,
13.0,GaleottoD4C,8,11,0,8,0,6,0,9,0,Lobby 7,Round_1,,,,
1.0,WGG,68,1,9,10,7,2,16,5,9,Lobby 8,Round_1,,,,
2.0,DREAM,48,2,8,8,1,12,0,1,15,Lobby 8,Round_1,,,,
3.0,Estrell,37,4,5,5,2,10,3,2,7,Lobby 8,Round_1,,,,
4.0,Quentiam,36,11,2,1,9,5,0,6,5,Lobby 8,Round_1,,,,
5.0,BTCxWGG,31,3,6,14,0,9,4,3,4,Lobby 8,Round_1,,,,
6.0,Exusiai,30,13,0,3,3,1,5,10,0,Lobby 8,Round_1,,,,
7.0,Teriyaki Boyz,25,5,3,4,5,8,0,4,1,Lobby 8,Round_1,,,,
8.0,Boink Gang,24,8,3,2,8,14,0,14,0,Lobby 8,Round_1,,,,
9.0,Rogue_One,21,7,1,6,0,3,6,11,0,Lobby 8,Round_1,,,,
10.0,Hardstuck D4,20,6,1,11,3,7,6,7,0,Lobby 8,Round_1,,,,
11.0,Prey,14,10,0,7,0,4,2,9,0,Lobby 8,Round_1,,,,
12.0,Freedom,6,9,0,13,1,11,0,13,0,Lobby 8,Round_1,,,,
13.0,Waht Are WeDoing,6,14,0,12,0,6,0,12,0,Lobby 8,Round_1,,,,
14.0,Saint,6,12,0,9,0,13,0,8,0,Lobby 8,Round_1,,,,
1.0,TX,58,16,6,10,4,1,15,7,16,Lobby 1,Quarterfinals,,,,
2.0,April,56,3,18,1,15,17,0,8,2,Lobby 1,Quarterfinals,,,,
3.0,WAT,44,1,6,8,2,11,0,1,9,Lobby 1,Quarterfinals,,,,
4.0,IFPD,41,18,0,6,9,2,4,3,9,Lobby 1,Quarterfinals,,,,
5.0,StrawberryJam,32,2,8,14,0,9,2,2,1,Lobby 1,Quarterfinals,,,,
6.0,RL.IXiA,30,14,0,7,4,4,9,5,4,Lobby 1,Quarterfinals,,,,
7.0,INF,29,5,7,2,3,18,2,14,3,Lobby 1,Quarterfinals,,,,
8.0,NaresuanSniper,28,17,0,4,10,3,4,10,0,Lobby 1,Quarterfinals,,,,
9.0,Pavlova,24,7,0,9,3,5,3,4,4,Lobby 1,Quarterfinals,,,,
10.0,OGL,22,4,2,11,0,6,9,13,1,Lobby 1,Quarterfinals,,,,
11.0,SkarptSinne,17,12,0,3,0,10,1,6,3,Lobby 1,Quarterfinals,,,,
12.0,LAG,16,9,5,15,1,12,5,11,0,Lobby 1,Quarterfinals,,,,
13.0,Astreaks Gaming,9,6,0,5,1,13,0,18,0,Lobby 1,Quarterfinals,,,,
14.0,a搞耍小隊,8,8,2,20,1,19,0,16,3,Lobby 1,Quarterfinals,,,,
15.0,Fogyo City,7,13,1,12,1,7,0,20,0,Lobby 1,Quarterfinals,,,,
16.0,Losin Control,6,10,0,13,1,20,0,12,1,Lobby 1,Quarterfinals,,,,
17.0,JOKO,5,11,0,17,0,15,0,17,3,Lobby 1,Quarterfinals,,,,
18.0,TEAM MIRACLE,5,20,0,18,1,8,1,15,0,Lobby 1,Quarterfinals,,,,
19.0,FLRV,4,15,0,16,0,16,0,9,1,Lobby 1,Quarterfinals,,,,
20.0,Team Shinigami,2,19,0,19,0,14,1,19,0,Lobby 1,Quarterfinals,,,,
1.0,MDY,76,3,7,6,13,1,12,3,15,Lobby 2,Quarterfinals,,,,
2.0,MBTN,47,1,10,3,16,14,0,14,0,Lobby 2,Quarterfinals,,,,
3.0,4Thumbs1Arm,34,12,0,9,3,2,3,1,4,Lobby 2,Quarterfinals,,,,
4.0,HeadHunters,31,2,10,7,1,11,3,12,3,Lobby 2,Quarterfinals,,,,
5.0,60 Hurtz,30,9,4,1,2,4,1,10,2,Lobby 2,Quarterfinals,,,,
6.0,BOG,26,6,8,2,0,9,0,9,2,Lobby 2,Quarterfinals,,,,
7.0,SNG,23,7,3,5,4,6,6,17,0,Lobby 2,Quarterfinals,,,,
8.0,Warsoul Hammer,22,16,3,18,0,12,3,4,10,Lobby 2,Quarterfinals,,,,
9.0,RJININ,22,15,3,8,1,3,8,16,0,Lobby 2,Quarterfinals,,,,
10.0,NMLS,21,20,0,16,3,8,7,7,6,Lobby 2,Quarterfinals,,,,
11.0,PWLS,21,17,0,12,6,10,2,2,1,Lobby 2,Quarterfinals,,,,
12.0,EVOS,20,4,1,10,0,5,6,8,0,Lobby 2,Quarterfinals,,,,
13.0,Antiaa,15,13,1,4,1,15,1,5,1,Lobby 2,Quarterfinals,,,,
14.0,AU REVENGE,11,5,6,19,0,17,0,18,1,Lobby 2,Quarterfinals,,,,
15.0,RebellioN,9,11,0,11,3,18,0,11,3,Lobby 2,Quarterfinals,,,,
16.0,Kopi,8,10,0,15,1,13,0,6,0,Lobby 2,Quarterfinals,,,,
17.0,Elegants,6,8,0,20,0,7,0,13,0,Lobby 2,Quarterfinals,,,,
18.0,GOD OF DREAM,2,14,0,17,0,19,0,15,0,Lobby 2,Quarterfinals,,,,
19.0,NRD,1,18,0,13,0,16,0,20,0,Lobby 2,Quarterfinals,,,,
20.0,INF,1,19,0,14,0,20,0,20,0,Lobby 2,Quarterfinals,,,,
1.0,GS,70,2,15,19,0,1,18,3,9,Lobby 3,Quarterfinals,,,,
2.0,WGGxPK,57,1,11,1,7,2,6,16,0,Lobby 3,Quarterfinals,,,,
3.0,Multicultural,40,13,0,3,5,4,4,1,6,Lobby 3,Quarterfinals,,,,
4.0,DYN,36,4,4,2,9,11,4,8,2,Lobby 3,Quarterfinals,,,,
5.0,DSG,31,3,7,12,1,12,6,5,4,Lobby 3,Quarterfinals,,,,
6.0,QE.NY,25,7,5,8,9,18,0,12,5,Lobby 3,Quarterfinals,,,,
7.0,EVO.Shadow,20,8,4,17,2,10,0,9,8,Lobby 3,Quarterfinals,,,,
8.0,September,20,10,3,5,3,15,1,6,3,Lobby 3,Quarterfinals,,,,
9.0,PG,20,5,1,11,4,9,0,4,3,Lobby 3,Quarterfinals,,,,
10.0,Keep it 100,19,9,0,6,3,3,1,7,0,Lobby 3,Quarterfinals,,,,
11.0,South Cartel,18,12,0,16,0,6,1,2,4,Lobby 3,Quarterfinals,,,,
12.0,OC,16,19,0,18,0,7,8,15,4,Lobby 3,Quarterfinals,,,,
13.0,The Desi Boys,13,17,0,7,4,14,5,18,0,Lobby 3,Quarterfinals,,,,
14.0,DESI,12,15,2,15,0,8,1,10,3,Lobby 3,Quarterfinals,,,,
15.0,END,12,16,0,4,4,17,0,11,2,Lobby 3,Quarterfinals,,,,
16.0,IRATCHAIMAZE,10,6,3,10,1,16,0,19,1,Lobby 3,Quarterfinals,,,,
17.0,Nostalgic,8,11,0,14,0,5,1,14,0,Lobby 3,Quarterfinals,,,,
18.0,Easy AF!,7,14,0,9,3,19,0,13,0,Lobby 3,Quarterfinals,,,,
19.0,tXt,2,18,0,13,0,13,0,17,0,Lobby 3,Quarterfinals,,,,
20.0,RL.XV,0,20,0,20,0,20,0,20,0,Lobby 3,Quarterfinals,,,,
1.0,DNZ,50,3,5,9,6,8,8,2,11,Lobby 4,Quarterfinals,,,,
2.0,Estrell,48,7,4,2,9,2,3,3,4,Lobby 4,Quarterfinals,,,,
3.0,AMG TW,44,10,4,7,6,1,13,9,2,Lobby 4,Quarterfinals,,,,
4.0,WHIZ,42,6,6,1,9,12,7,14,3,Lobby 4,Quarterfinals,,,,
5.0,WGG,40,2,16,10,3,15,3,6,3,Lobby 4,Quarterfinals,,,,
6.0,DREAM,37,1,14,8,4,16,2,7,0,Lobby 4,Quarterfinals,,,,
7.0,Hardstuck D4,36,11,0,19,0,7,5,1,15,Lobby 4,Quarterfinals,,,,
8.0,BTCxWGG,22,5,0,15,3,10,0,4,7,Lobby 4,Quarterfinals,,,,
9.0,EVO BERZ,18,19,1,6,4,18,0,5,6,Lobby 4,Quarterfinals,,,,
10.0,SLK,17,9,0,5,3,6,0,8,3,Lobby 4,Quarterfinals,,,,
11.0,Teriyaki Boyz,17,16,0,3,1,4,2,10,0,Lobby 4,Quarterfinals,,,,
12.0,Quentiam,16,14,4,18,3,11,5,12,1,Lobby 4,Quarterfinals,,,,
13.0,Vaczer Esport,14,4,0,4,3,13,0,19,0,Lobby 4,Quarterfinals,,,,
14.0,Triple Threat OG,13,15,0,14,0,3,4,18,0,Lobby 4,Quarterfinals,,,,
15.0,Boink Gang,10,8,0,11,1,5,1,11,0,Lobby 4,Quarterfinals,,,,
16.0,Yang baca jelek,9,12,7,16,1,20,0,20,0,Lobby 4,Quarterfinals,,,,
17.0,Exusiai,6,13,0,12,0,9,1,13,0,Lobby 4,Quarterfinals,,,,
18.0,Team Psycho,2,17,0,13,1,19,0,16,0,Lobby 4,Quarterfinals,,,,
19.0,Happy To Be Here,1,20,0,20,0,14,0,17,0,Lobby 4,Quarterfinals,,,,
20.0,Rogue_One,1,18,0,17,0,17,0,15,0,Lobby 4,Quarterfinals,,,,
1.0,MDY,93,3,9,1,14,11,11,16,0,Lobby 1,Semifinals,1.0,21.0,15.0,5.0
2.0,MBTN,77,9,0,2,1,1,13,5,1,Lobby 1,Semifinals,2.0,6.0,1.0,8.0
3.0,SNG,55,19,1,3,8,2,4,2,9,Lobby 1,Semifinals,4.0,0.0,6.0,0.0
4.0,PWLS,52,6,1,11,1,5,9,9,1,Lobby 1,Semifinals,6.0,5.0,2.0,13.0
5.0,April,50,12,5,6,6,6,7,7,4,Lobby 1,Semifinals,5.0,2.0,5.0,8.0
6.0,TX,38,16,3,4,7,17,3,12,3,Lobby 1,Semifinals,3.0,8.0,13.0,0.0
7.0,Warsoul Hammer,38,11,3,19,0,4,4,1,8,Lobby 1,Semifinals,8.0,3.0,18.0,0.0
8.0,NaresuanSniper,37,2,9,9,6,15,2,14,3,Lobby 1,Semifinals,10.0,0.0,16.0,2.0
9.0,HeadHunters,37,1,12,14,2,7,2,15,0,Lobby 1,Semifinals,14.0,2.0,14.0,0.0
10.0,Pavlova,31,8,0,10,0,19,0,3,6,Lobby 1,Semifinals,13.0,2.0,4.0,6.0
11.0,IFPD,30,5,4,7,5,14,3,19,0,Lobby 1,Semifinals,9.0,0.0,10.0,6.0
12.0,RL.IXiA,25,14,3,13,0,8,0,4,8,Lobby 1,Semifinals,15.0,0.0,12.0,3.0
13.0,4Thumbs1Arm,23,13,0,17,0,18,0,6,2,Lobby 1,Semifinals,12.0,4.0,3.0,5.0
14.0,WAT,19,7,3,8,4,10,0,17,3,Lobby 1,Semifinals,11.0,0.0,11.0,0.0
15.0,BOG,16,4,1,15,1,3,0,13,0,Lobby 1,Semifinals,18.0,0.0,20.0,0.0
16.0,INF,12,15,0,16,0,12,0,10,6,Lobby 1,Semifinals,17.0,0.0,8.0,0.0
17.0,RJININ,10,10,1,12,0,20,0,8,3,Lobby 1,Semifinals,20.0,1.0,17.0,0.0
18.0,StrawberryJam,10,18,0,5,2,13,0,18,0,Lobby 1,Semifinals,16.0,0.0,9.0,1.0
19.0,OGL,10,20,0,20,0,9,0,11,0,Lobby 1,Semifinals,7.0,0.0,7.0,1.0
20.0,60 Hurtz,0,17,0,18,0,16,0,20,0,Lobby 1,Semifinals,19.0,0.0,19.0,0.0
1.0,GS,94,3,12,1,9,2,20,13,2,Lobby 2,Semifinals,10.0,8.0,5.0,8.0
2.0,PG,66,2,4,2,9,6,0,7,2,Lobby 2,Semifinals,2.0,6.0,2.0,3.0
3.0,DYN,46,9,1,3,4,19,0,1,13,Lobby 2,Semifinals,4.0,0.0,10.0,0.0
4.0,WGGxPK,44,11,6,15,0,3,7,2,8,Lobby 2,Semifinals,19.0,0.0,15.0,4.0
5.0,Estrell,44,6,2,10,0,1,5,4,4,Lobby 2,Semifinals,15.0,0.0,3.0,3.0
6.0,DNZ,43,7,5,19,0,17,0,12,0,Lobby 2,Semifinals,1.0,12.0,4.0,5.0
7.0,WGG,42,18,1,20,1,4,4,6,13,Lobby 2,Semifinals,6.0,12.0,18.0,0.0
8.0,AMG TW,42,1,9,4,3,14,1,16,2,Lobby 2,Semifinals,7.0,6.0,17.0,0.0
9.0,WHIZ,37,19,2,13,3,11,2,9,1,Lobby 2,Semifinals,20.0,0.0,1.0,13.0
10.0,BTCxWGG,32,10,5,12,6,9,0,18,0,Lobby 2,Semifinals,3.0,6.0,8.0,1.0
11.0,EVO.Shadow,26,15,0,7,6,10,1,19,0,Lobby 2,Semifinals,8.0,4.0,12.0,6.0
12.0,DREAM,26,13,1,16,3,8,1,14,2,Lobby 2,Semifinals,5.0,3.0,6.0,5.0
13.0,QE.NY,25,4,5,6,6,16,0,5,0,Lobby 2,Semifinals,14.0,1.0,16.0,0.0
14.0,DSG,23,5,3,18,0,7,7,8,3,Lobby 2,Semifinals,17.0,0.0,13.0,0.0
15.0,Teriyaki Boyz,22,16,0,8,3,15,0,3,5,Lobby 2,Semifinals,9.0,0.0,14.0,1.0
16.0,Multicultural,16,12,0,5,0,18,1,11,3,Lobby 2,Semifinals,12.0,0.0,7.0,2.0
17.0,Keep it 100,15,8,2,11,1,5,3,17,0,Lobby 2,Semifinals,16.0,0.0,9.0,0.0
18.0,EVO BERZ,11,20,0,9,5,13,2,20,0,Lobby 2,Semifinals,13.0,0.0,19.0,0.0
19.0,September,8,17,0,17,0,12,2,10,0,Lobby 2,Semifinals,11.0,0.0,11.0,1.0
20.0,Hardstuck D4,4,14,0,14,1,20,0,15,0,Lobby 2,Semifinals,18.0,0.0,20.0,0.0
1.0,WGG,71,2,11,11,5,2,11,3,9,Lobby 1,Finals,6.0,5.0,13.0,0.0
2.0,DNZ,66,12,2,9,7,5,4,1,16,Lobby 1,Finals,11.0,7.0,5.0,6.0
3.0,MDY,56,1,12,16,4,13,5,7,5,Lobby 1,Finals,3.0,6.0,12.0,0.0
4.0,TX,53,19,1,7,1,4,6,14,3,Lobby 1,Finals,2.0,6.0,3.0,11.0
5.0,GS,51,15,1,4,5,6,7,12,3,Lobby 1,Finals,8.0,7.0,6.0,13.0
6.0,WHIZ,44,6,3,1,11,15,1,11,1,Lobby 1,Finals,13.0,3.0,8.0,5.0
7.0,Warsoul Hammer,43,16,2,14,0,1,6,2,5,Lobby 1,Finals,14.0,3.0,9.0,2.0
8.0,PG,41,4,1,2,1,18,0,6,0,Lobby 1,Finals,9.0,1.0,1.0,7.0
9.0,DYN,39,5,3,19,0,3,3,4,2,Lobby 1,Finals,15.0,0.0,2.0,5.0
10.0,Pavlova,38,9,3,17,1,10,1,9,5,Lobby 1,Finals,1.0,5.0,4.0,0.0
11.0,SNG,29,10,2,3,5,9,3,10,2,Lobby 1,Finals,19.0,0.0,10.0,2.0
12.0,AMG TW,28,14,2,5,10,12,0,8,0,Lobby 1,Finals,18.0,3.0,7.0,2.0
13.0,Estrell,24,17,3,13,0,14,3,5,4,Lobby 1,Finals,4.0,2.0,14.0,0.0
14.0,PWLS,21,3,3,6,4,16,0,17,2,Lobby 1,Finals,10.0,0.0,16.0,0.0
15.0,WGGxPK,16,13,1,18,0,8,4,15,0,Lobby 1,Finals,5.0,1.0,11.0,1.0
16.0,MBTN,12,11,1,15,2,7,1,16,1,Lobby 1,Finals,17.0,0.0,17.0,2.0
17.0,April,11,7,3,10,0,17,0,13,0,Lobby 1,Finals,12.0,1.0,18.0,0.0
18.0,HeadHunters,7,8,0,8,1,11,0,18,0,Lobby 1,Finals,16.0,0.0,15.0,0.0
19.0,BTCxWGG,4,18,0,12,0,19,0,19,0,Lobby 1,Finals,7.0,0.0,19.0,0.0
20.0,NaresuanSniper,0,20,0,20,0,20,0,20,0,Lobby 1,Finals,20.0,0.0,20.0,0.0
