A vs C StandingsPlacements and killsPoints,Team,Total,P,K,P,K,P,K,P,K,P,K,P,K
1.0,DEWA,64,6,4,5,3,6,4,1,11,13,3,3,9
2.0,E6,62,7,3,3,3,2,8,6,2,3,6,5,7
3.0,DTN,56,10,4,7,3,5,10,9,0,5,7,1,5
4.0,100T,54,9,0,2,4,9,5,4,8,8,0,2,8
5.0,PLRS,40,18,0,1,12,12,0,5,8,16,0,11,2
6.0,ALL,40,2,2,13,2,19,0,2,14,20,0,8,1
7.0,ELV,39,5,7,14,7,7,5,10,1,10,3,6,1
8.0,ODK,36,19,0,15,0,1,11,3,3,19,0,13,1
9.0,EMP,28,16,3,9,2,16,0,14,4,18,3,9,11
10.0,C9,28,17,0,19,0,3,8,11,3,14,6,17,2
11.0,TSM,28,11,2,18,6,17,1,7,0,12,0,4,9
12.0,FL,27,3,8,10,3,10,0,15,0,11,2,12,0
13.0,STK,26,12,0,6,2,14,0,17,0,1,7,18,0
14.0,RNT,25,4,13,17,1,8,2,16,1,15,0,20,0
15.0,NRG,25,15,3,11,0,20,1,13,0,2,8,15,0
16.0,V3,25,8,0,4,7,4,2,19,0,9,0,14,1
17.0,XEN,21,1,7,12,0,13,0,20,0,17,0,16,0
18.0,SZ,20,14,0,8,1,11,1,8,2,6,3,10,2
19.0,RC,15,13,1,20,1,18,1,12,0,4,4,19,1
20.0,αDR,14,20,0,16,1,15,1,18,0,7,5,7,0
