Standing,Team,Total,P,K,P,K,P,K,P,K,P,K,P,K
1.0,P4C,84,1,12,8,2,5,4,3,15,14,0,1,13
2.0,POLSKA,75,2,5,12,2,1,14,1,13,15,0,12,5
3.0,TTD,52,4,5,9,0,4,2,2,4,1,8,17,0
4.0,NCJA,48,10,2,1,9,11,0,5,1,7,5,3,2
5.0,NIBL,43,6,9,15,0,12,0,6,5,3,6,5,4
6.0,SNK,41,3,4,3,6,6,4,4,2,10,0,11,0
7.0,SPPI,38,8,6,2,8,17,0,8,0,4,4,10,0
8.0,LPOG,36,12,2,4,2,7,3,9,3,5,2,4,4
9.0,BGTTS,29,16,1,14,3,3,9,17,2,11,0,9,3
10.0,UTFT,27,7,0,16,0,18,0,15,0,6,6,2,5
11.0,Reset,26,11,1,11,2,13,3,18,0,2,5,7,0
12.0,SLAP,25,9,3,18,0,2,8,13,0,16,1,13,0
13.0,HKE,24,5,0,17,0,14,0,10,1,9,5,6,6
14.0,TNM,19,17,0,6,6,9,0,11,4,17,0,16,3
15.0,ARIS,17,15,0,5,5,10,0,7,0,13,0,15,0
16.0,NBB,14,18,0,13,0,8,1,16,1,8,6,14,0
17.0,KYKLOS,13,14,0,7,4,15,0,12,0,12,0,8,0
18.0,YK,7,13,0,10,1,16,2,14,0,0,0,0,0
19.0,1872,0,0,0,0,0,0,0,0,0,0,0,0,0
