Standing,Team,Total,P,K,P.1,K.1,P.2,K.2,P.3,K.3,P.4,K.4,P.5,K.5,Bracket,LCQ,Group A StandingsPlacements and killsPoints
1.0,Ratio,76,9,3,20,1,6,3,2,5,2,6,1,17,Finals,Last_Chance_Qualifier_1,
2.0,b0ts,68,5,6,2,3,1,9,18,1,6,5,4,6,Finals,Last_Chance_Qualifier_1,
3.0,P4C,53,18,1,3,16,4,9,9,4,12,6,15,1,Finals,Last_Chance_Qualifier_1,
4.0,UTFT,44,17,3,1,5,2,6,5,0,11,1,16,3,Finals,Last_Chance_Qualifier_1,
5.0,SCTA,42,16,0,5,2,14,5,8,3,8,5,3,8,Finals,Last_Chance_Qualifier_1,
6.0,ZBW,42,7,2,12,4,9,0,4,0,4,3,2,4,Finals,Last_Chance_Qualifier_1,
7.0,drain,39,10,0,19,0,8,2,3,13,3,2,11,1,Finals,Last_Chance_Qualifier_1,
8.0,RAT,38,20,1,8,1,5,5,10,1,9,5,6,2,Finals,Last_Chance_Qualifier_1,
9.0,SNK,36,12,0,10,4,12,0,7,6,1,6,14,0,Finals,Last_Chance_Qualifier_1,
10.0,NIBL,34,15,3,7,3,11,3,1,8,19,0,20,0,Finals,Last_Chance_Qualifier_1,
11.0,TTD,29,3,1,16,3,3,3,12,2,5,1,18,0,Finals,Last_Chance_Qualifier_1,
12.0,BBG,27,6,3,18,0,20,0,17,5,7,5,17,0,Finals,Last_Chance_Qualifier_1,
13.0,BFG,27,4,5,11,1,10,1,16,1,10,0,9,0,Finals,Last_Chance_Qualifier_1,
14.0,BGTTS,25,14,2,6,8,13,1,6,3,20,0,12,2,Finals,Last_Chance_Qualifier_1,
15.0,CG,24,11,3,14,1,18,3,14,1,14,7,8,2,Finals,Last_Chance_Qualifier_1,
16.0,SPPI,20,19,0,4,0,16,0,15,2,17,0,7,9,Finals,Last_Chance_Qualifier_1,
17.0,LPOG,20,2,7,13,3,19,0,19,0,18,0,19,0,Finals,Last_Chance_Qualifier_1,
18.0,XD,20,13,0,9,0,15,0,13,1,15,1,10,1,Finals,Last_Chance_Qualifier_1,
19.0,POLSKA,13,20,0,17,1,7,6,20,0,13,0,13,1,Finals,Last_Chance_Qualifier_1,
20.0,NCJA,12,8,3,15,0,17,0,11,0,16,0,5,1,Finals,Last_Chance_Qualifier_1,
1.0,P4C,84,1,12,8,2,5,4,3,15,14,0,1,13,Losers_Bracket,Last_Chance_Qualifier_1,
2.0,POLSKA,75,2,5,12,2,1,14,1,13,15,0,12,5,Losers_Bracket,Last_Chance_Qualifier_1,
3.0,TTD,52,4,5,9,0,4,2,2,4,1,8,17,0,Losers_Bracket,Last_Chance_Qualifier_1,
4.0,NCJA,48,10,2,1,9,11,0,5,1,7,5,3,2,Losers_Bracket,Last_Chance_Qualifier_1,
