,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints
,Unnamed: 0_level_1,Team,Total,"Round 1 Round 1 March 27, 2022 - 15:00 EDTStorm Point Money Miners oYo CCE UCX","Round 1 Round 1 March 27, 2022 - 15:00 EDTStorm Point Money Miners oYo CCE UCX","Round 2 Round 2 March 27, 2022 - 15:30 EDTStorm Point CDE RAWRXDTEEHEE CCE UCX","Round 2 Round 2 March 27, 2022 - 15:30 EDTStorm Point CDE RAWRXDTEEHEE CCE UCX","Round 3 Round 3 March 27, 2022 - 16:00 EDTWorld's Edge Money Miners Ironic bonusbonusbonus","Round 3 Round 3 March 27, 2022 - 16:00 EDTWorld's Edge Money Miners Ironic bonusbonusbonus","Round 4 Round 4 March 27, 2022 - 16:30 EDTWorld's Edge Northern Forces CCE UCX bonusbonusbonus","Round 4 Round 4 March 27, 2022 - 16:30 EDTWorld's Edge Northern Forces CCE UCX bonusbonusbonus"
,Unnamed: 0_level_2,Team,Total,P,K,P,K,P,K,P,K
0,1.0,CCE UCX,54,3,2,3,6,6,4,2,16
1,2.0,MM,53,1,8,4,2,1,13,15,0
2,3.0,BBB,40,8,5,11,5,3,7,3,6
3,4.0,CDE,36,16,0,1,9,8,4,4,4
4,5.0,IRONIC,34,12,5,6,2,2,6,6,5
5,6.0,OYO,27,2,6,13,1,4,0,10,3
6,7.0,North,25,11,1,9,4,15,0,1,4
7,8.0,iRL,22,4,7,15,7,14,1,17,0
8,9.0,ING,22,19,0,20,0,5,10,5,4
9,10.0,CIMJ,22,7,7,10,2,10,4,9,0
10,11.0,laundro,18,10,4,7,6,16,0,7,0
11,12.0,RAWR,18,15,3,2,2,20,0,16,3
12,13.0,BlueCord,16,17,0,5,4,19,0,11,7
13,14.0,Anfield,11,5,1,8,0,12,2,13,0
14,15.0,Easy,10,13,3,12,0,13,3,14,0
15,16.0,cleevlund roxs,8,14,1,17,0,7,3,20,0
16,17.0,PredX,7,18,0,14,3,17,1,12,1
17,18.0,Adolla,6,6,0,18,3,18,0,19,0
18,19.0,RLP,6,20,0,16,1,11,0,8,2
19,20.0,LNT,5,9,1,19,0,9,0,18,0
