,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints
,Unnamed: 0_level_1,Team,Total,"Round 1 Round 1 March 12, 2022 - 12:00 SGTStorm Point September JustEasyTeam iON RYU","Round 1 Round 1 March 12, 2022 - 12:00 SGTStorm Point September JustEasyTeam iON RYU","Round 2 Round 2 March 12, 2022 - 12:30 SGTStorm Point Endless Gaming 2 Chonky Bees Phantom","Round 2 Round 2 March 12, 2022 - 12:30 SGTStorm Point Endless Gaming 2 Chonky Bees Phantom","Round 3 Round 3 March 12, 2022 - 13:00 SGTWorld's Edge 姐妹花 dycalz Incarnate","Round 3 Round 3 March 12, 2022 - 13:00 SGTWorld's Edge 姐妹花 dycalz Incarnate","Round 4 Round 4 March 12, 2022 - 13:30 SGTWorld's Edge 姐妹花 September Horizon (Thai team)","Round 4 Round 4 March 12, 2022 - 13:30 SGTWorld's Edge 姐妹花 September Horizon (Thai team)"
,Unnamed: 0_level_2,Team,Total,P,K,P,K,P,K,P,K
0,1.0,姐妹花,74,5,12,4,5,1,13,1,11
1,2.0,END2,55,6,4,1,12,8,19,16,3
2,3.0,September,45,1,7,12,2,13,0,2,13
3,4.0,JET,29,2,4,16,4,12,3,9,6
4,5.0,iONR,29,3,7,6,5,10,0,14,4
5,6.0,Horizon,24,12,3,17,0,7,4,3,6
6,7.0,Incarnate,24,4,2,8,1,3,5,12,1
7,8.0,Chonky Bees,22,13,0,2,7,11,0,5,0
8,9.0,Phantom,21,9,2,3,2,4,0,7,0
9,10.0,ZeroTwo,18,17,3,11,4,18,0,4,5
10,11.0,Team Sidai,13,10,1,10,1,5,1,8,0
11,12.0,dycalz,13,16,0,13,0,2,2,13,0
12,13.0,gib reps,12,14,0,7,4,9,1,15,0
13,14.0,Behr,11,7,0,14,3,6,1,18,0
14,15.0,Monkey Predator,7,8,1,15,0,16,0,6,0
15,16.0,oWLbEAR,6,18,0,5,0,17,0,10,0
16,17.0,Speed,4,15,0,9,0,15,0,17,0
17,18.0,WEEEEEJ,3,11,0,18,0,14,0,11,0
