,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints
,Unnamed: 0_level_1,Team,Total,"Round 1 Round 1 January 8, 2022 - 12:00 JSTWorld's Edge Ark5 Team Numa Fujii Gaming","Round 1 Round 1 January 8, 2022 - 12:00 JSTWorld's Edge Ark5 Team Numa Fujii Gaming","Round 2 Round 2 January 8, 2022 - 12:35 JSTWorld's Edge Crest Gaming SyS SYSTEM eSports","Round 2 Round 2 January 8, 2022 - 12:35 JSTWorld's Edge Crest Gaming SyS SYSTEM eSports","Round 3 Round 3 January 8, 2022 - 13:10 JSTWorld's Edge BlackGorillaN Jadeite Team Numa","Round 3 Round 3 January 8, 2022 - 13:10 JSTWorld's Edge BlackGorillaN Jadeite Team Numa","Round 4 Round 4 January 8, 2022 - 13:45 JSTWorld's Edge KAIJU Ace1 Jadeite","Round 4 Round 4 January 8, 2022 - 13:45 JSTWorld's Edge KAIJU Ace1 Jadeite","Round 5 Round 5 January 8, 2022 - 14:20 JSTWorld's Edge Syth Gaming Ark5 BEXT e-Sports","Round 5 Round 5 January 8, 2022 - 14:20 JSTWorld's Edge Syth Gaming Ark5 BEXT e-Sports","Round 6 Round 6 January 8, 2022 - 14:55 JSTWorld's Edge TEQWING SYSTEM eSports shes","Round 6 Round 6 January 8, 2022 - 14:55 JSTWorld's Edge TEQWING SYSTEM eSports shes"
,Unnamed: 0_level_2,Team,Total,P,K,P,K,P,K,P,K,P,K,P,K
0,1.0,ARK5,51,1,20,13,0,19,0,9,1,2,6,16,0
1,2.0,Numa,50,2,4,9,2,3,12,16,2,5,3,8,3
2,3.0,BlackGorillaN,46,8,0,7,5,1,14,11,0,4,4,19,0
3,4.0,TW,45,17,1,6,6,16,0,10,6,10,2,1,11
4,5.0,JDT,45,4,0,4,7,2,3,3,0,11,2,7,3
5,6.0,SYS,43,12,3,3,3,5,3,6,3,17,0,2,7
6,7.0,Crest,41,11,5,1,11,6,4,19,0,12,3,15,0
7,8.0,BEXT,38,19,0,10,4,14,3,14,1,3,9,6,7
8,9.0,SyS,38,13,2,2,6,4,4,18,0,6,3,9,3
9,10.0,KAIJU,38,7,1,17,0,7,1,1,11,9,2,11,2
10,11.0,SYTH,36,9,0,5,0,17,0,4,3,1,7,12,2
11,12.0,AVA,30,6,3,18,0,8,0,5,6,7,7,10,0
12,13.0,shes,30,5,5,15,0,10,0,17,0,18,3,3,8
13,14.0,Ace1,28,15,0,14,0,15,0,2,5,8,0,5,5
14,15.0,RPG,23,10,0,11,2,9,4,8,2,14,2,4,0
15,16.0,BB,19,14,2,8,6,18,0,12,4,19,0,13,2
16,17.0,Fujii Gaming,18,3,1,12,1,11,1,13,5,16,0,17,0
17,18.0,0_Reverse,14,16,2,19,1,13,4,15,1,15,1,14,1
18,19.0,G8S,5,18,0,16,0,12,0,7,0,13,0,18,0
19,20.0,Greedy,0,0,0,0,0,0,0,0,0,0,0,0,0
