,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints
,Unnamed: 0_level_1,Team,Total,"Round 1 Round 1 January 8, 2022 - 16:00 PSTWorld's Edge My Neck My Back Stick Drift Op Sussy Bakas","Round 1 Round 1 January 8, 2022 - 16:00 PSTWorld's Edge My Neck My Back Stick Drift Op Sussy Bakas","Round 2 Round 2 January 8, 2022 - 16:35 PSTWorld's Edge BAD BOYS Asteria Code Cloud","Round 2 Round 2 January 8, 2022 - 16:35 PSTWorld's Edge BAD BOYS Asteria Code Cloud","Round 3 Round 3 January 8, 2022 - 17:10 PSTWorld's Edge RAWRXDTEEHEE Asteria Boston Monsters","Round 3 Round 3 January 8, 2022 - 17:10 PSTWorld's Edge RAWRXDTEEHEE Asteria Boston Monsters","Round 4 Round 4 January 8, 2022 - 17:45 PSTWorld's Edge Boston Monsters TDG My Neck My Back","Round 4 Round 4 January 8, 2022 - 17:45 PSTWorld's Edge Boston Monsters TDG My Neck My Back","Round 5 Round 5 January 8, 2022 - 18:20 PSTWorld's Edge My Neck My Back Neanderthals eRa Eternity","Round 5 Round 5 January 8, 2022 - 18:20 PSTWorld's Edge My Neck My Back Neanderthals eRa Eternity","Round 6 Round 6 January 8, 2022 - 18:55 PSTWorld's Edge Optimal Ambition eRa Eternity Casuals","Round 6 Round 6 January 8, 2022 - 18:55 PSTWorld's Edge Optimal Ambition eRa Eternity Casuals"
,Unnamed: 0_level_2,Team,Total,P,K,P,K,P,K,P,K,P,K,P,K
0,1.0,My Neck My Back,79,1,11,18,0,6,5,3,12,1,10,10,5
1,2.0,AST,49,11,4,2,5,2,12,14,3,17,3,14,1
2,3.0,OA,45,10,0,19,2,7,3,9,6,8,1,1,12
3,4.0,CAS,43,7,5,11,3,12,2,4,7,9,0,3,7
4,5.0,ERA,41,20,0,8,4,17,0,13,3,3,5,2,10
5,6.0,Boston Monsters,41,12,3,15,1,3,5,1,7,13,3,18,0
6,7.0,BAD,40,18,0,1,14,19,0,15,0,5,8,16,1
7,8.0,RAWR,39,17,0,16,0,1,8,6,2,4,6,8,1
8,9.0,CCE,35,5,8,7,6,16,6,8,1,18,0,9,3
9,10.0,TDG,34,16,3,13,0,10,2,2,8,10,0,4,2
10,11.0,MOAN,32,9,6,12,3,11,5,5,0,11,0,5,5
11,12.0,NEAN,32,13,5,17,0,4,5,18,0,2,6,11,0
12,13.0,Sussy Bakas,29,3,2,5,7,14,0,16,0,7,1,15,3
13,14.0,Code Cloud,28,4,2,3,5,15,0,12,1,19,0,7,3
14,15.0,RT,24,14,0,4,7,20,0,17,0,6,8,17,0
15,16.0,Onyx,21,6,4,6,0,9,0,10,3,16,0,12,3
16,17.0,EQ,19,19,0,10,0,5,4,7,3,15,1,13,0
17,18.0,SDO,19,2,5,9,0,18,0,20,0,12,2,20,0
18,19.0,DUMPERS,12,15,0,20,0,13,1,19,0,14,3,6,2
19,20.0,FNS,9,8,0,14,0,8,1,11,1,20,0,19,1
