,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints
,Unnamed: 0_level_1,Team,Total,"Round 1 Round 1 May 7, 2022 - 16:00 SGTStorm Point Antiaa CHILL OUT RYU TEAM","Round 1 Round 1 May 7, 2022 - 16:00 SGTStorm Point Antiaa CHILL OUT RYU TEAM","Round 2 Round 2 May 7, 2022 - 16:35 SGTStorm Point Phantom WEAREGODGAMERS Arena Mains","Round 2 Round 2 May 7, 2022 - 16:35 SGTStorm Point Phantom WEAREGODGAMERS Arena Mains","Round 3 Round 3 May 7, 2022 - 17:10 SGTStorm Point Antiaa RYU TEAM WHIZ","Round 3 Round 3 May 7, 2022 - 17:10 SGTStorm Point Antiaa RYU TEAM WHIZ","Round 4 Round 4 May 7, 2022 - 17:45 SGTWorld's Edge WHIZ Phantom Monkeyz","Round 4 Round 4 May 7, 2022 - 17:45 SGTWorld's Edge WHIZ Phantom Monkeyz","Round 5 Round 5 May 7, 2022 - 18:20 SGTWorld's Edge Avenger Dewa United Esports CHILL OUT","Round 5 Round 5 May 7, 2022 - 18:20 SGTWorld's Edge Avenger Dewa United Esports CHILL OUT","Round 6 Round 6 May 7, 2022 - 18:55 SGTWorld's Edge RYU TEAM Phantom MBT.NAGA","Round 6 Round 6 May 7, 2022 - 18:55 SGTWorld's Edge RYU TEAM Phantom MBT.NAGA"
,Unnamed: 0_level_2,Team,Total,P,K,P,K,P,K,P,K,P,K,P,K
0,1.0,Phantom,81,7,0,1,16,10,0,2,11,4,0,2,14
1,2.0,Antiaa,61,1,8,9,2,1,15,12,1,5,1,13,2
2,3.0,AVG,56,12,2,12,1,9,9,10,5,1,15,5,2
3,4.0,RYU,50,3,3,6,1,2,2,7,1,7,1,1,5
4,5.0,WHIZ,38,10,3,11,0,3,1,1,10,14,0,15,0
5,6.0,MON,37,9,8,10,3,6,6,3,3,9,0,12,0
6,7.0,AIC WIBU,37,4,3,4,1,4,3,4,0,12,0,4,4
7,8.0,WGG,36,6,1,2,9,11,1,9,1,6,3,11,2
8,9.0,DEWA,36,5,6,14,0,5,2,13,3,2,3,7,0
9,10.0,CHILL,33,2,5,8,0,8,0,5,0,3,3,14,0
10,11.0,ARENA,32,13,0,3,9,15,1,6,6,15,0,8,1
11,12.0,MBTN,24,15,1,15,0,13,0,8,2,8,4,3,3
12,13.0,MYTH,19,11,0,13,0,7,0,15,0,11,3,6,6
13,14.0,ZeroTwo,19,8,3,7,0,14,2,14,0,13,3,9,1
14,15.0,DRG,13,14,0,5,0,12,0,11,0,10,2,10,0
15,16.0,Bots,0,0,0,0,0,0,0,0,0,0,0,0,0
16,17.0,FW,0,0,0,0,0,0,0,0,0,0,0,0,0
17,18.0,JET,0,0,0,0,0,0,0,0,0,0,0,0,0
18,19.0,OC,0,0,0,0,0,0,0,0,0,0,0,0,0
19,20.0,YTS,0,0,0,0,0,0,0,0,0,0,0,0,0
