,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints
,Unnamed: 0_level_1,Team,Total,"Round 1 Round 1 November 21, 2021 - 14:30 GMTWorld's Edge Insiders Space Pigeons Happy New Year","Round 1 Round 1 November 21, 2021 - 14:30 GMTWorld's Edge Insiders Space Pigeons Happy New Year","Round 2 Round 2 November 21, 2021 - 15:00 GMTWorld's Edge Space Pigeons NoFear Gaming SJP2","Round 2 Round 2 November 21, 2021 - 15:00 GMTWorld's Edge Space Pigeons NoFear Gaming SJP2","Round 3 Round 3 November 21, 2021 - 15:30 GMTWorld's Edge Team Huskies Esports BLANK MantaX Esports","Round 3 Round 3 November 21, 2021 - 15:30 GMTWorld's Edge Team Huskies Esports BLANK MantaX Esports","Round 4 Round 4 November 21, 2021 - 16:00 GMTWorld's Edge We Love Shotgun Bitfix Gaming Insiders","Round 4 Round 4 November 21, 2021 - 16:00 GMTWorld's Edge We Love Shotgun Bitfix Gaming Insiders","Round 5 Round 5 November 21, 2021 - 16:30 GMTWorld's Edge backseat BLANK SeComportaYa","Round 5 Round 5 November 21, 2021 - 16:30 GMTWorld's Edge backseat BLANK SeComportaYa","Round 6 Round 6 November 21, 2021 - 17:00 GMTWorld's Edge Happy New Year 6 banok na troih Spacegliders","Round 6 Round 6 November 21, 2021 - 17:00 GMTWorld's Edge Happy New Year 6 banok na troih Spacegliders"
,Unnamed: 0_level_2,Team,Total,P,K,P,K,P,K,P,K,P,K,P,K
0,1.0,INS,67,1,13,10,3,4,10,3,7,11,3,6,1
1,2.0,SJP2,58,14,6,3,13,10,6,11,1,4,16,16,0
2,3.0,backseat,51,7,1,8,5,8,6,8,4,1,6,5,4
3,4.0,HNY,50,3,3,12,2,15,0,5,5,8,4,1,9
4,5.0,BLANK,47,9,9,13,1,2,8,12,2,2,5,20,0
5,6.0,SCTA,47,8,2,5,2,6,1,4,11,3,7,15,2
6,7.0,SPPI,44,2,6,1,13,18,0,16,0,10,0,13,1
7,8.0,HKE,40,4,2,9,0,1,4,6,3,6,1,9,3
8,9.0,WLS,32,20,0,20,0,13,3,1,6,7,3,11,3
9,10.0,6bnt,31,13,0,15,0,5,5,17,1,18,1,2,9
10,11.0,ZBW,30,17,0,11,3,20,0,14,6,19,0,4,14
11,12.0,NoFear,26,16,0,2,8,17,0,10,1,9,2,10,0
12,13.0,TRJ,23,10,4,4,3,9,3,19,0,13,2,12,0
13,14.0,BFG,23,12,4,7,0,12,1,2,3,12,0,19,0
14,15.0,Spacegliders,22,18,0,17,0,18,0,18,0,5,7,3,4
15,16.0,Lucendi,22,5,8,6,3,11,0,13,0,15,0,14,0
16,17.0,Exalty,21,15,1,14,0,14,4,9,6,17,2,7,0
17,18.0,MantaX,18,6,0,19,0,3,5,7,0,20,0,18,0
18,19.0,Yes,12,11,1,18,0,19,0,20,0,14,3,8,4
19,20.0,HLDC,7,19,0,16,1,16,2,15,1,16,2,17,0
