,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints
,Unnamed: 0_level_1,Team,Total,"Round 1 Round 1 March 25, 2022 - 17:00 GMTStorm Point Horizon Union Mutariuum Outplayed","Round 1 Round 1 March 25, 2022 - 17:00 GMTStorm Point Horizon Union Mutariuum Outplayed","Round 2 Round 2 March 25, 2022 - 17:30 GMTStorm Point Players Morning Stars Outplayed","Round 2 Round 2 March 25, 2022 - 17:30 GMTStorm Point Players Morning Stars Outplayed","Round 3 Round 3 March 25, 2022 - 18:00 GMTStorm Point Players Acend Natus Vincere","Round 3 Round 3 March 25, 2022 - 18:00 GMTStorm Point Players Acend Natus Vincere","Round 4 Round 4 March 25, 2022 - 18:30 GMTWorld's Edge SCARZ GMT Esports Phoenix Legacy","Round 4 Round 4 March 25, 2022 - 18:30 GMTWorld's Edge SCARZ GMT Esports Phoenix Legacy","Round 5 Round 5 March 25, 2022 - 19:00 GMTWorld's Edge Acend Solaris Forg Gang","Round 5 Round 5 March 25, 2022 - 19:00 GMTWorld's Edge Acend Solaris Forg Gang","Round 6 Round 6 March 25, 2022 - 19:30 GMTWorld's Edge ATK Morning Stars Kungarna","Round 6 Round 6 March 25, 2022 - 19:30 GMTWorld's Edge ATK Morning Stars Kungarna"
,Unnamed: 0_level_2,Team,Total,P,K,P,K,P,K,P,K,P,K,P,K
0,1.0,GMT,68,10,1,5,9,5,13,2,13,4,5,15,2
1,2.0,ACE,61,13,2,4,6,2,6,14,2,1,9,8,6
2,3.0,PLRS,56,4,7,1,7,1,8,7,1,12,0,18,0
3,4.0,SZ,46,9,4,9,3,11,2,1,14,10,4,16,0
4,5.0,SMS,41,11,0,2,7,8,2,10,1,16,0,2,8
5,6.0,HRZN,39,1,8,7,0,4,2,12,0,13,0,5,3
6,7.0,TTM,38,8,2,8,0,6,8,4,4,7,4,10,3
7,8.0,KNG,37,5,8,15,0,13,0,6,0,15,2,3,10
8,9.0,OP,36,3,3,3,13,15,0,17,0,9,2,12,0
9,10.0,FORG,33,6,5,11,0,9,3,11,0,3,5,4,1
10,11.0,NAVI,29,14,0,10,5,3,3,16,0,6,7,13,0
11,12.0,ATK,28,17,0,19,1,18,0,8,4,14,1,1,7
12,13.0,SOL,28,19,0,6,0,10,3,18,0,2,4,7,4
13,14.0,PXL,26,18,0,13,1,14,0,3,7,17,0,6,6
14,15.0,EMP,24,7,3,16,1,12,0,9,6,11,3,11,3
15,16.0,MUT,19,2,5,14,0,16,2,13,0,18,0,14,0
16,17.0,SQG,16,15,0,17,0,17,0,5,2,5,5,17,0
17,18.0,SCTA,13,12,0,18,0,7,3,15,1,8,0,9,0
18,19.0,GOD,7,16,3,12,3,19,0,19,0,19,0,19,0
19,20.0,AP,0,0,0,0,0,0,0,0,0,0,0,0,0
