,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints
,Unnamed: 0_level_1,Team,Total,"Round 1 Round 1 April 10, 2022 - 12:00 GMTWorld's Edge","Round 1 Round 1 April 10, 2022 - 12:00 GMTWorld's Edge","Round 2 Round 2 April 10, 2022 - 12:30 GMTWorld's Edge","Round 2 Round 2 April 10, 2022 - 12:30 GMTWorld's Edge","Round 3 Round 3 April 10, 2022 - 13:00 GMTStorm Point","Round 3 Round 3 April 10, 2022 - 13:00 GMTStorm Point","Round 4 Round 4 April 10, 2022 - 13:30 GMTStorm Point","Round 4 Round 4 April 10, 2022 - 13:30 GMTStorm Point"
,Unnamed: 0_level_2,Team,Total,P,K,P,K,P,K,P,K
0,1.0,SPPI,64,6,5,5,6,1,11,1,11
1,2.0,SNK,54,5,6,1,16,4,3,4,3
2,3.0,SZN,49,13,1,6,0,2,13,2,13
3,4.0,NIBL,47,2,7,11,10,3,3,3,3
4,5.0,KYKLOS,32,7,1,2,3,6,5,6,5
5,6.0,TTG,32,1,10,3,3,17,0,17,0
6,7.0,PPGIS,23,4,3,13,0,7,4,7,4
7,8.0,SLAP,19,11,2,7,5,9,2,9,2
8,9.0,SMG,17,15,0,19,0,5,4,5,4
9,10.0,TF2P,17,3,3,14,0,8,1,8,1
10,11.0,3FR,13,8,5,16,0,16,3,16,3
11,12.0,SMP Nation,13,14,2,4,5,19,0,19,0
12,13.0,PS_Esport,11,18,0,9,1,11,3,11,3
13,14.0,ARIS,11,10,3,15,3,12,0,12,0
14,15.0,Tartau,7,12,6,20,0,20,0,20,0
15,16.0,ALFLP,7,20,0,8,1,10,0,10,0
16,17.0,BB,6,9,0,10,0,14,0,14,0
17,18.0,MG,4,16,0,12,1,13,0,13,0
18,19.0,Hangover,2,19,0,18,0,15,0,15,0
19,20.0,SKS,0,17,0,17,0,18,0,18,0
