Standing,Team,Total,P,K,P,K,P,K,P,K,P,K,P,K
1.0,Antiaa,86,19,0,1,17,4,4,4,15,7,5,3,13
2.0,IFPD,75,5,6,13,2,5,10,1,14,2,9,15,3
3.0,END,62,1,7,4,3,3,6,9,0,6,9,9,6
4.0,EMM,51,4,2,12,4,9,3,15,5,19,3,1,13
5.0,BOG,50,8,1,2,4,14,0,3,2,1,10,8,0
6.0,CKB,48,2,7,10,0,17,0,2,9,8,7,7,0
7.0,Evolution NewGen,44,3,8,5,6,15,3,8,1,14,3,14,7
8.0,BTCxWGG,35,20,0,14,1,1,10,10,2,5,2,11,0
9.0,LH,33,10,7,8,1,11,4,16,0,3,2,4,2
10.0,Juiced,30,13,0,3,3,2,7,13,2,18,0,17,0
11.0,Overclocked,28,9,1,9,0,8,4,7,2,4,4,19,3
12.0,Job Seekers,22,6,2,11,6,7,0,5,1,10,0,16,0
13.0,Inferno DRT,21,12,2,7,2,10,1,6,3,9,1,13,0
14.0,NANYANG,19,11,4,19,0,19,0,19,0,13,0,2,4
15.0,OC,14,7,2,15,3,13,0,14,0,15,0,12,1
16.0,4ChineseHorseman,11,17,0,17,0,18,0,11,0,12,1,5,4
17.0,HEK TEW,11,15,0,6,1,12,0,18,0,16,3,10,0
18.0,Hardstucks,10,14,5,16,0,6,0,12,0,17,0,20,0
19.0,September,8,18,0,18,0,16,2,17,0,11,0,6,2
20.0,MXT,0,16,0,20,0,20,0,20,0,20,0,18,0
