Standing,Team,Total,P,K,P.1,K.1,P.2,K.2,P.3,K.3,P.4,K.4,P.5,K.5,Lobby
1.0,AIE,157,4,8,1,19,1,18,1,27,1,13,3,12,Lobby 1
2.0,CerditosMacabeos,53,17,0,2,7,11,0,11,2,2,8,5,12,Lobby 1
3.0,O3,47,15,1,11,0,3,3,8,2,5,8,1,6,Lobby 1
4.0,Seven,47,14,1,3,3,2,7,3,5,13,0,9,4,Lobby 1
5.0,BTH,46,1,15,13,0,9,4,4,2,10,1,14,1,Lobby 1
6.0,ROCKETZ TEAM,36,2,2,8,0,5,5,15,1,3,4,11,0,Lobby 1
7.0,TCS,35,3,8,4,3,6,0,14,0,4,2,15,0,Lobby 1
8.0,FourG Team,28,5,3,17,0,8,0,7,2,14,0,2,4,Lobby 1
9.0,Mystical,26,11,4,5,5,14,6,10,0,11,0,10,0,Lobby 1
10.0,PVP,25,12,0,16,0,13,0,2,3,8,4,8,3,Lobby 1
11.0,1k ping,21,7,0,15,0,4,2,6,1,12,0,4,0,Lobby 1
12.0,KPS,19,16,0,10,6,16,0,5,1,7,0,7,0,Lobby 1
13.0,Taichi Horror,16,10,0,7,2,7,0,12,0,6,1,13,0,Lobby 1
14.0,AWD,12,8,1,14,0,10,0,16,0,9,1,6,0,Lobby 1
15.0,Team destroyers,8,9,0,12,1,15,0,13,0,15,0,12,0,Lobby 1
16.0,Z Gravity,7,13,0,6,0,12,0,9,0,16,0,0,0,Lobby 1
17.0,eVoLuTioN,5,6,0,9,0,17,0,0,0,0,0,0,0,Lobby 1
1.0,ThreeBiden,80,14,2,3,10,2,8,4,15,6,8,7,9,Lobby 2
2.0,SST,77,1,14,1,8,13,0,1,12,5,1,15,0,Lobby 2
3.0,KDT - Amber,68,9,0,5,8,5,10,8,3,4,7,1,11,Lobby 2
4.0,MFL-Escape,45,15,0,16,0,15,0,12,2,1,11,2,8,Lobby 2
5.0,AK47,44,10,2,7,0,1,14,10,0,14,4,14,3,Lobby 2
6.0,GUG,44,5,2,12,1,12,2,2,7,7,4,4,5,Lobby 2
7.0,EZPIKERS,31,3,1,4,0,3,1,6,0,9,0,5,1,Lobby 2
8.0,TBG,30,2,3,15,0,4,1,11,0,11,1,3,1,Lobby 2
9.0,RAV,29,12,0,2,4,6,0,3,3,13,0,12,0,Lobby 2
10.0,GDb,21,6,7,8,4,8,0,14,0,15,0,13,0,Lobby 2
11.0,Legión de monos,21,8,0,9,0,7,0,9,0,3,3,8,0,Lobby 2
12.0,Ragnarok Team,20,11,0,6,3,11,3,5,1,10,0,10,0,Lobby 2
13.0,No Regrets,19,13,0,11,0,9,0,13,0,2,1,6,1,Lobby 2
14.0,Mafia Legends,17,16,0,13,2,10,1,7,1,12,0,9,4,Lobby 2
15.0,Nicolau Antonio,11,4,0,14,0,16,0,15,0,8,1,11,0,Lobby 2
16.0,AsheTeam,9,7,3,10,0,14,0,16,0,0,0,0,0,Lobby 2
