Standing,Team,Total,P,K,P,K,P,K,P,K
1.0,RT,78,2,15,2,16,3,7,3,8
2.0,Hardstuck10k,62,6,9,3,9,1,8,2,5
3.0,Rival,35,5,1,1,10,11,0,6,4
4.0,WPH,35,4,3,4,0,14,0,1,9
5.0,Inglorious,34,3,5,5,4,7,2,5,5
6.0,TTN CRÍO,25,10,4,10,0,4,7,8,3
7.0,Cool Aid Jammers,20,9,0,12,0,2,5,14,2
8.0,EpicGamerGaming,19,1,4,13,0,15,0,15,0
9.0,controllaplayers,15,8,0,9,0,5,6,13,0
10.0,CLICKCIRCLES,12,14,0,8,2,8,0,7,2
11.0,Bocek Bandits,12,11,0,6,1,10,0,4,0
12.0,Silhouette,11,15,0,7,1,13,1,9,2
13.0,Random Gamers,10,13,0,14,0,6,4,11,0
14.0,oGwaffles,9,7,0,11,0,9,0,10,1
15.0,MBM,4,12,0,15,0,12,0,12,0
