Standing,Team,Total,P,K,P.1,K.1,P.2,K.2,P.3,K.3,Lobby,Round,P.4,K.4,P.5,K.5,Split,Region
20.0,HardStuckStepsis,1,19,0,14,0,20,0,20,0,Lobby 1,Quarterfinals,,,,,Split_1,North_America
1.0,RGP,46,9,1,16,0,2,19,11,14,Lobby 2,Quarterfinals,,,,,Split_1,North_America
2.0,BLitLd Revengers,43,14,2,8,2,1,8,2,7,Lobby 2,Quarterfinals,,,,,Split_1,North_America
3.0,WASH,43,3,5,3,6,3,8,7,0,Lobby 2,Quarterfinals,,,,,Split_1,North_America
4.0,D A B,39,1,12,7,6,8,3,14,0,Lobby 2,Quarterfinals,,,,,Split_1,North_America
5.0,JOYBOYS,37,2,11,5,3,14,0,5,5,Lobby 2,Quarterfinals,,,,,Split_1,North_America
6.0,CHASE.OG,33,8,4,19,0,4,3,1,7,Lobby 2,Quarterfinals,,,,,Split_1,North_America
7.0,RAWR,33,12,2,1,10,13,0,4,2,Lobby 2,Quarterfinals,,,,,Split_1,North_America
8.0,AST,31,10,2,2,9,5,2,17,3,Lobby 2,Quarterfinals,,,,,Split_1,North_America
9.0,LKM,21,13,2,15,3,9,8,6,1,Lobby 2,Quarterfinals,,,,,Split_1,North_America
10.0,Apex Mobile,19,20,0,4,11,17,1,10,0,Lobby 2,Quarterfinals,,,,,Split_1,North_America
11.0,GSG,15,7,4,11,2,12,2,12,1,Lobby 2,Quarterfinals,,,,,Split_1,North_America
12.0,RL,15,18,0,9,1,6,0,3,2,Lobby 2,Quarterfinals,,,,,Split_1,North_America
13.0,Diamond Hands,12,5,5,12,2,18,0,16,0,Lobby 2,Quarterfinals,,,,,Split_1,North_America
14.0,Perpetual Empire,12,4,2,13,0,10,0,15,1,Lobby 2,Quarterfinals,,,,,Split_1,North_America
15.0,Wonderboys,11,17,2,6,1,15,0,13,3,Lobby 2,Quarterfinals,,,,,Split_1,North_America
16.0,LacklusterTalent,8,15,0,18,0,20,0,9,5,Lobby 2,Quarterfinals,,,,,Split_1,North_America
17.0,BDS,8,16,0,10,1,19,0,8,3,Lobby 2,Quarterfinals,,,,,Split_1,North_America
18.0,ActionFiveNews,7,6,1,14,1,11,0,20,0,Lobby 2,Quarterfinals,,,,,Split_1,North_America
19.0,Gryphon Gaming,4,19,1,17,0,7,0,19,0,Lobby 2,Quarterfinals,,,,,Split_1,North_America
20.0,T-State,2,11,0,20,0,16,1,18,0,Lobby 2,Quarterfinals,,,,,Split_1,North_America
1.0,Unknown Warriors,62,12,0,1,8,3,15,2,10,Lobby 3,Quarterfinals,,,,,Split_1,North_America
2.0,2R1M,34,19,0,3,1,2,3,3,7,Lobby 3,Quarterfinals,,,,,Split_1,North_America
3.0,Onyx,32,5,2,2,11,8,4,16,0,Lobby 3,Quarterfinals,,,,,Split_1,North_America
4.0,LF,32,1,13,6,1,7,0,20,0,Lobby 3,Quarterfinals,,,,,Split_1,North_America
5.0,1MAG,31,16,1,17,0,1,13,8,3,Lobby 3,Quarterfinals,,,,,Split_1,North_America
6.0,CCE,31,10,0,9,0,9,1,1,12,Lobby 3,Quarterfinals,,,,,Split_1,North_America
7.0,Code Cloud,29,2,11,7,3,12,0,15,1,Lobby 3,Quarterfinals,,,,,Split_1,North_America
8.0,Select,26,6,11,10,7,16,3,18,0,Lobby 3,Quarterfinals,,,,,Split_1,North_America
9.0,ING,25,13,2,11,7,4,8,14,0,Lobby 3,Quarterfinals,,,,,Split_1,North_America
10.0,Sussy Bakas,23,8,3,4,7,18,0,9,4,Lobby 3,Quarterfinals,,,,,Split_1,North_America
11.0,SLS,22,14,5,14,3,11,0,4,6,Lobby 3,Quarterfinals,,,,,Split_1,North_America
12.0,Patrón,17,3,3,8,2,10,0,11,0,Lobby 3,Quarterfinals,,,,,Split_1,North_America
13.0,Exoterran X,15,4,4,12,0,19,0,5,1,Lobby 3,Quarterfinals,,,,,Split_1,North_America
14.0,Dojo,13,7,1,5,1,14,2,13,0,Lobby 3,Quarterfinals,,,,,Split_1,North_America
15.0,Compulsive,12,20,0,20,0,6,4,6,2,Lobby 3,Quarterfinals,,,,,Split_1,North_America
16.0,VHS,10,11,0,13,0,5,0,12,3,Lobby 3,Quarterfinals,,,,,Split_1,North_America
17.0,hi rollers,8,17,1,19,1,17,0,10,4,Lobby 3,Quarterfinals,,,,,Split_1,North_America
18.0,ShameAssist,5,18,0,16,0,15,0,7,1,Lobby 3,Quarterfinals,,,,,Split_1,North_America
19.0,Manifest,4,9,0,15,0,13,0,19,0,Lobby 3,Quarterfinals,,,,,Split_1,North_America
20.0,wingBatClan,1,15,0,18,0,20,0,17,0,Lobby 3,Quarterfinals,,,,,Split_1,North_America
1.0,Dark Matter,59,5,6,1,8,1,11,15,5,Lobby 4,Quarterfinals,,,,,Split_1,North_America
2.0,DUMPERS,46,14,2,9,5,4,14,7,14,Lobby 4,Quarterfinals,,,,,Split_1,North_America
3.0,NFC,39,3,9,12,2,12,0,1,7,Lobby 4,Quarterfinals,,,,,Split_1,North_America
4.0,MoJo,39,1,5,4,8,20,0,4,4,Lobby 4,Quarterfinals,,,,,Split_1,North_America
5.0,OA,33,15,0,2,7,5,10,9,0,Lobby 4,Quarterfinals,,,,,Split_1,North_America
6.0,RCO,33,4,5,3,7,6,5,14,0,Lobby 4,Quarterfinals,,,,,Split_1,North_America
7.0,TDG,33,8,4,5,4,2,5,5,1,Lobby 4,Quarterfinals,,,,,Split_1,North_America
8.0,Never Lucky,32,20,0,8,5,18,0,2,16,Lobby 4,Quarterfinals,,,,,Split_1,North_America
9.0,Meow Syndicate,29,6,0,19,0,3,6,3,6,Lobby 4,Quarterfinals,,,,,Split_1,North_America
10.0,CIMJ,19,9,5,7,0,8,2,8,3,Lobby 4,Quarterfinals,,,,,Split_1,North_America
11.0,Boston Monsters,19,2,8,13,0,19,0,11,0,Lobby 4,Quarterfinals,,,,,Split_1,North_America
12.0,Xperience Team,19,7,1,6,7,10,0,6,0,Lobby 4,Quarterfinals,,,,,Split_1,North_America
13.0,Unsigned Talent,16,11,7,10,2,9,2,19,0,Lobby 4,Quarterfinals,,,,,Split_1,North_America
14.0,DMAGO,10,12,2,14,4,13,0,13,0,Lobby 4,Quarterfinals,,,,,Split_1,North_America
15.0,JustSomeWarriors,5,13,3,16,0,14,0,17,0,Lobby 4,Quarterfinals,,,,,Split_1,North_America
16.0,Down Bad,5,16,0,17,0,7,0,10,0,Lobby 4,Quarterfinals,,,,,Split_1,North_America
17.0,The leftovers,3,17,1,18,0,17,2,16,0,Lobby 4,Quarterfinals,,,,,Split_1,North_America
18.0,OutofPocketGamer,3,18,0,20,0,15,0,12,1,Lobby 4,Quarterfinals,,,,,Split_1,North_America
19.0,F451,3,10,0,15,0,16,0,18,0,Lobby 4,Quarterfinals,,,,,Split_1,North_America
20.0,StepBros,2,19,0,11,0,11,0,20,0,Lobby 4,Quarterfinals,,,,,Split_1,North_America
1.0,LM,95,9,7,1,16,12,9,2,11,Lobby 1,Semifinals,1.0,13.0,13.0,2.0,Split_1,North_America
2.0,D A B,70,10,4,8,2,1,10,1,9,Lobby 1,Semifinals,5.0,6.0,5.0,3.0,Split_1,North_America
3.0,WASH,62,13,7,14,6,5,13,4,11,Lobby 1,Semifinals,11.0,10.0,14.0,2.0,Split_1,North_America
4.0,GNR,46,2,9,18,0,8,5,15,3,Lobby 1,Semifinals,2.0,7.0,12.0,0.0,Split_1,North_America
5.0,LKM,41,4,5,5,5,3,2,11,6,Lobby 1,Semifinals,8.0,1.0,17.0,3.0,Split_1,North_America
6.0,TPM,41,17,0,17,0,2,7,9,4,Lobby 1,Semifinals,17.0,0.0,2.0,10.0,Split_1,North_America
7.0,RGP,34,20,0,4,5,13,0,6,0,Lobby 1,Semifinals,4.0,1.0,4.0,9.0,Split_1,North_America
8.0,trash,34,14,0,2,7,7,2,13,0,Lobby 1,Semifinals,6.0,2.0,7.0,3.0,Split_1,North_America
9.0,AST,33,1,10,13,0,10,0,12,0,Lobby 1,Semifinals,7.0,0.0,16.0,4.0,Split_1,North_America
10.0,RAWR,33,8,0,20,0,18,0,3,3,Lobby 1,Semifinals,14.0,0.0,1.0,8.0,Split_1,North_America
11.0,Apex Mobile,32,3,3,3,3,4,4,10,1,Lobby 1,Semifinals,16.0,0.0,19.0,0.0,Split_1,North_America
12.0,ROT,26,12,2,10,1,17,0,7,1,Lobby 1,Semifinals,3.0,4.0,6.0,2.0,Split_1,North_America
13.0,JOYBOYS,21,15,0,9,0,9,6,5,4,Lobby 1,Semifinals,18.0,0.0,9.0,0.0,Split_1,North_America
14.0,IFE,18,6,1,12,3,6,0,17,0,Lobby 1,Semifinals,13.0,5.0,15.0,0.0,Split_1,North_America
15.0,Vandals,17,18,0,11,1,11,0,18,0,Lobby 1,Semifinals,12.0,3.0,3.0,3.0,Split_1,North_America
16.0,ZERO,13,5,2,19,2,16,0,19,0,Lobby 1,Semifinals,20.0,0.0,8.0,3.0,Split_1,North_America
17.0,CHASE.OG,13,19,0,6,4,19,0,16,1,Lobby 1,Semifinals,9.0,1.0,10.0,0.0,Split_1,North_America
18.0,ChayKayJay,13,16,0,7,1,15,0,8,0,Lobby 1,Semifinals,19.0,0.0,11.0,5.0,Split_1,North_America
19.0,BLitLd Revengers,12,11,6,16,0,14,0,20,0,Lobby 1,Semifinals,10.0,2.0,18.0,0.0,Split_1,North_America
20.0,NM,10,7,0,15,0,20,0,14,3,Lobby 1,Semifinals,15.0,1.0,20.0,0.0,Split_1,North_America
1.0,DUMPERS,79,1,7,1,12,2,6,15,0,Lobby 2,Semifinals,3.0,5.0,13.0,7.0,Split_1,North_America
2.0,LF,72,6,7,5,6,5,4,1,10,Lobby 2,Semifinals,2.0,12.0,14.0,0.0,Split_1,North_America
3.0,1MAG,58,10,4,6,2,1,10,17,0,Lobby 2,Semifinals,1.0,10.0,10.0,1.0,Split_1,North_America
4.0,Sussy Bakas,47,3,8,7,2,6,3,9,3,Lobby 2,Semifinals,5.0,7.0,9.0,3.0,Split_1,North_America
5.0,RCO,43,2,5,2,5,12,0,5,2,Lobby 2,Semifinals,9.0,2.0,8.0,2.0,Split_1,North_America
6.0,Never Lucky,40,17,5,13,3,4,16,19,3,Lobby 2,Semifinals,12.0,0.0,12.0,5.0,Split_1,North_America
7.0,Select,40,16,0,11,6,15,4,2,6,Lobby 2,Semifinals,14.0,2.0,3.0,3.0,Split_1,North_America
8.0,MoJo,40,12,0,4,3,16,0,6,3,Lobby 2,Semifinals,7.0,3.0,1.0,7.0,Split_1,North_America
9.0,Boston Monsters,32,14,0,10,0,3,2,10,2,Lobby 2,Semifinals,4.0,7.0,11.0,3.0,Split_1,North_America
10.0,Meow Syndicate,31,7,3,9,3,17,0,4,5,Lobby 2,Semifinals,6.0,3.0,7.0,1.0,Split_1,North_America
11.0,TDG,29,15,1,16,0,7,2,3,8,Lobby 2,Semifinals,18.0,1.0,5.0,2.0,Split_1,North_America
12.0,Dark Matter,28,11,0,17,0,8,2,16,3,Lobby 2,Semifinals,13.0,0.0,2.0,10.0,Split_1,North_America
13.0,CCE,25,4,6,12,2,14,1,13,1,Lobby 2,Semifinals,20.0,0.0,4.0,2.0,Split_1,North_America
14.0,Unknown Warriors,21,20,0,3,6,20,0,14,0,Lobby 2,Semifinals,16.0,4.0,6.0,0.0,Split_1,North_America
15.0,OA,19,13,5,20,0,13,3,12,8,Lobby 2,Semifinals,19.0,0.0,18.0,0.0,Split_1,North_America
16.0,Onyx,16,9,3,15,0,9,0,7,3,Lobby 2,Semifinals,10.0,0.0,19.0,0.0,Split_1,North_America
17.0,2R1M,15,5,0,19,0,18,0,11,1,Lobby 2,Semifinals,15.0,0.0,15.0,7.0,Split_1,North_America
18.0,NFC,14,19,0,18,0,11,1,8,4,Lobby 2,Semifinals,11.0,2.0,17.0,3.0,Split_1,North_America
19.0,ING,11,18,0,8,6,19,0,18,0,Lobby 2,Semifinals,17.0,2.0,20.0,1.0,Split_1,North_America
20.0,Code Cloud,10,8,1,14,0,10,2,20,0,Lobby 2,Semifinals,8.0,0.0,16.0,0.0,Split_1,North_America
1.0,DUMPERS,96,9,2,1,5,1,9,3,6,Lobby 1,Finals,1.0,11.0,2.0,9.0,Split_1,North_America
2.0,Sussy Bakas,54,1,7,4,6,19,0,5,2,Lobby 1,Finals,5.0,7.0,7.0,4.0,Split_1,North_America
3.0,TPM,44,19,0,5,12,11,5,4,11,Lobby 1,Finals,10.0,4.0,19.0,0.0,Split_1,North_America
4.0,RGP,44,7,7,14,0,9,0,1,11,Lobby 1,Finals,6.0,4.0,15.0,0.0,Split_1,North_America
5.0,GNR,38,11,5,9,0,16,0,13,0,Lobby 1,Finals,15.0,0.0,1.0,16.0,Split_1,North_America
6.0,RCO,38,6,0,13,0,2,15,9,2,Lobby 1,Finals,12.0,0.0,10.0,3.0,Split_1,North_America
7.0,trash,37,4,5,20,0,10,3,17,0,Lobby 1,Finals,4.0,10.0,4.0,2.0,Split_1,North_America
8.0,LM,36,12,0,6,7,4,13,16,3,Lobby 1,Finals,18.0,0.0,14.0,3.0,Split_1,North_America
9.0,RAWR,36,3,5,2,6,3,0,12,0,Lobby 1,Finals,20.0,0.0,12.0,0.0,Split_1,North_America
10.0,D A B,35,5,5,3,5,5,2,8,2,Lobby 1,Finals,9.0,1.0,13.0,0.0,Split_1,North_America
11.0,Select,34,18,0,8,4,7,0,6,9,Lobby 1,Finals,2.0,3.0,16.0,1.0,Split_1,North_America
12.0,LF,28,2,3,11,0,8,1,7,2,Lobby 1,Finals,7.0,2.0,11.0,1.0,Split_1,North_America
13.0,AST,23,20,1,12,4,13,0,14,0,Lobby 1,Finals,8.0,5.0,5.0,4.0,Split_1,North_America
14.0,LKM,23,8,1,18,0,15,1,10,0,Lobby 1,Finals,11.0,1.0,3.0,7.0,Split_1,North_America
15.0,1MAG,20,15,0,19,0,18,0,2,6,Lobby 1,Finals,16.0,0.0,8.0,2.0,Split_1,North_America
16.0,WASH,17,10,6,17,1,17,1,19,0,Lobby 1,Finals,14.0,3.0,17.0,3.0,Split_1,North_America
17.0,MoJo,17,17,3,16,0,12,0,18,1,Lobby 1,Finals,3.0,1.0,6.0,1.0,Split_1,North_America
18.0,Never Lucky,16,13,4,10,2,14,0,15,4,Lobby 1,Finals,19.0,1.0,20.0,0.0,Split_1,North_America
19.0,Boston Monsters,15,16,3,7,4,20,0,20,0,Lobby 1,Finals,17.0,3.0,9.0,0.0,Split_1,North_America
20.0,Meow Syndicate,14,14,1,15,0,6,6,11,0,Lobby 1,Finals,13.0,0.0,18.0,0.0,Split_1,North_America
1.0,LM,71,3,7,2,20,12,5,1,10,Lobby 1,Quarterfinals,,,,,Split_1,North_America
2.0,DUMPERS,58,4,12,10,3,1,10,4,9,Lobby 1,Quarterfinals,,,,,Split_1,North_America
3.0,CAS,40,7,7,7,5,5,3,3,8,Lobby 1,Quarterfinals,,,,,Split_1,North_America
4.0,WASH,36,2,12,19,0,8,9,15,3,Lobby 1,Quarterfinals,,,,,Split_1,North_America
5.0,FNS,28,1,8,14,0,11,0,7,3,Lobby 1,Quarterfinals,,,,,Split_1,North_America
6.0,OA,27,6,5,17,0,3,8,9,2,Lobby 1,Quarterfinals,,,,,Split_1,North_America
7.0,Onyx,27,17,0,3,4,2,3,5,0,Lobby 1,Quarterfinals,,,,,Split_1,North_America
8.0,Team Name,25,5,2,12,0,7,6,6,6,Lobby 1,Quarterfinals,,,,,Split_1,North_America
9.0,SLS,25,10,0,1,7,13,2,14,0,Lobby 1,Quarterfinals,,,,,Split_1,North_America
10.0,New Misfits,22,19,0,9,5,19,0,2,6,Lobby 1,Quarterfinals,,,,,Split_1,North_America
11.0,MoJo,16,13,0,4,5,6,1,11,0,Lobby 1,Quarterfinals,,,,,Split_1,North_America
12.0,Grimm,11,12,0,5,2,16,3,12,0,Lobby 1,Quarterfinals,,,,,Split_1,North_America
13.0,NOXIOUS,9,16,1,8,0,4,0,13,0,Lobby 1,Quarterfinals,,,,,Split_1,North_America
14.0,StepBros,8,8,0,15,0,9,3,18,0,Lobby 1,Quarterfinals,,,,,Split_1,North_America
15.0,UNDD,7,9,0,13,0,15,0,10,1,Lobby 1,Quarterfinals,,,,,Split_1,North_America
16.0,1B2K,6,11,0,16,0,10,0,17,3,Lobby 1,Quarterfinals,,,,,Split_1,North_America
17.0,Mobsquad,5,14,0,6,0,14,0,16,0,Lobby 1,Quarterfinals,,,,,Split_1,North_America
18.0,Down Bad,4,15,0,18,0,18,0,8,1,Lobby 1,Quarterfinals,,,,,Split_1,North_America
19.0,Carbon Esports,2,18,0,11,0,17,0,19,1,Lobby 1,Quarterfinals,,,,,Split_1,North_America
20.0,Iron Giant,0,20,0,20,0,20,0,20,0,Lobby 1,Quarterfinals,,,,,Split_1,North_America
1.0,LVG,62,14,2,2,12,6,10,2,16,Lobby 2,Quarterfinals,,,,,Split_1,North_America
2.0,LKM,48,3,5,1,13,3,3,12,0,Lobby 2,Quarterfinals,,,,,Split_1,North_America
3.0,LF,37,8,2,5,3,11,2,1,11,Lobby 2,Quarterfinals,,,,,Split_1,North_America
4.0,BLitLd Revengers,34,16,6,8,3,2,10,14,3,Lobby 2,Quarterfinals,,,,,Split_1,North_America
5.0,Specter,34,1,6,11,4,12,0,3,3,Lobby 2,Quarterfinals,,,,,Split_1,North_America
6.0,ROT,27,19,0,4,9,4,4,11,3,Lobby 2,Quarterfinals,,,,,Split_1,North_America
7.0,My Neck My Back,27,10,1,16,0,1,12,17,0,Lobby 2,Quarterfinals,,,,,Split_1,North_America
8.0,ChayKayJay,26,2,11,14,0,15,0,5,0,Lobby 2,Quarterfinals,,,,,Split_1,North_America
9.0,EXAgents,24,4,4,17,0,7,3,13,8,Lobby 2,Quarterfinals,,,,,Split_1,North_America
10.0,Already Peaked,22,7,3,3,7,17,0,10,0,Lobby 2,Quarterfinals,,,,,Split_1,North_America
11.0,Bunch of APES,19,13,0,6,5,10,6,15,1,Lobby 2,Quarterfinals,,,,,Split_1,North_America
12.0,TDG,17,5,2,7,0,13,3,16,4,Lobby 2,Quarterfinals,,,,,Split_1,North_America
13.0,TPM,14,15,5,13,3,14,3,19,0,Lobby 2,Quarterfinals,,,,,Split_1,North_America
14.0,GSG,13,9,4,15,0,18,0,4,1,Lobby 2,Quarterfinals,,,,,Split_1,North_America
15.0,GNR,12,11,2,9,0,16,0,9,5,Lobby 2,Quarterfinals,,,,,Split_1,North_America
16.0,Potential Upset,7,12,0,19,0,20,0,7,3,Lobby 2,Quarterfinals,,,,,Split_1,North_America
17.0,Monke Mode 3B,7,6,2,20,0,9,0,20,0,Lobby 2,Quarterfinals,,,,,Split_1,North_America
18.0,The Goon Squad,6,18,0,18,0,8,1,8,1,Lobby 2,Quarterfinals,,,,,Split_1,North_America
19.0,CJX Crew,6,20,0,12,0,5,1,18,0,Lobby 2,Quarterfinals,,,,,Split_1,North_America
20.0,DPRK,5,17,0,10,0,19,0,6,0,Lobby 2,Quarterfinals,,,,,Split_1,North_America
1.0,EQ,71,4,4,1,9,1,12,2,8,Lobby 3,Quarterfinals,,,,,Split_1,North_America
2.0,D A B,71,1,11,3,4,2,4,1,12,Lobby 3,Quarterfinals,,,,,Split_1,North_America
3.0,CCE,32,16,6,13,3,9,12,10,6,Lobby 3,Quarterfinals,,,,,Split_1,North_America
4.0,Sussy Bakas,32,7,0,7,4,4,6,5,7,Lobby 3,Quarterfinals,,,,,Split_1,North_America
5.0,MDL,32,2,4,6,6,11,2,4,2,Lobby 3,Quarterfinals,,,,,Split_1,North_America
6.0,NM,30,5,9,10,7,7,4,12,0,Lobby 3,Quarterfinals,,,,,Split_1,North_America
7.0,RL,25,3,7,12,3,6,3,14,0,Lobby 3,Quarterfinals,,,,,Split_1,North_America
8.0,JackBoyz,19,8,5,15,0,13,0,3,3,Lobby 3,Quarterfinals,,,,,Split_1,North_America
9.0,Team Savage,19,15,1,2,4,10,0,8,0,Lobby 3,Quarterfinals,,,,,Split_1,North_America
10.0,DirtyDingus',16,9,1,16,0,3,2,6,1,Lobby 3,Quarterfinals,,,,,Split_1,North_America
11.0,Never Lucky,12,19,1,8,7,16,2,17,0,Lobby 3,Quarterfinals,,,,,Split_1,North_America
12.0,ZooWeeMama,11,12,2,17,0,8,1,9,3,Lobby 3,Quarterfinals,,,,,Split_1,North_America
13.0,OutofPocketGamer,10,18,0,5,4,17,0,11,1,Lobby 3,Quarterfinals,,,,,Split_1,North_America
14.0,i love emo girls,10,6,0,19,0,12,0,13,5,Lobby 3,Quarterfinals,,,,,Split_1,North_America
15.0,ONICHAN,10,11,1,4,0,19,0,7,0,Lobby 3,Quarterfinals,,,,,Split_1,North_America
16.0,Undisputed,9,17,0,9,0,5,0,15,2,Lobby 3,Quarterfinals,,,,,Split_1,North_America
17.0,The Peeps,5,13,0,18,0,18,3,18,1,Lobby 3,Quarterfinals,,,,,Split_1,North_America
18.0,Wonderboys,4,10,0,11,0,15,0,16,0,Lobby 3,Quarterfinals,,,,,Split_1,North_America
19.0,SirRainNoody,3,14,0,14,0,14,0,19,0,Lobby 3,Quarterfinals,,,,,Split_1,North_America
20.0,CVS,0,20,0,20,0,20,0,20,0,Lobby 3,Quarterfinals,,,,,Split_1,North_America
1.0,Unsigned Talent,52,3,5,5,7,4,16,10,6,Lobby 4,Quarterfinals,,,,,Split_1,North_America
2.0,Select,39,1,12,11,2,5,1,11,6,Lobby 4,Quarterfinals,,,,,Split_1,North_America
3.0,Monsters Inc.,38,14,2,16,0,8,2,1,19,Lobby 4,Quarterfinals,,,,,Split_1,North_America
4.0,Code Cloud,32,2,3,10,7,7,4,7,1,Lobby 4,Quarterfinals,,,,,Split_1,North_America
5.0,Boston Monsters,28,19,0,1,6,16,5,14,4,Lobby 4,Quarterfinals,,,,,Split_1,North_America
6.0,RGP,27,17,3,4,12,12,2,15,3,Lobby 4,Quarterfinals,,,,,Split_1,North_America
7.0,AST,27,6,0,20,0,1,12,16,0,Lobby 4,Quarterfinals,,,,,Split_1,North_America
8.0,RCO,24,13,2,13,0,3,2,3,4,Lobby 4,Quarterfinals,,,,,Split_1,North_America
9.0,ReVive me pls,23,8,0,3,9,13,1,9,1,Lobby 4,Quarterfinals,,,,,Split_1,North_America
10.0,Inspired,23,9,2,2,7,15,1,12,0,Lobby 4,Quarterfinals,,,,,Split_1,North_America
11.0,KrYsos,23,4,2,8,0,2,5,17,0,Lobby 4,Quarterfinals,,,,,Split_1,North_America
12.0,SDO,19,12,4,7,4,9,5,19,0,Lobby 4,Quarterfinals,,,,,Split_1,North_America
13.0,Chosen Legacy,19,11,3,19,0,6,0,2,3,Lobby 4,Quarterfinals,,,,,Split_1,North_America
14.0,Cool Cats,16,5,2,18,0,10,0,4,3,Lobby 4,Quarterfinals,,,,,Split_1,North_America
15.0,Turtle Named Bob,12,18,0,6,2,19,0,5,3,Lobby 4,Quarterfinals,,,,,Split_1,North_America
16.0,Patrón,12,7,4,9,0,18,0,6,0,Lobby 4,Quarterfinals,,,,,Split_1,North_America
17.0,2R1M,8,10,5,14,0,20,0,20,0,Lobby 4,Quarterfinals,,,,,Split_1,North_America
18.0,Diamond Hands,7,16,2,15,1,11,0,8,0,Lobby 4,Quarterfinals,,,,,Split_1,North_America
19.0,Dark Matter,6,20,0,17,0,17,4,13,1,Lobby 4,Quarterfinals,,,,,Split_1,North_America
20.0,The Pickups,5,15,0,12,0,14,0,18,2,Lobby 4,Quarterfinals,,,,,Split_1,North_America
1.0,LM,125,13,6,2,9,1,11,1,16,Lobby 1,Semifinals,2.0,8.0,1.0,20.0,Split_1,North_America
2.0,LVG,55,3,13,4,18,18,0,20,1,Lobby 1,Semifinals,12.0,5.0,16.0,5.0,Split_1,North_America
3.0,FNS,51,2,4,1,5,5,6,17,0,Lobby 1,Semifinals,13.0,1.0,3.0,2.0,Split_1,North_America
4.0,My Neck My Back,50,14,0,15,1,19,0,2,5,Lobby 1,Semifinals,1.0,21.0,19.0,0.0,Split_1,North_America
5.0,DUMPERS,47,4,4,8,4,2,10,13,2,Lobby 1,Semifinals,15.0,1.0,5.0,4.0,Split_1,North_America
6.0,LF,38,1,6,5,4,15,0,4,4,Lobby 1,Semifinals,18.0,0.0,12.0,1.0,Split_1,North_America
7.0,LKM,36,12,0,9,2,14,3,9,3,Lobby 1,Semifinals,4.0,1.0,2.0,7.0,Split_1,North_America
8.0,WASH,28,16,5,17,0,10,9,8,6,Lobby 1,Semifinals,17.0,3.0,17.0,1.0,Split_1,North_America
9.0,ChayKayJay,27,8,1,14,2,9,0,6,0,Lobby 1,Semifinals,3.0,4.0,6.0,2.0,Split_1,North_America
10.0,CAS,26,11,1,19,2,13,1,5,4,Lobby 1,Semifinals,6.0,0.0,4.0,4.0,Split_1,North_America
11.0,EXAgents,24,17,0,12,4,6,1,7,0,Lobby 1,Semifinals,14.0,1.0,10.0,8.0,Split_1,North_America
12.0,Already Peaked,23,19,0,16,0,3,8,16,4,Lobby 1,Semifinals,8.0,0.0,8.0,0.0,Split_1,North_America
13.0,Team Name,23,10,0,3,2,8,3,12,3,Lobby 1,Semifinals,19.0,0.0,14.0,2.0,Split_1,North_America
14.0,Onyx,21,9,2,11,1,17,1,10,5,Lobby 1,Semifinals,5.0,1.0,13.0,1.0,Split_1,North_America
15.0,ROT,20,6,2,6,2,7,0,19,0,Lobby 1,Semifinals,11.0,5.0,11.0,0.0,Split_1,North_America
16.0,New Misfits,20,5,1,18,0,20,0,3,1,Lobby 1,Semifinals,7.0,0.0,9.0,2.0,Split_1,North_America
