Standing,Team,Total,P,K,P.1,K.1,P.2,K.2,P.3,K.3,Lobby,Round,P.4,K.4,P.5,K.5,PQL
1.0,DNO,63,10,8,3,5,4,10,1,14,Lobby 1,Quarterfinals,,,,,Preseason_Qualifier_1
2.0,NBL,44,5,6,18,0,1,9,2,4,Lobby 1,Quarterfinals,,,,,Preseason_Qualifier_1
3.0,BW,42,7,4,1,9,11,1,4,7,Lobby 1,Quarterfinals,,,,,Preseason_Qualifier_1
4.0,The Semi Pros,35,2,8,12,6,17,0,3,4,Lobby 1,Quarterfinals,,,,,Preseason_Qualifier_1
5.0,OA,34,8,0,5,5,2,7,9,5,Lobby 1,Quarterfinals,,,,,Preseason_Qualifier_1
6.0,SMP,30,3,8,11,1,3,2,6,1,Lobby 1,Quarterfinals,,,,,Preseason_Qualifier_1
7.0,CLX,24,15,5,6,4,9,5,14,3,Lobby 1,Quarterfinals,,,,,Preseason_Qualifier_1
8.0,Titanes,24,1,4,16,0,5,2,10,0,Lobby 1,Quarterfinals,,,,,Preseason_Qualifier_1
9.0,SXG,21,16,0,2,7,13,2,12,1,Lobby 1,Quarterfinals,,,,,Preseason_Qualifier_1
10.0,Hooiya,20,19,2,8,1,6,3,5,5,Lobby 1,Quarterfinals,,,,,Preseason_Qualifier_1
11.0,My Neck My Back,19,4,7,4,1,15,0,19,0,Lobby 1,Quarterfinals,,,,,Preseason_Qualifier_1
12.0,ROT,15,13,0,7,2,12,1,13,6,Lobby 1,Quarterfinals,,,,,Preseason_Qualifier_1
13.0,RCO,15,6,1,9,3,14,2,7,0,Lobby 1,Quarterfinals,,,,,Preseason_Qualifier_1
14.0,gibbyhands,14,11,0,13,0,7,6,8,1,Lobby 1,Quarterfinals,,,,,Preseason_Qualifier_1
15.0,Hardstuck10k,9,9,0,19,0,8,1,11,3,Lobby 1,Quarterfinals,,,,,Preseason_Qualifier_1
16.0,Spooky Scary,4,12,1,15,0,19,1,16,0,Lobby 1,Quarterfinals,,,,,Preseason_Qualifier_1
17.0,SQS Gaming,4,14,0,14,0,10,0,18,0,Lobby 1,Quarterfinals,,,,,Preseason_Qualifier_1
18.0,Insane Xboxsers,3,17,0,10,0,16,0,15,0,Lobby 1,Quarterfinals,,,,,Preseason_Qualifier_1
19.0,Dumpsters,2,18,0,17,2,18,0,17,0,Lobby 1,Quarterfinals,,,,,Preseason_Qualifier_1
