Standing,Team,Total,P,K,P,K,P,K,P,K,P,K,P,K
1.0,N1A,93,1,12,19,1,8,9,2,11,3,10,3,13
2.0,We Need Team,64,4,3,2,16,2,6,3,7,14,0,17,1
3.0,STYLE,55,7,2,12,0,14,0,4,8,1,17,11,5
4.0,3DONE,54,15,0,7,8,1,15,9,3,7,3,14,3
5.0,ORC,49,9,1,1,6,6,1,1,3,10,1,9,4
6.0,0_Reverse,42,6,6,9,3,3,7,6,3,6,5,19,0
7.0,C-VA KAG,37,19,0,10,3,13,0,17,4,13,4,1,10
8.0,JDT,32,13,1,3,1,20,0,5,6,4,3,15,3
9.0,NAT,30,10,8,4,1,4,7,19,0,18,0,16,2
10.0,ARK5,29,3,3,20,0,17,1,12,1,9,3,2,2
11.0,Numa,28,8,3,13,6,16,2,11,5,15,0,5,3
12.0,shes,28,5,6,16,0,10,3,14,2,11,1,4,3
13.0,WYV,28,12,0,6,2,19,0,7,3,2,4,6,0
14.0,ScL,27,2,11,14,0,11,0,13,0,17,0,8,2
15.0,BB,25,11,2,18,0,5,1,8,3,5,3,13,4
16.0,Serpens,23,14,0,11,5,9,5,18,0,8,3,12,3
17.0,LLGS,11,16,2,5,0,18,0,15,0,19,0,7,1
18.0,APEX反省会,8,17,0,8,2,12,2,20,1,20,0,18,0
19.0,SyS,7,20,0,15,2,15,0,10,0,12,0,20,0
20.0,BEXT,6,18,0,17,0,7,1,16,0,16,0,10,0
