Standing,Team,Total,P,K,P.1,K.1,P.2,K.2,P.3,K.3,P.4,K.4,P.5,K.5,Lobby
1.0,MVP,69,12,1,4,10,5,0,3,12,2,13,5,3,Lobby 1
2.0,OF,65,7,4,1,12,1,8,10,0,4,5,10,0,Lobby 1
3.0,Slav Animals,54,11,1,3,4,4,3,2,8,17,1,1,3,Lobby 1
4.0,TK,52,8,12,2,4,10,1,13,4,5,7,8,4,Lobby 1
5.0,BRZ,51,3,6,15,2,2,8,9,1,3,5,7,0,Lobby 1
6.0,ZETTA,43,2,0,7,4,9,6,8,7,6,0,4,2,Lobby 1
7.0,USB,36,1,8,9,0,15,0,11,0,8,1,6,6,Lobby 1
8.0,MonsTer Team,34,6,0,18,0,12,5,6,3,13,0,3,11,Lobby 1
9.0,Natural Killer,34,15,0,16,1,3,2,15,1,1,8,11,0,Lobby 1
10.0,KZN,34,9,0,5,3,14,0,1,8,7,0,15,0,Lobby 1
11.0,Love Egirls,32,16,2,14,0,8,6,17,0,11,3,2,8,Lobby 1
12.0,BTH,26,4,3,10,4,13,0,7,0,12,0,12,6,Lobby 1
13.0,Duty calls,24,17,0,6,8,16,3,18,0,14,3,9,4,Lobby 1
14.0,AIM,23,20,0,8,5,7,5,14,2,10,1,13,1,Lobby 1
15.0,Team seven,14,14,1,11,0,18,0,5,3,9,1,14,0,Lobby 1
16.0,SLU,13,5,6,13,0,11,1,16,0,20,0,20,0,Lobby 1
17.0,BHT,13,10,1,17,0,6,2,4,0,16,0,16,0,Lobby 1
18.0,ROCKETZ TEAM,9,13,4,12,0,17,0,12,0,15,1,17,0,Lobby 1
19.0,LIONS,0,18,0,19,0,19,0,20,0,20,0,20,0,Lobby 1
20.0,SST,0,20,0,20,0,20,0,20,0,20,0,20,0,Lobby 1
