C vs D StandingsPlacements and killsPoints,Team,Total,P,K,P.1,K.1,P.2,K.2,P.3,K.3,P.4,K.4,P.5,K.5,Lobby,B vs D StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints,A vs B StandingsPlacements and killsPoints,Split
1.0,FNX,72,2,8,10,7,9,1,1,18,14,0,2,3,Round 10,,,,,,Split_1
2.0,XEN,70,16,0,1,16,1,8,9,4,4,4,5,3,Round 10,,,,,,Split_1
3.0,ELV,69,8,0,2,15,5,6,9,4,6,12,3,5,Round 10,,,,,,Split_1
4.0,SST,59,10,6,4,6,16,0,3,6,1,13,12,1,Round 10,,,,,,Split_1
5.0,ASAIM,49,5,2,6,1,12,4,11,5,5,4,1,8,Round 10,,,,,,Split_1
6.0,LNW,47,6,6,7,4,14,1,6,4,12,6,7,12,Round 10,,,,,,Split_1
7.0,TK,43,3,12,14,1,19,0,12,1,2,6,8,3,Round 10,,,,,,Split_1
8.0,NLNL,43,4,3,15,0,2,8,4,1,18,0,4,6,Round 10,,,,,,Split_1
9.0,MVP,33,7,0,3,2,11,3,2,0,8,0,9,4,Round 10,,,,,,Split_1
10.0,BRZ,31,12,1,8,3,7,7,13,1,3,1,13,3,Round 10,,,,,,Split_1
11.0,PD,31,11,6,11,0,4,5,5,1,10,1,10,3,Round 10,,,,,,Split_1
12.0,SUAVE,28,15,0,5,1,3,5,7,2,15,3,16,1,Round 10,,,,,,Split_1
13.0,DS,22,1,6,18,0,10,0,19,0,9,0,17,0,Round 10,,,,,,Split_1
14.0,CAPI,21,17,1,19,0,6,5,8,3,7,3,14,0,Round 10,,,,,,Split_1
15.0,DOOD,15,14,3,9,2,17,0,18,1,17,0,6,3,Round 10,,,,,,Split_1
16.0,INS,14,18,1,13,2,8,4,17,4,16,0,20,0,Round 10,,,,,,Split_1
17.0,GHT,10,9,0,20,0,20,0,20,0,19,0,11,7,Round 10,,,,,,Split_1
18.0,ULW,6,20,0,12,0,13,0,15,0,13,0,18,2,Round 10,,,,,,Split_1
19.0,USB,5,13,0,17,0,18,0,16,1,11,0,15,1,Round 10,,,,,,Split_1
20.0,GUG,3,19,0,16,0,15,1,14,0,20,0,19,0,Round 10,,,,,,Split_1
