,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints
,Unnamed: 0_level_1,Team,Total,"Round 1 Round 1 December 5, 2021 - 12:00 PSTWorld's Edge Asteria W KEY MONKE GiveNoRespect","Round 1 Round 1 December 5, 2021 - 12:00 PSTWorld's Edge Asteria W KEY MONKE GiveNoRespect","Round 2 Round 2 December 5, 2021 - 12:35 PSTWorld's Edge Undisputed Optimal Ambition Raw Material","Round 2 Round 2 December 5, 2021 - 12:35 PSTWorld's Edge Undisputed Optimal Ambition Raw Material","Round 3 Round 3 December 5, 2021 - 13:10 PSTWorld's Edge My Neck My Back D A B GiveNoRespect","Round 3 Round 3 December 5, 2021 - 13:10 PSTWorld's Edge My Neck My Back D A B GiveNoRespect","Round 4 Round 4 December 5, 2021 - 13:45 PSTWorld's Edge hi rollers Pullin Up Ignant TBD","Round 4 Round 4 December 5, 2021 - 13:45 PSTWorld's Edge hi rollers Pullin Up Ignant TBD"
,Unnamed: 0_level_2,Team,Total,P,K,P,K,P,K,P,K
0,1.0,My Neck My Back,53,14,2,10,8,1,10,3,11
1,2.0,AST,38,1,9,5,6,14,6,17,0
2,3.0,OA,38,4,3,2,6,8,2,4,6
3,4.0,hi rollers,35,19,0,7,3,5,4,1,9
4,5.0,GNR,31,3,9,15,3,3,3,15,0
5,6.0,D A B,31,5,3,16,0,2,5,5,6
6,7.0,RAWR,26,6,5,13,5,7,7,8,0
7,8.0,Undisputed,24,13,1,1,7,9,1,18,0
8,9.0,Code Cloud,23,9,6,6,1,4,5,11,0
9,10.0,Raw Material,23,15,0,3,7,10,3,7,0
10,11.0,WKM,21,2,6,12,1,11,2,14,0
11,12.0,NTV,18,11,4,9,5,15,0,9,3
12,13.0,ZERO,17,10,1,4,0,6,1,6,2
13,14.0,N U M,15,17,0,14,0,17,0,2,5
14,15.0,TDG,9,16,0,8,0,18,0,12,6
15,16.0,Name a Time,8,8,0,17,0,16,3,16,3
16,17.0,UNDD,8,7,0,18,0,12,0,10,2
17,18.0,Beep Boop Bots,3,18,1,19,0,13,0,13,0
18,19.0,New Misfits,2,12,0,11,0,19,0,19,0
19,20.0,T-State,0,20,0,20,0,20,0,20,0
