,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints
,Unnamed: 0_level_1,Team,Total,"Round 1 Round 1 April 9, 2022 - 11:00 EDTWorld's Edge AK47 Mystical KingsCanyon","Round 1 Round 1 April 9, 2022 - 11:00 EDTWorld's Edge AK47 Mystical KingsCanyon","Round 2 Round 2 April 9, 2022 - 11:30 EDTWorld's Edge KingsCanyon TERMINATORS 2k ping","Round 2 Round 2 April 9, 2022 - 11:30 EDTWorld's Edge KingsCanyon TERMINATORS 2k ping","Round 3 Round 3 April 9, 2022 - 12:00 EDTWorld's Edge KingsCanyon Barderos Mystical","Round 3 Round 3 April 9, 2022 - 12:00 EDTWorld's Edge KingsCanyon Barderos Mystical","Round 4 Round 4 April 9, 2022 - 12:30 EDTStorm Point AK47 Coffe Team KingsCanyon","Round 4 Round 4 April 9, 2022 - 12:30 EDTStorm Point AK47 Coffe Team KingsCanyon","Round 5 Round 5 April 9, 2022 - 13:00 EDTStorm Point AK47 TERMINATORS Barderos","Round 5 Round 5 April 9, 2022 - 13:00 EDTStorm Point AK47 TERMINATORS Barderos","Round 6 Round 6 April 9, 2022 - 13:30 EDTStorm Point AK47 Coffe Team TERMINATORS","Round 6 Round 6 April 9, 2022 - 13:30 EDTStorm Point AK47 Coffe Team TERMINATORS"
,Unnamed: 0_level_2,Team,Total,P,K,P,K,P,K,P,K,P,K,P,K
0,1.0,AK47,109,1,16,13,3,10,4,1,15,1,16,1,4
1,2.0,KC,94,3,7,1,16,1,17,3,6,4,4,13,0
2,3.0,TERM,62,6,3,2,7,9,1,5,3,2,4,3,10
3,4.0,COFFE,50,10,1,6,1,14,1,2,4,5,5,2,10
4,5.0,Barderos,46,14,0,4,6,2,6,11,0,3,1,6,7
5,6.0,Mystical,37,2,3,14,0,3,0,14,3,10,6,9,3
6,7.0,GOAT,30,5,6,5,1,6,1,9,3,13,0,10,3
7,8.0,2k ping,30,15,0,3,1,4,7,6,4,15,0,14,0
8,9.0,DEMON,23,4,2,9,1,5,3,10,1,11,1,12,0
9,10.0,Os Minhauu,22,7,0,8,1,7,0,4,2,6,1,8,0
10,11.0,eVoLuTioN,15,13,0,7,1,15,0,15,0,8,2,5,0
11,12.0,BTK,14,9,1,15,0,8,0,7,0,12,0,11,3
12,13.0,S4W,13,12,0,10,1,11,0,12,0,9,0,4,0
13,14.0,Corte Verde,12,11,0,12,0,13,0,8,0,7,0,7,1
14,15.0,PCO,10,8,3,11,1,12,0,13,0,14,0,0,0
15,16.0,Vatos Locos,0,0,0,0,0,0,0,0,0,0,0,0,0
