,B vs D StandingsPlacements and killsPoints,B vs D StandingsPlacements and killsPoints,B vs D StandingsPlacements and killsPoints,B vs D StandingsPlacements and killsPoints,B vs D StandingsPlacements and killsPoints,B vs D StandingsPlacements and killsPoints,B vs D StandingsPlacements and killsPoints,B vs D StandingsPlacements and killsPoints,B vs D StandingsPlacements and killsPoints,B vs D StandingsPlacements and killsPoints,B vs D StandingsPlacements and killsPoints,B vs D StandingsPlacements and killsPoints,B vs D StandingsPlacements and killsPoints,B vs D StandingsPlacements and killsPoints,B vs D StandingsPlacements and killsPoints
,Unnamed: 0_level_1,Team,Total,"Round 1 Round 1 March 28, 2022 - 20:00 EDTWorld's Edge Dubblyew RCO eSports Unlucky","Round 1 Round 1 March 28, 2022 - 20:00 EDTWorld's Edge Dubblyew RCO eSports Unlucky","Round 2 Round 2 March 28, 2022 - 20:30 EDTWorld's Edge Counter Logic Gaming SCRY Oxygen Esports","Round 2 Round 2 March 28, 2022 - 20:30 EDTWorld's Edge Counter Logic Gaming SCRY Oxygen Esports","Round 3 Round 3 March 28, 2022 - 21:00 EDTWorld's Edge RCO eSports LMK Elev8 Entertainment","Round 3 Round 3 March 28, 2022 - 21:00 EDTWorld's Edge RCO eSports LMK Elev8 Entertainment","Round 4 Round 4 March 28, 2022 - 21:30 EDTStorm Point Spacestation Gaming Charlotte Phoenix Counter Logic Gaming","Round 4 Round 4 March 28, 2022 - 21:30 EDTStorm Point Spacestation Gaming Charlotte Phoenix Counter Logic Gaming","Round 5 Round 5 March 28, 2022 - 22:00 EDTStorm Point Spacestation Gaming Sentinels E8","Round 5 Round 5 March 28, 2022 - 22:00 EDTStorm Point Spacestation Gaming Sentinels E8","Round 6 Round 6 March 28, 2022 - 22:30 EDTStorm Point SCRY Sentinels NRG","Round 6 Round 6 March 28, 2022 - 22:30 EDTStorm Point SCRY Sentinels NRG"
,Unnamed: 0_level_2,Team,Total,P,K,P,K,P,K,P,K,P,K,P,K
0,1.0,SCRY,69,10,4,2,11,4,6,10,6,17,1,1,11
1,2.0,SSG,64,5,3,16,0,16,0,1,16,1,11,5,2
2,3.0,CLG,63,4,7,1,11,8,0,3,2,10,7,7,5
3,4.0,DY,54,1,13,7,4,5,6,12,4,6,1,16,3
4,5.0,RCO,50,2,6,9,0,1,11,9,1,5,1,8,0
5,6.0,SEN,48,20,0,12,2,6,4,11,3,2,8,2,8
6,7.0,E8,37,13,3,4,5,3,1,14,0,3,4,6,0
7,8.0,NRG,35,16,2,17,1,14,3,19,0,4,8,3,8
8,9.0,OXG,34,8,3,3,9,17,2,4,2,15,2,11,0
9,10.0,SAF,26,19,0,18,0,9,3,8,10,19,0,4,4
10,11.0,LMK,25,17,0,11,2,2,6,7,1,18,0,10,1
11,12.0,UNL,25,3,1,6,6,11,0,5,2,16,0,15,0
12,13.0,TOR,23,7,3,5,2,7,5,18,0,14,0,17,2
13,14.0,CLT,23,14,0,10,0,13,1,2,3,9,4,18,0
14,15.0,AGG,20,9,4,20,0,18,0,6,4,8,3,19,2
15,16.0,GHOST,18,11,0,13,1,15,0,15,0,7,2,13,7
16,17.0,AP,18,6,5,15,1,10,0,20,0,12,3,9,0
17,18.0,DXT,13,18,0,14,0,12,6,16,0,13,0,12,3
18,19.0,COL,11,15,0,19,0,19,0,13,0,11,7,14,0
19,20.0,TDG,6,12,1,8,2,20,0,17,0,20,0,20,0
