Standing,Team,Total,P,K,P.1,K.1,P.2,K.2,P.3,K.3,Lobby
1.0,SSD,53,6,7,2,10,1,8,12,3,Lobby 1
2.0,SJP2,50,1,19,7,7,9,6,19,1,Lobby 1
3.0,POLSKA,44,3,4,14,1,3,8,2,7,Lobby 1
4.0,TRJ,41,4,6,1,11,7,3,15,0,Lobby 1
5.0,4ypiki,37,2,3,13,0,2,3,4,7,Lobby 1
6.0,4 3 Gang,28,11,1,4,2,8,6,3,4,Lobby 1
7.0,SLAP,27,13,9,11,4,10,4,10,4,Lobby 1
8.0,HEXA,26,9,1,9,0,17,0,1,9,Lobby 1
9.0,HNY,25,10,0,3,7,16,0,6,6,Lobby 1
10.0,3turrets1brain,24,5,2,5,3,5,2,9,3,Lobby 1
11.0,Trixx,21,18,0,16,4,6,8,7,3,Lobby 1
12.0,Uchinix,15,12,1,6,1,20,0,8,7,Lobby 1
13.0,Xc,12,7,2,8,1,13,3,17,0,Lobby 1
14.0,KYKLOS,11,14,0,15,3,15,0,5,1,Lobby 1
15.0,NXB,9,8,3,19,0,12,3,18,0,Lobby 1
16.0,MF,7,19,0,18,1,11,1,11,3,Lobby 1
17.0,4eSport,7,15,0,10,2,14,0,13,0,Lobby 1
18.0,Monkey Milkers,7,16,0,17,0,4,0,14,1,Lobby 1
19.0,Royal Mooses,2,17,0,12,1,18,0,16,0,Lobby 1
20.0,Wait For Top 6,0,20,0,20,0,19,0,20,0,Lobby 1
1.0,PRSTS,53,4,4,2,11,15,3,2,11,Lobby 2
2.0,21cm,49,2,16,16,0,9,7,5,11,Lobby 2
3.0,plei,44,3,7,10,5,5,13,8,4,Lobby 2
4.0,HKE,40,8,1,3,6,1,4,6,5,Lobby 2
5.0,ONE HP,38,11,2,1,7,2,6,14,0,Lobby 2
6.0,ATK,33,6,4,6,1,20,1,1,9,Lobby 2
7.0,CHI,27,5,8,4,2,10,1,7,2,Lobby 2
8.0,Dababy,23,18,0,7,4,3,6,12,2,Lobby 2
9.0,7Hologram,22,1,7,14,0,19,2,17,0,Lobby 2
10.0,NIBL,21,9,1,11,3,7,5,13,5,Lobby 2
11.0,ZBW,20,10,1,15,2,4,0,4,4,Lobby 2
12.0,Velocity,19,16,0,5,3,8,2,3,1,Lobby 2
13.0,letsdrinkforlove,15,13,0,9,7,14,4,18,0,Lobby 2
14.0,7200 Slaves,12,12,3,8,0,12,1,9,2,Lobby 2
15.0,WICKED,12,7,1,12,0,6,4,16,0,Lobby 2
16.0,Justthreeplayers,9,14,0,19,0,13,1,10,4,Lobby 2
