Standings,Team.1,Total,Lobby
1.0,AST,86,Lobby 10
2.0,CC,70,Lobby 10
3.0,Onyx,49,Lobby 10
4.0,Dawn of Legends,22,Lobby 10
5.0,True SightENT,21,Lobby 10
6.0,Net,17,Lobby 10
7.0,BRONZELASTSEASON,17,Lobby 10
8.0,UMBC Retrievers,17,Lobby 10
9.0,Conquest Gaming,16,Lobby 10
10.0,Jump out boys,14,Lobby 10
11.0,Razen Gaming,13,Lobby 10
12.0,EAB MODEL,9,Lobby 10
13.0,BackStage,9,Lobby 10
14.0,Clemson Orange,5,Lobby 10
1.0,Never Lucky,102,Lobby 11
2.0,The Fudges,48,Lobby 11
3.0,CVS,41,Lobby 11
4.0,LZR,38,Lobby 11
5.0,Undisputed,33,Lobby 11
6.0,Gods Plan Gaming,22,Lobby 11
7.0,Gryphon Gaming,18,Lobby 11
8.0,Team Possessed,16,Lobby 11
9.0,IntentionalWhite,15,Lobby 11
10.0,GPS,10,Lobby 11
11.0,Simpfor2Dgirls,7,Lobby 11
12.0,PuraVidaCR,7,Lobby 11
13.0,NA Assault,7,Lobby 11
14.0,The Bois,5,Lobby 11
15.0,Los KKS,4,Lobby 11
1.0,O TAMA,91,Lobby 12
2.0,Meow Syndicate,52,Lobby 12
3.0,SLS,33,Lobby 12
4.0,Club Cobra,28,Lobby 12
5.0,He’s One Shot,27,Lobby 12
6.0,Siracha,27,Lobby 12
7.0,SDO,25,Lobby 12
8.0,DeGents,23,Lobby 12
9.0,BrownieBoys,21,Lobby 12
10.0,Ignition Team,16,Lobby 12
11.0,WiseGuyz,16,Lobby 12
12.0,Neutral Net,9,Lobby 12
13.0,Chillz N Killz,8,Lobby 12
14.0,ClemsonPurple,5,Lobby 12
15.0,NaturalSelection,4,Lobby 12
1.0,BP,112,Lobby 13
2.0,Dexterous,59,Lobby 13
3.0,Pickles,38,Lobby 13
4.0,TRP,29,Lobby 13
5.0,Nest,20,Lobby 13
6.0,Stars Raws,17,Lobby 13
7.0,Passivaggressive,16,Lobby 13
8.0,MT Heads,14,Lobby 13
9.0,TropicAlone 🍍,14,Lobby 13
10.0,Merciless Pros,13,Lobby 13
11.0,TiTanes Cronos,13,Lobby 13
12.0,LULW,11,Lobby 13
13.0,The Inmortals,10,Lobby 13
14.0,Under Cover,9,Lobby 13
15.0,ZombieNeverDie,6,Lobby 13
1.0,TGJ,68,Lobby 14
2.0,Whoms'tve Thiccs,65,Lobby 14
3.0,Vandals,37,Lobby 14
4.0,GBK DK’s,29,Lobby 14
5.0,zyn,29,Lobby 14
6.0,Bandits,20,Lobby 14
7.0,Possibility,19,Lobby 14
8.0,TexasRatsnakes,17,Lobby 14
9.0,Abbys Sports,17,Lobby 14
10.0,GIBRAWLERS,15,Lobby 14
11.0,Hand of Fate,14,Lobby 14
12.0,REXTOXICSLAYER,14,Lobby 14
13.0,Fraggin & Laggin,11,Lobby 14
14.0,24kt Boys,5,Lobby 14
1.0,YouLikeThatMate?,88,Lobby 15
2.0,InevitableGaming,62,Lobby 15
3.0,LMX,39,Lobby 15
4.0,4Fun,37,Lobby 15
5.0,oni,33,Lobby 15
6.0,"You stay, I go",25,Lobby 15
7.0,Anger Of Nubs,21,Lobby 15
8.0,Unlucky Players,13,Lobby 15
9.0,Eleventh Squad,12,Lobby 15
10.0,Mexican Demons,12,Lobby 15
11.0,Valhalla,10,Lobby 15
12.0,The Bread Bears,8,Lobby 15
13.0,Better Not Run,7,Lobby 15
14.0,Merk and Co,7,Lobby 15
15.0,Aztecas Mex Team,3,Lobby 15
1.0,BBJ,85,Lobby 16
2.0,All The Smoke,66,Lobby 16
3.0,LuxuryRose,51,Lobby 16
4.0,The Stinkies,28,Lobby 16
5.0,Buck Town Squad,18,Lobby 16
6.0,Hardstuck Plat,17,Lobby 16
7.0,CatDog,17,Lobby 16
8.0,JustSomeWarriors,17,Lobby 16
9.0,H4GAMING,13,Lobby 16
10.0,ASE,13,Lobby 16
11.0,Team Ravag3,12,Lobby 16
12.0,Heavy Force,10,Lobby 16
13.0,Lap Sap,9,Lobby 16
14.0,YourMothersFav,6,Lobby 16
15.0,Firebirds,1,Lobby 16
1.0,Sokudo Plus,70,Lobby 17
2.0,MOAN,50,Lobby 17
3.0,Coconut Island,37,Lobby 17
4.0,BQB,35,Lobby 17
5.0,Savage Misfits,35,Lobby 17
6.0,Alliance Esports,29,Lobby 17
7.0,Koatl esports,21,Lobby 17
8.0,Deathbox Hunters,18,Lobby 17
9.0,OnTheRocks,12,Lobby 17
10.0,AEG Esports,12,Lobby 17
11.0,WiFi Boyz,10,Lobby 17
12.0,UwUCrew,10,Lobby 17
13.0,Virtual Nightmare,9,Lobby 17
14.0,wizzy,5,Lobby 17
15.0,The BRKN CNTRLR,4,Lobby 17
1.0,Aisle 5,102,Lobby 18
2.0,ZERO,51,Lobby 18
3.0,Lorax,39,Lobby 18
4.0,Razer 3dge Black,28,Lobby 18
5.0,NightMare Red,28,Lobby 18
6.0,Exoterran Y,26,Lobby 18
7.0,L1FT,21,Lobby 18
8.0,Audio Visual,13,Lobby 18
9.0,Swagnificent,12,Lobby 18
10.0,Vertic,11,Lobby 18
11.0,ObviouslyMX,11,Lobby 18
12.0,BootyBoyz,9,Lobby 18
13.0,KING OF HELL,8,Lobby 18
14.0,Mist Gaming,5,Lobby 18
1.0,EST,86,Lobby 19
2.0,Tijuana Piranas,56,Lobby 19
3.0,Sniper Meta,54,Lobby 19
4.0,Vault Hunters,33,Lobby 19
5.0,Cod kids,23,Lobby 19
6.0,2 Zoomers1boomer,19,Lobby 19
7.0,The Big 3,17,Lobby 19
8.0,KThrewLife,16,Lobby 19
9.0,Team Boomer,14,Lobby 19
10.0,Grizzy,12,Lobby 19
11.0,Dominators,12,Lobby 19
12.0,The Pack,11,Lobby 19
13.0,oGwaffles,8,Lobby 19
14.0,RAG3,6,Lobby 19
15.0,Discord Admins,4,Lobby 19
1.0,CLX,76,Lobby 1
2.0,OA,55,Lobby 1
3.0,RCO,44,Lobby 1
4.0,PWM,39,Lobby 1
5.0,TEAM Workaholics,37,Lobby 1
6.0,Insane Xboxsers,33,Lobby 1
7.0,Chud Bungus,15,Lobby 1
8.0,Ampedant,15,Lobby 1
9.0,Team Shadow Wolf,14,Lobby 1
10.0,JustSomeNewGuys,12,Lobby 1
11.0,2B1R,12,Lobby 1
12.0,ControllerLegend,12,Lobby 1
13.0,Carbon Esports,7,Lobby 1
14.0,Tooshbags,6,Lobby 1
15.0,Aces Team,3,Lobby 1
