A vs C StandingsPlacements and killsPoints,Team,Total,P,K,P,K,P,K,P,K,P,K,P,K
1.0,FNX,65,8,7,16,0,1,12,18,1,1,12,12,6
2.0,OF,65,1,9,4,2,3,5,2,6,4,3,10,0
3.0,SNG,64,2,8,1,13,7,5,6,2,9,1,4,1
4.0,PTD,62,3,4,11,1,4,3,1,14,10,0,5,9
5.0,DS,56,6,1,19,0,2,9,13,2,3,6,1,6
6.0,DOOD,53,12,5,2,11,17,1,3,10,17,0,3,2
7.0,HRS,39,5,9,6,2,14,2,10,0,5,10,11,1
8.0,INS,33,7,1,7,3,10,2,7,10,15,2,8,1
9.0,BRZ,32,11,0,8,3,6,1,5,6,6,3,6,3
10.0,SUAVE,30,9,0,14,2,19,0,11,0,2,5,7,7
11.0,NLNL,28,16,0,3,6,11,9,14,0,13,2,15,0
12.0,FSN,27,13,0,9,5,18,0,4,2,8,6,9,2
13.0,OMEGA,23,14,0,17,0,15,0,17,0,19,0,2,12
14.0,GUG,15,15,0,12,0,5,3,9,4,16,0,16,0
15.0,ULW,12,18,1,15,0,16,0,8,1,7,4,18,0
16.0,USB,12,4,3,13,1,12,0,19,0,14,0,19,0
17.0,BHT,11,17,0,5,3,9,1,16,0,11,0,17,0
18.0,SIG,9,10,2,18,0,13,1,12,0,12,0,14,0
19.0,TBG,8,19,0,10,0,8,0,15,0,18,0,13,2
20.0,AIM,0,0,0,0,0,0,0,0,0,0,0,0,0
