C vs D StandingsPlacements and killsPoints,Team,Total,P,K,P,K,P,K,P,K,P,K,P,K
1.0,XEN,86,3,8,1,15,11,0,12,8,2,8,1,5
2.0,DOOD,65,1,13,5,4,7,9,5,6,9,4,12,3
3.0,ELV,58,8,7,13,3,2,13,4,3,7,10,9,0
4.0,SUAVE,55,2,2,16,0,1,7,7,2,4,4,4,6
5.0,FNX,44,17,0,4,8,15,0,2,7,3,7,16,0
6.0,ASAIM,42,5,8,6,3,10,0,8,0,1,8,17,0
7.0,USB,35,18,0,14,0,17,3,1,11,19,0,3,1
8.0,BRZ,33,6,2,8,1,18,2,20,0,13,0,2,13
9.0,PD,29,16,0,12,4,3,3,6,4,11,2,13,3
10.0,DS,25,15,2,7,2,8,5,11,0,5,3,19,2
11.0,GHT,25,7,1,19,0,5,4,9,3,18,0,6,5
12.0,LNW,22,4,6,11,1,19,1,13,0,17,6,15,0
13.0,SST,22,9,2,9,4,20,1,16,0,14,0,5,6
14.0,MVP,22,12,1,3,5,13,3,10,1,12,0,18,0
15.0,CAPI,21,13,1,2,3,9,1,18,0,6,1,20,0
16.0,TK,19,14,2,17,1,14,0,19,3,8,3,11,5
17.0,INS,19,19,0,18,1,4,1,3,4,16,0,14,0
18.0,NLNL,17,11,2,10,1,16,0,17,0,15,1,8,7
19.0,GUG,16,10,0,20,0,6,5,14,0,20,0,7,2
20.0,ULW,8,20,1,15,0,12,0,15,0,10,0,10,0
