,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints
,Unnamed: 0_level_1,Team,Total,"Round 1 Round 1 September 27, 2021 - 18:00 BSTWorld's Edge K1CK Oracle Esport NoFear Gaming","Round 1 Round 1 September 27, 2021 - 18:00 BSTWorld's Edge K1CK Oracle Esport NoFear Gaming","Round 2 Round 2 September 27, 2021 - 18:30 BSTWorld's Edge Sheriffs Clean Australis","Round 2 Round 2 September 27, 2021 - 18:30 BSTWorld's Edge Sheriffs Clean Australis","Round 3 Round 3 September 27, 2021 - 19:00 BSTWorld's Edge","Round 3 Round 3 September 27, 2021 - 19:00 BSTWorld's Edge","Round 4 Round 4 September 27, 2021 - 19:30 BSTWorld's Edge UpRising NoFear Gaming Clean","Round 4 Round 4 September 27, 2021 - 19:30 BSTWorld's Edge UpRising NoFear Gaming Clean","Round 5 Round 5 September 27, 2021 - 20:00 BSTWorld's Edge K1CK nxblesse dead inside","Round 5 Round 5 September 27, 2021 - 20:00 BSTWorld's Edge K1CK nxblesse dead inside","Round 6 Round 6 September 27, 2021 - 20:30 BSTWorld's Edge AustralisMissing: cleann Sheriffs","Round 6 Round 6 September 27, 2021 - 20:30 BSTWorld's Edge AustralisMissing: cleann Sheriffs"
,Unnamed: 0_level_2,Team,Total,P,K,P,K,P,K,P,K,P,K,P,K
0,1.0,K1CK,83,1,19,9,1,8,1,5,15,1,12,10,1
1,2.0,CLN,81,17,0,2,10,3,11,3,10,18,1,2,17
2,3.0,AUS,61,16,6,3,7,6,10,13,0,12,3,1,11
3,4.0,Sheriffs,53,11,2,1,6,1,5,6,1,10,2,3,0
4,5.0,Chiefs,46,4,4,4,8,12,1,12,8,7,5,13,4
5,6.0,NoFear,39,3,4,6,1,7,0,2,7,4,0,19,0
6,7.0,USG,37,5,4,14,4,15,1,1,6,15,1,8,0
7,8.0,NXB,34,19,0,11,4,4,7,11,3,2,4,17,0
8,9.0,ALKaIIIbI,32,9,4,15,0,2,11,7,0,13,0,12,0
9,10.0,AP,31,6,3,8,2,13,0,18,0,6,8,4,4
10,11.0,TD,29,8,5,13,2,5,3,15,0,19,1,6,7
11,12.0,DI,29,18,0,10,0,17,1,8,1,3,9,5,3
12,13.0,ORCL,24,2,5,16,0,10,0,14,0,14,1,9,3
13,14.0,MP,22,14,1,7,3,9,4,16,0,8,1,7,2
14,15.0,RD,19,7,3,18,0,16,0,10,6,17,0,11,4
15,16.0,ATK,15,15,0,5,1,14,2,4,1,16,0,20,0
16,17.0,Weebs Out,12,12,0,12,3,19,0,20,0,5,3,16,0
17,18.0,OG,10,13,0,19,0,20,0,17,0,11,5,14,2
18,19.0,3 Jabronies,8,20,0,17,2,18,0,19,2,9,1,15,0
19,20.0,Fight Club,6,10,1,20,0,11,0,9,0,20,0,18,0
