,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints
,Unnamed: 0_level_1,Team,Total,"Round 1 Round 1 September 25, 2021 - 12:00 SGTWorld's Edge SkarptSinne Infinity Paradox Losin Control","Round 1 Round 1 September 25, 2021 - 12:00 SGTWorld's Edge SkarptSinne Infinity Paradox Losin Control","Round 2 Round 2 September 25, 2021 - 12:35 SGTWorld's Edge Infinity Paradox Losin Control TEAM MIRACLE","Round 2 Round 2 September 25, 2021 - 12:35 SGTWorld's Edge Infinity Paradox Losin Control TEAM MIRACLE","Round 3 Round 3 September 25, 2021 - 13:10 SGTWorld's Edge April Astreaks Gaming Team Shinigami","Round 3 Round 3 September 25, 2021 - 13:10 SGTWorld's Edge April Astreaks Gaming Team Shinigami","Round 4 Round 4 September 25, 2021 - 13:45 SGTWorld's Edge Team Shinigami April Reckless Lads IXiA","Round 4 Round 4 September 25, 2021 - 13:45 SGTWorld's Edge Team Shinigami April Reckless Lads IXiA"
,Unnamed: 0_level_2,Team,Total,P,K,P,K,P,K,P,K
0,1.0,April,75,10,3,5,12,1,20,2,13
1,2.0,IFPD,60,2,11,1,15,9,3,4,3
2,3.0,Team Shinigami,28,13,0,8,1,3,1,1,4
3,4.0,RL.IXiA,27,12,1,7,2,5,2,3,7
4,5.0,Losin Control,27,3,5,2,3,10,0,14,0
5,6.0,INF,26,8,4,11,0,6,11,7,2
6,7.0,SkarptSinne,24,1,5,13,0,13,0,9,3
7,8.0,Astreaks Gaming,22,7,4,6,1,2,0,10,0
8,9.0,OGL,19,6,6,12,0,4,1,6,0
9,10.0,TEAM MIRACLE,19,9,0,3,2,14,0,5,3
10,11.0,NOPLAY2,18,4,1,4,1,8,0,12,3
11,12.0,AfterMidnightG,11,5,1,10,0,7,0,13,0
12,13.0,NoWaifuNoLaifu,7,14,0,9,1,11,0,8,0
13,14.0,hello nihao,6,11,1,14,0,12,0,11,1
