,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints
,Unnamed: 0_level_1,Team,Total,"Round 1 Round 1 October 9, 2021 - 12:00 BRTWorld's Edge Lovely Venom Los Makias Fluxo Team","Round 1 Round 1 October 9, 2021 - 12:00 BRTWorld's Edge Lovely Venom Los Makias Fluxo Team","Round 2 Round 2 October 9, 2021 - 12:35 BRTWorld's Edge MonsTer Team Kaizen Esports Lovely Venom","Round 2 Round 2 October 9, 2021 - 12:35 BRTWorld's Edge MonsTer Team Kaizen Esports Lovely Venom","Round 3 Round 3 October 9, 2021 - 13:10 BRTWorld's Edge PPEX MonsTer Team Kaizen Esports","Round 3 Round 3 October 9, 2021 - 13:10 BRTWorld's Edge PPEX MonsTer Team Kaizen Esports","Round 4 Round 4 October 9, 2021 - 13:45 BRTWorld's Edge Paradox Esports Aposentados Lovely Venom","Round 4 Round 4 October 9, 2021 - 13:45 BRTWorld's Edge Paradox Esports Aposentados Lovely Venom"
,Unnamed: 0_level_2,Team,Total,P,K,P,K,P,K,P,K
0,1.0,MonsTer Team,63,4,8,1,9,2,5,5,11
1,2.0,KZN,40,10,0,2,7,3,9,6,3
2,3.0,Lovely Venom,35,1,3,3,0,13,0,3,5
3,4.0,Aposentados,34,13,1,9,3,5,5,2,9
4,5.0,PPEX,34,6,4,7,0,1,7,4,0
5,6.0,Los Makias,27,2,11,6,2,14,0,13,0
6,7.0,PRDX,25,9,0,11,1,6,2,1,4
7,8.0,Duty calls,22,12,6,13,2,8,2,7,5
8,9.0,Fluxo Team,20,3,3,5,1,9,2,12,0
9,10.0,Slav Animals,15,20,0,4,7,11,0,14,1
10,11.0,Infinity Evo,14,11,0,10,4,7,3,11,0
11,12.0,Spartan Warriors,11,14,0,14,0,4,2,9,0
12,13.0,Taichi Horror,10,7,0,8,0,10,0,8,1
13,14.0,Legión de monos,6,8,0,12,0,12,0,10,0
