,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints
,Unnamed: 0_level_1,Team,Total,"Round 1 Round 1 May 7, 2022 - 16:00 BRTStorm Point 1Shoot Esports Paradox Esports SINS FIREDRAGON","Round 1 Round 1 May 7, 2022 - 16:00 BRTStorm Point 1Shoot Esports Paradox Esports SINS FIREDRAGON","Round 2 Round 2 May 7, 2022 - 16:35 BRTStorm Point GHOST E-Sports G.O.A.T. 1Shoot Esports","Round 2 Round 2 May 7, 2022 - 16:35 BRTStorm Point GHOST E-Sports G.O.A.T. 1Shoot Esports","Round 3 Round 3 May 7, 2022 - 17:10 BRTStorm Point 1Shoot Esports Insomnia FusioN E-Sport","Round 3 Round 3 May 7, 2022 - 17:10 BRTStorm Point 1Shoot Esports Insomnia FusioN E-Sport","Round 4 Round 4 May 7, 2022 - 17:45 BRTWorld's Edge 1Shoot Esports GHOST E-Sports Green Umbrella Gaming","Round 4 Round 4 May 7, 2022 - 17:45 BRTWorld's Edge 1Shoot Esports GHOST E-Sports Green Umbrella Gaming","Round 5 Round 5 May 7, 2022 - 18:20 BRTWorld's Edge Antisocial Aimers GHOST E-Sports HARDCLICKTEAM","Round 5 Round 5 May 7, 2022 - 18:20 BRTWorld's Edge Antisocial Aimers GHOST E-Sports HARDCLICKTEAM","Round 6 Round 6 May 7, 2022 - 18:55 BRTWorld's Edge Until The Last Warrior Time variat Auto FusioN E-Sport","Round 6 Round 6 May 7, 2022 - 18:55 BRTWorld's Edge Until The Last Warrior Time variat Auto FusioN E-Sport"
,Unnamed: 0_level_2,Team,Total,P,K,P,K,P,K,P,K,P,K,P,K
0,1.0,1SE,108,1,11,3,10,1,19,1,20,11,3,15,0
1,2.0,GHT,76,8,3,1,15,8,0,2,10,2,12,13,1
2,3.0,INS,59,6,9,10,0,2,8,4,6,4,4,5,4
3,4.0,FSN,47,13,3,5,4,3,7,6,4,16,1,3,6
4,5.0,PRDX,40,2,7,4,7,13,0,7,3,17,0,8,3
5,6.0,ASAIM,37,14,0,6,3,11,0,9,1,1,12,9,0
6,7.0,GUG,36,15,4,12,3,5,1,3,0,12,2,7,9
7,8.0,ULW,35,4,2,15,0,14,0,11,0,8,1,1,10
8,9.0,AIE,32,9,3,14,0,4,3,10,0,5,12,0,0
9,10.0,2k ping,22,5,0,11,0,15,3,5,0,7,0,6,3
10,11.0,SFD,22,3,2,13,0,9,2,16,0,6,0,4,0
11,12.0,HARD,19,12,0,7,1,7,0,13,0,3,2,12,0
12,13.0,GOAT,18,10,0,2,1,6,0,17,0,9,0,11,0
13,14.0,TVA,16,0,0,17,0,16,0,12,0,10,0,2,4
14,15.0,QUAS,11,7,0,9,0,12,0,15,1,14,0,10,0
15,16.0,WTN,8,11,0,16,0,10,2,8,0,15,0,0,0
16,17.0,RUA6,7,16,0,8,0,17,0,14,1,13,1,14,0
17,18.0,MALA,0,0,0,0,0,0,0,0,0,0,0,0,0
18,19.0,MVP,0,0,0,0,0,0,0,0,0,0,0,0,0
19,20.0,SIG,0,0,0,0,0,0,0,0,0,0,0,0,0
