,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints
,Unnamed: 0_level_1,Team,Total,"Round 1 Round 1 September 25, 2021 - 14:20 SGTWorld's Edge MBT.NAGA HeadHunters MDY","Round 1 Round 1 September 25, 2021 - 14:20 SGTWorld's Edge MBT.NAGA HeadHunters MDY","Round 2 Round 2 September 25, 2021 - 14:55 SGTWorld's Edge 60 Hurtz BOSS GOLD MBT.NAGA","Round 2 Round 2 September 25, 2021 - 14:55 SGTWorld's Edge 60 Hurtz BOSS GOLD MBT.NAGA","Round 3 Round 3 September 25, 2021 - 15:30 SGTWorld's Edge MDY 4Thumbs1Arm RJININ","Round 3 Round 3 September 25, 2021 - 15:30 SGTWorld's Edge MDY 4Thumbs1Arm RJININ","Round 4 Round 4 September 25, 2021 - 16:05 SGTWorld's Edge 4Thumbs1Arm Powerless MDY","Round 4 Round 4 September 25, 2021 - 16:05 SGTWorld's Edge 4Thumbs1Arm Powerless MDY"
,Unnamed: 0_level_2,Team,Total,P,K,P,K,P,K,P,K
0,1.0,MDY,76,3,7,6,13,1,12,3,15
1,2.0,MBTN,47,1,10,3,16,14,0,14,0
2,3.0,4Thumbs1Arm,34,12,0,9,3,2,3,1,4
3,4.0,HeadHunters,31,2,10,7,1,11,3,12,3
4,5.0,60 Hurtz,30,9,4,1,2,4,1,10,2
5,6.0,BOG,26,6,8,2,0,9,0,9,2
6,7.0,SNG,23,7,3,5,4,6,6,17,0
7,8.0,Warsoul Hammer,22,16,3,18,0,12,3,4,10
8,9.0,RJININ,22,15,3,8,1,3,8,16,0
9,10.0,NMLS,21,20,0,16,3,8,7,7,6
10,11.0,PWLS,21,17,0,12,6,10,2,2,1
11,12.0,EVOS,20,4,1,10,0,5,6,8,0
12,13.0,Antiaa,15,13,1,4,1,15,1,5,1
13,14.0,AU REVENGE,11,5,6,19,0,17,0,18,1
14,15.0,RebellioN,9,11,0,11,3,18,0,11,3
15,16.0,Kopi,8,10,0,15,1,13,0,6,0
16,17.0,Elegants,6,8,0,20,0,7,0,13,0
17,18.0,GOD OF DREAM,2,14,0,17,0,19,0,15,0
18,19.0,NRD,1,18,0,13,0,16,0,20,0
19,20.0,INF,1,19,0,14,0,20,0,20,0
