C vs D StandingsPlacements and killsPoints,Team,Total,P,K,P,K,P,K,P,K,P,K,P,K
1.0,GUILD,74,2,5,6,3,2,10,2,9,3,10,17,0
2.0,SZ.EU,70,3,6,5,6,1,12,4,10,8,2,11,3
3.0,NEW,68,1,14,3,6,5,5,15,1,14,6,4,6
4.0,TTM,55,14,0,16,3,6,5,5,2,6,7,1,15
5.0,ETH,38,4,4,7,5,3,3,6,3,12,0,5,0
6.0,FB,34,7,2,12,2,17,3,14,0,1,9,18,1
7.0,ALL,34,18,0,1,8,4,3,12,2,9,1,20,0
8.0,FP,34,6,1,2,8,15,0,3,0,11,0,9,2
9.0,K1CK,30,8,2,8,2,20,0,1,7,20,0,6,0
10.0,PXL,29,13,5,20,0,12,1,20,0,19,0,2,12
11.0,UND,29,17,4,14,3,10,1,7,4,7,4,10,2
12.0,FV,28,9,4,19,0,8,5,16,3,15,4,7,4
13.0,IG,28,11,1,13,1,9,1,11,2,13,5,3,5
14.0,FORG,28,5,2,9,4,7,0,9,6,5,0,15,0
15.0,CLQ,26,10,4,4,2,14,5,8,3,18,0,14,1
16.0,NMS,23,20,0,15,0,18,0,17,3,2,5,8,3
17.0,69IQ,16,16,0,17,0,13,3,10,4,10,3,16,1
18.0,YMG,13,15,1,10,1,11,6,13,0,16,0,19,0
19.0,RASC,9,19,0,18,0,19,0,18,2,4,0,13,1
20.0,USG,5,12,0,11,2,16,0,19,0,17,0,12,0
