A vs B StandingsPlacements and killsPoints,Team,Total,P,K,P,K,P,K,P,K,P,K,P,K
1.0,RBL,61,1,10,1,5,16,0,10,8,3,4,14,0
2.0,MP,54,12,3,3,2,4,5,12,3,2,8,5,6
3.0,GMT,53,3,4,19,0,3,2,18,3,4,3,1,10
4.0,GMB,47,5,4,11,0,10,7,6,6,7,2,2,6
5.0,DI,46,14,0,7,5,1,9,13,0,6,5,6,4
6.0,MYZ,42,18,0,5,8,7,3,15,0,1,11,16,0
7.0,OP,42,2,4,8,3,5,3,5,7,17,3,11,2
8.0,NAVI,37,19,0,4,4,2,6,7,4,5,2,19,0
9.0,SQG,35,15,2,6,4,12,2,4,2,9,5,10,6
10.0,DM,32,17,0,16,0,17,2,1,12,11,3,15,1
11.0,KNG,31,9,3,2,4,19,1,16,0,19,0,3,5
12.0,AP,28,10,0,12,1,13,0,2,8,15,0,8,3
13.0,CLN,24,6,3,9,3,11,3,9,0,16,3,7,1
14.0,RAT,23,13,6,17,0,15,3,14,0,8,0,4,4
15.0,789,23,4,5,15,0,18,0,11,0,10,5,9,2
16.0,TD,21,11,1,18,3,8,0,3,2,12,0,13,3
17.0,RD,19,8,2,10,6,6,3,19,0,14,0,17,0
18.0,ZETA,17,7,6,14,2,14,2,17,0,13,1,18,0
19.0,LCDF,14,16,0,13,2,9,4,8,0,18,2,12,0
20.0,UWU,0,0,0,0,0,0,0,0,0,0,0,0,0
