Standing,Team,Total,P,K,P,K,P,K,P,K,P,K,P,K
1.0,MonsTer Team,93,1,8,2,10,20,0,5,5,3,12,1,14
2.0,Duty calls,72,10,12,5,5,5,8,1,10,5,8,11,2
3.0,ZETTA,46,3,3,7,2,18,0,2,7,8,4,4,4
4.0,SLU,46,2,1,1,5,3,5,4,2,20,0,18,0
5.0,USB,42,15,1,16,1,2,9,18,0,1,5,6,1
6.0,TK,40,9,2,19,2,12,2,3,14,4,2,13,2
7.0,ElemenT,38,5,10,8,3,11,0,19,0,17,1,3,10
8.0,Online,34,7,1,6,2,1,10,14,0,14,1,16,0
9.0,OMEGA,32,4,1,20,0,4,1,8,1,12,3,2,4
10.0,AGCL,31,8,2,3,5,9,2,9,2,9,0,5,1
11.0,Fluxo Team,30,14,0,11,3,17,3,16,0,2,5,7,5
12.0,PVP,24,11,3,17,0,13,7,11,2,7,3,9,1
13.0,Seven,24,20,0,4,5,10,1,17,2,6,1,8,3
14.0,AIM,22,12,2,18,0,16,1,13,5,10,8,12,1
15.0,AsheTeam,22,6,5,15,4,7,3,20,0,11,0,15,1
16.0,Lovely Venom,17,16,0,10,2,6,5,6,0,16,0,10,0
17.0,ICEBERGS,13,13,1,14,0,7,0,10,0,15,0,14,3
18.0,UltiMaTuM,12,19,0,9,2,19,0,15,1,13,5,19,0
19.0,KPS,4,17,0,20,0,15,0,7,0,18,0,17,0
20.0,Mystical,3,18,0,13,0,14,0,12,0,19,0,20,0
