,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints
,Unnamed: 0_level_1,Team,Total,"Round 1 Round 1 October 30, 2021 - 16:00 SGTWorld's Edge XSpark Sutoraiku DreamFire","Round 1 Round 1 October 30, 2021 - 16:00 SGTWorld's Edge XSpark Sutoraiku DreamFire","Round 2 Round 2 October 30, 2021 - 16:35 SGTWorld's Edge Monkeyz ATHXHVY Inside The Ring","Round 2 Round 2 October 30, 2021 - 16:35 SGTWorld's Edge Monkeyz ATHXHVY Inside The Ring","Round 3 Round 3 October 30, 2021 - 17:10 SGTWorld's Edge Primis Komanda StinkyB Inside The Ring","Round 3 Round 3 October 30, 2021 - 17:10 SGTWorld's Edge Primis Komanda StinkyB Inside The Ring","Round 4 Round 4 October 30, 2021 - 17:45 SGTWorld's Edge ATHXHVY Inside The Ring BRP","Round 4 Round 4 October 30, 2021 - 17:45 SGTWorld's Edge ATHXHVY Inside The Ring BRP","Round 5 Round 5 October 30, 2021 - 18:20 SGTWorld's Edge DNZ Inside The Ring EXO Clan","Round 5 Round 5 October 30, 2021 - 18:20 SGTWorld's Edge DNZ Inside The Ring EXO Clan","Round 6 Round 6 October 30, 2021 - 18:55 SGTWorld's Edge EXO Clan WEAREGODGAMERS Kakkoii","Round 6 Round 6 October 30, 2021 - 18:55 SGTWorld's Edge EXO Clan WEAREGODGAMERS Kakkoii"
,Unnamed: 0_level_2,Team,Total,P,K,P,K,P,K,P,K,P,K,P,K
0,1.0,ATH,56,4,3,2,7,13,1,1,7,14,0,4,5
1,2.0,EXO,54,13,1,8,5,15,1,5,2,3,9,1,9
2,3.0,ITR,47,9,4,3,2,3,0,2,4,2,3,19,0
3,4.0,STK,41,2,7,17,0,5,2,4,8,15,0,6,2
4,5.0,PK,40,6,2,6,1,1,13,18,2,19,0,13,3
5,6.0,DNZ,40,15,1,5,1,9,0,8,6,1,9,11,1
6,7.0,DF,40,3,7,9,5,14,3,9,0,13,2,7,7
7,8.0,KAK,40,10,6,7,8,8,3,15,0,10,1,3,5
8,9.0,MON,39,12,4,1,7,7,1,11,0,5,6,16,0
9,10.0,WGG,38,14,2,19,0,4,8,13,0,7,2,2,7
10,11.0,STB,38,18,1,16,3,2,4,10,1,8,9,9,5
11,12.0,MDY,34,7,0,12,4,10,3,6,15,17,3,20,0
12,13.0,TX,33,1,8,11,1,18,0,7,2,9,1,18,3
13,14.0,BRP,33,5,3,10,3,11,1,3,3,18,2,5,3
14,15.0,RET,28,17,2,4,4,6,8,16,3,11,0,14,1
15,16.0,WHIZ,20,20,0,14,3,20,0,12,0,4,9,12,0
16,17.0,AMG TW,16,11,5,15,3,17,0,19,0,6,2,15,0
17,18.0,PG,11,16,0,13,1,12,0,14,0,12,0,8,4
18,19.0,RL.XV,8,8,3,18,0,16,1,20,0,20,0,10,0
19,20.0,Azure,6,19,0,20,0,19,3,17,0,16,0,17,3
