,A vs B StandingsPlacements and killsPoints,A vs B StandingsPlacements and killsPoints,A vs B StandingsPlacements and killsPoints,A vs B StandingsPlacements and killsPoints,A vs B StandingsPlacements and killsPoints,A vs B StandingsPlacements and killsPoints,A vs B StandingsPlacements and killsPoints,A vs B StandingsPlacements and killsPoints,A vs B StandingsPlacements and killsPoints,A vs B StandingsPlacements and killsPoints,A vs B StandingsPlacements and killsPoints,A vs B StandingsPlacements and killsPoints,A vs B StandingsPlacements and killsPoints,A vs B StandingsPlacements and killsPoints,A vs B StandingsPlacements and killsPoints
,Unnamed: 0_level_1,Team,Total,"Round 1 Round 1 December 4, 2021 - 12:00 SGTWorld's Edge Reignite XSpark EXO Clan","Round 1 Round 1 December 4, 2021 - 12:00 SGTWorld's Edge Reignite XSpark EXO Clan","Round 2 Round 2 December 4, 2021 - 12:35 SGTWorld's Edge Sutoraiku We Are Trash NXL WOLFPACK","Round 2 Round 2 December 4, 2021 - 12:35 SGTWorld's Edge Sutoraiku We Are Trash NXL WOLFPACK","Round 3 Round 3 December 4, 2021 - 13:10 SGTWorld's Edge ATHXHVY Reignite Sutoraiku","Round 3 Round 3 December 4, 2021 - 13:10 SGTWorld's Edge ATHXHVY Reignite Sutoraiku","Round 4 Round 4 December 4, 2021 - 13:45 SGTWorld's Edge We Are Trash Reignite Pavlova","Round 4 Round 4 December 4, 2021 - 13:45 SGTWorld's Edge We Are Trash Reignite Pavlova","Round 5 Round 5 December 4, 2021 - 14:20 SGTWorld's Edge EXO Clan XSpark ATHXHVY","Round 5 Round 5 December 4, 2021 - 14:20 SGTWorld's Edge EXO Clan XSpark ATHXHVY","Round 6 Round 6 December 4, 2021 - 14:55 SGTWorld's Edge NXL WOLFPACK ATHXHVY Sutoraiku","Round 6 Round 6 December 4, 2021 - 14:55 SGTWorld's Edge NXL WOLFPACK ATHXHVY Sutoraiku"
,Unnamed: 0_level_2,Team,Total,P,K,P,K,P,K,P,K,P,K,P,K
0,1.0,STK,71,14,6,1,17,3,9,8,2,11,0,3,7
1,2.0,ATH,69,12,0,4,4,1,9,9,0,3,10,2,10
2,3.0,EXO,67,3,10,9,5,18,0,6,7,1,12,5,5
3,4.0,RIG,66,1,10,7,5,2,2,2,7,19,0,4,4
4,5.0,NXL,63,17,0,3,5,5,9,7,12,6,1,1,7
5,6.0,TX,48,2,7,14,0,6,5,15,4,2,9,20,0
6,7.0,WAT,43,6,0,2,10,19,0,1,7,14,0,16,1
7,8.0,KAK,29,16,3,8,0,4,7,17,1,15,6,15,3
8,9.0,RET,29,10,0,6,2,11,2,12,0,7,8,19,7
9,10.0,PK,27,13,0,13,0,15,0,5,3,5,7,6,3
10,11.0,Pavlova,27,5,2,10,2,10,4,3,2,16,0,17,2
11,12.0,M2M,25,19,0,5,6,17,3,4,3,12,0,11,2
12,13.0,GS,22,8,8,17,0,12,0,10,3,20,0,7,3
13,14.0,EVO BERZ,21,4,5,12,0,8,0,13,0,4,0,9,0
14,15.0,AMG TW,14,9,0,15,0,14,0,14,2,10,3,8,0
15,16.0,PHN,13,20,0,20,0,13,7,19,4,18,0,13,0
16,17.0,DNZ,11,15,5,19,0,16,0,20,0,13,0,10,2
17,18.0,Azure,11,18,0,11,0,9,0,11,3,9,0,14,1
18,19.0,Xenomorph,8,7,4,16,0,20,0,16,0,17,0,12,0
19,20.0,Estrell,8,11,2,18,0,7,0,18,0,8,0,18,0
