,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints
,Unnamed: 0_level_1,Team,Total,"Round 1 Round 1 September 12, 2021 - 14:00 BSTWorld's Edge Morning Stars Top Dogs Mat For Victory","Round 1 Round 1 September 12, 2021 - 14:00 BSTWorld's Edge Morning Stars Top Dogs Mat For Victory","Round 2 Round 2 September 12, 2021 - 14:35 BSTWorld's Edge GIGI DungeonMast33rs Morning Stars","Round 2 Round 2 September 12, 2021 - 14:35 BSTWorld's Edge GIGI DungeonMast33rs Morning Stars","Round 3 Round 3 September 12, 2021 - 15:10 BSTWorld's Edge Ethernal AAS UTFT","Round 3 Round 3 September 12, 2021 - 15:10 BSTWorld's Edge Ethernal AAS UTFT","Round 4 Round 4 September 12, 2021 - 15:45 BSTWorld's Edge GIGI Ethernal TRIHARD","Round 4 Round 4 September 12, 2021 - 15:45 BSTWorld's Edge GIGI Ethernal TRIHARD","Round 5 Round 5 September 12, 2021 - 16:20 BSTWorld's Edge BORGIR Phoenix Legacy TRIHARD","Round 5 Round 5 September 12, 2021 - 16:20 BSTWorld's Edge BORGIR Phoenix Legacy TRIHARD","Round 6 Round 6 September 12, 2021 - 16:55 BSTWorld's Edge FIGVAM Ethernal LegionF","Round 6 Round 6 September 12, 2021 - 16:55 BSTWorld's Edge FIGVAM Ethernal LegionF"
,Unnamed: 0_level_2,Team,Total,P,K,P,K,P,K,P,K,P,K,P,K
0,1.0,ETH,62,7,3,13,1,1,7,2,6,4,4,2,2
1,2.0,TD,55,2,8,11,3,11,1,6,5,5,9,5,7
2,3.0,AAS,55,4,6,7,4,2,13,5,4,13,2,11,3
3,4.0,SMS,53,1,12,3,4,5,4,12,1,18,3,15,4
4,5.0,GIGI,52,9,0,1,6,20,0,1,14,10,4,19,0
5,6.0,FV,49,8,6,8,4,4,5,9,0,14,2,1,8
6,7.0,BGR,44,12,5,9,3,13,2,10,0,1,8,10,6
7,8.0,TRIHARD,37,17,3,12,2,12,0,3,5,3,7,9,2
8,9.0,AUS,32,16,0,5,6,10,3,14,3,8,1,4,5
9,10.0,BCG,31,10,0,4,9,15,1,17,0,7,3,14,6
10,11.0,LGN,31,11,3,6,2,6,0,7,2,6,2,6,6
11,12.0,6bnt,28,6,5,17,3,8,2,4,3,12,1,8,1
12,13.0,DM,28,19,0,2,7,19,0,8,5,9,3,18,0
13,14.0,PXL,26,15,0,19,2,18,5,20,0,2,5,7,1
14,15.0,LegionF,18,18,0,20,0,17,3,19,0,17,0,3,8
15,16.0,SPIRAL,15,5,2,18,0,9,3,13,0,11,1,13,0
16,17.0,UTFT,13,14,0,16,0,3,2,15,0,15,0,12,0
17,18.0,Mat For Victory,12,3,2,15,0,16,1,18,0,19,0,17,1
18,19.0,MP,11,13,1,10,1,14,3,16,1,16,0,16,1
19,20.0,Hope Die Last,10,20,0,14,1,7,2,11,2,20,0,20,0
