Standing,Team,Total,P,K,P.1,K.1,P.2,K.2,P.3,K.3,Lobby,Round,P.4,K.4,P.5,K.5
1.0,Fada-one Arcana,49,54,88,73,44,112,1010,82,66,Lobby 1,Round_1,,,,
2.0,RDNS,42,37,44,63,88,37,55,45,33,Lobby 1,Round_1,,,,
3.0,NEXT ALTAIR,37,63,0,37,44,151,0,112,1010,Lobby 1,Round_1,,,,
4.0,NegiNuki,33,45,33,45,0,131,11,37,1111,Lobby 1,Round_1,,,,
5.0,JDT,29,29,55,82,22,63,33,54,11,Lobby 1,Round_1,,,,
6.0,Serpens,29,102,0,112,1111,141,0,73,0,Lobby 1,Round_1,,,,
7.0,0_Reverse,28,112,99,141,0,73,22,111,0,Lobby 1,Round_1,,,,
8.0,RAZE,27,111,22,29,55,54,33,63,0,Lobby 1,Round_1,,,,
9.0,BEXT,27,73,0,54,55,82,11,29,33,Lobby 1,Round_1,,,,
10.0,EGJP,21,82,66,121,33,121,22,131,55,Lobby 1,Round_1,,,,
11.0,BlackGorillaN,21,151,11,131,0,29,55,121,33,Lobby 1,Round_1,,,,
12.0,SUK,17,141,0,151,0,45,66,92,22,Lobby 1,Round_1,,,,
13.0,KaisenDONDON,11,92,22,102,0,111,0,102,22,Lobby 1,Round_1,,,,
14.0,HIT,9,131,11,111,0,92,33,151,0,Lobby 1,Round_1,,,,
15.0,LandMarkGondola,7,121,0,92,0,102,11,141,0,Lobby 1,Round_1,,,,
1.0,EXiA KR,58,112,99,141,0,112,2020,121,33,Lobby 2,Round_1,,,,
2.0,Trick or Treat,43,37,11,29,33,102,22,112,77,Lobby 2,Round_1,,,,
3.0,ICHC,40,45,77,112,1414,141,0,131,0,Lobby 2,Round_1,,,,
4.0,RAVENS,37,63,44,45,55,54,11,29,66,Lobby 2,Round_1,,,,
5.0,Zenith,34,82,44,63,11,37,66,45,66,Lobby 2,Round_1,,,,
6.0,SyS,33,54,33,37,0,29,44,54,22,Lobby 2,Round_1,,,,
7.0,Solid,28,131,0,73,66,82,22,37,77,Lobby 2,Round_1,,,,
8.0,We Can Do it,27,29,77,92,0,92,11,102,44,Lobby 2,Round_1,,,,
9.0,LapiLegends,16,102,11,82,55,63,0,141,22,Lobby 2,Round_1,,,,
10.0,OC,15,73,22,54,33,111,0,92,0,Lobby 2,Round_1,,,,
11.0,IR,12,92,0,111,0,73,22,63,11,Lobby 2,Round_1,,,,
12.0,Ignition,11,121,0,102,22,45,0,111,0,Lobby 2,Round_1,,,,
13.0,BeastMode,9,111,0,121,33,121,0,82,11,Lobby 2,Round_1,,,,
14.0,WOW.AXIS,7,141,0,131,0,131,11,73,0,Lobby 2,Round_1,,,,
1.0,Crest,59,37,44,63,0,112,1313,112,88,Lobby 3,Round_1,,,,
2.0,shes,54,112,1414,73,1111,111,33,37,33,Lobby 3,Round_1,,,,
3.0,ARK5,40,29,66,37,33,73,66,82,44,Lobby 3,Round_1,,,,
4.0,TSURUGI,29,73,33,45,55,54,77,121,11,Lobby 3,Round_1,,,,
5.0,LLGS,28,45,44,111,11,63,11,29,44,Lobby 3,Round_1,,,,
6.0,ScL,27,102,0,29,55,37,33,131,0,Lobby 3,Round_1,,,,
7.0,CPGaming,24,82,44,54,11,29,11,73,0,Lobby 3,Round_1,,,,
8.0,C-VA KAG,23,131,22,121,33,141,0,45,1010,Lobby 3,Round_1,,,,
9.0,Fada-one KR,22,141,0,112,55,92,11,141,0,Lobby 3,Round_1,,,,
10.0,WYV,20,63,11,102,33,82,55,92,22,Lobby 3,Round_1,,,,
11.0,APEX反省会,15,121,0,92,0,45,0,54,33,Lobby 3,Round_1,,,,
12.0,Eclat,10,54,0,82,0,121,0,63,0,Lobby 3,Round_1,,,,
13.0,MIX-ONE,7,111,0,141,0,131,0,111,33,Lobby 3,Round_1,,,,
14.0,ORC,7,92,0,131,0,102,0,102,0,Lobby 3,Round_1,,,,
