,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints
,Unnamed: 0_level_1,Team,Total,"Round 1 Round 1 January 8, 2022 - 16:00 GMTWorld's Edge soloQgoats ZBW Priests","Round 1 Round 1 January 8, 2022 - 16:00 GMTWorld's Edge soloQgoats ZBW Priests","Round 2 Round 2 January 8, 2022 - 16:30 GMTWorld's Edge soloQgoats ATK Fenerbahçe Esports","Round 2 Round 2 January 8, 2022 - 16:30 GMTWorld's Edge soloQgoats ATK Fenerbahçe Esports","Round 3 Round 3 January 8, 2022 - 17:00 GMTWorld's Edge soloQgoats Clique Esports Steamroller","Round 3 Round 3 January 8, 2022 - 17:00 GMTWorld's Edge soloQgoats Clique Esports Steamroller","Round 4 Round 4 January 8, 2022 - 17:30 GMTWorld's Edge Fenerbahçe EsportsMissing: 6 anok na troih Team Huskies Esports","Round 4 Round 4 January 8, 2022 - 17:30 GMTWorld's Edge Fenerbahçe EsportsMissing: 6 anok na troih Team Huskies Esports","Round 5 Round 5 January 8, 2022 - 18:00 GMTWorld's Edge Chichivica Steamroller Team Huskies Esports","Round 5 Round 5 January 8, 2022 - 18:00 GMTWorld's Edge Chichivica Steamroller Team Huskies Esports","Round 6 Round 6 January 8, 2022 - 18:30 GMTWorld's Edge ZBW Priests 6 banok na troih","Round 6 Round 6 January 8, 2022 - 18:30 GMTWorld's Edge ZBW Priests 6 banok na troih"
,Unnamed: 0_level_2,Team,Total,P,K,P,K,P,K,P,K,P,K,P,K
0,1.0,SQG,81,1,14,1,7,1,9,5,7,15,3,16,0
1,2.0,ZBW,63,2,5,11,1,13,0,6,5,4,8,1,13
2,3.0,FB,57,13,1,3,10,4,4,1,10,12,6,17,0
3,4.0,PRSTS,48,3,10,12,3,6,4,13,0,9,1,2,7
4,5.0,CHI,47,8,2,5,4,8,2,12,0,1,14,11,3
5,6.0,6bnt,38,10,0,6,3,11,4,2,5,11,0,3,3
6,7.0,AP,37,5,5,4,4,10,3,14,1,5,3,9,3
7,8.0,HKE,35,12,0,15,0,7,0,3,3,3,5,7,5
8,9.0,CLQ,34,0,0,18,0,2,9,4,5,18,0,4,1
9,10.0,CRAZYx3,32,4,2,8,2,15,3,11,3,8,2,5,5
10,11.0,TRJ,28,11,1,9,6,5,3,7,2,6,0,15,2
11,12.0,Steamroller,27,16,0,14,0,3,4,18,0,2,1,8,3
12,13.0,NoHalo,26,7,0,13,1,9,0,8,7,10,6,10,0
13,14.0,ATK,25,14,0,2,10,16,0,15,0,16,0,12,3
14,15.0,NXB,18,17,0,17,0,12,3,16,2,7,1,6,5
15,16.0,HNY,14,9,3,16,0,14,2,10,0,14,3,18,0
16,17.0,SPPI,13,15,0,7,1,17,2,9,1,13,0,13,1
17,18.0,WLS,12,6,5,10,0,18,0,17,0,17,1,14,0
18,19.0,INS,0,0,0,0,0,0,0,0,0,0,0,0,0
19,20.0,backseat,0,0,0,0,0,0,0,0,0,0,0,0,0
