Standing,Team,Total,P,K,P,K,P,K,P,K,P,K,P,K
1.0,OF,88,1,15,14,3,1,19,11,2,2,12,9,0
2.0,TBG,62,2,3,4,4,4,4,6,3,1,13,17,1
3.0,GUG,61,8,1,1,16,17,0,1,12,8,0,6,1
4.0,BTH,60,7,0,11,2,3,0,2,9,9,0,1,15
5.0,NG,47,5,8,18,0,7,4,3,5,13,4,4,6
6.0,NAVY,37,3,2,10,1,10,3,8,2,3,5,8,2
7.0,AIE,33,10,7,9,2,14,0,10,6,10,6,13,2
8.0,ElemenT,32,9,1,17,0,6,4,12,3,15,0,2,8
9.0,OMEGA,29,11,0,2,7,5,2,13,0,7,1,15,0
10.0,SolarX,27,12,3,13,0,2,3,5,4,11,0,11,0
11.0,SST,27,14,1,3,6,15,0,17,0,5,1,5,2
12.0,4BIDDEN,25,17,0,16,0,11,3,9,0,6,2,3,7
13.0,AK47,21,15,3,8,1,13,2,16,0,4,3,7,0
14.0,Mafia Legends,20,13,0,7,1,16,1,7,3,16,2,10,4
15.0,Sword of Destiny,17,6,4,5,3,8,0,14,0,0,0,0,0
16.0,Love Egirls,17,4,0,12,2,12,1,4,1,14,0,16,0
17.0,Os Minhauu,9,18,0,6,0,9,1,15,0,12,0,12,0
18.0,RAV,2,16,0,15,0,18,0,18,0,17,0,14,0
19.0,Duty calls,0,0,0,0,0,0,0,0,0,0,0,0,0
20.0,Mystical,0,0,0,0,0,0,0,0,0,0,0,0,0
