,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints
,Unnamed: 0_level_1,Team,Total,"Round 1 Round 1 March 20, 2022 - 12:00 JSTWorld's Edge Etoiles DSG 2nd人生始まりー","Round 1 Round 1 March 20, 2022 - 12:00 JSTWorld's Edge Etoiles DSG 2nd人生始まりー","Round 2 Round 2 March 20, 2022 - 12:35 JSTWorld's Edge DON LFT VMJ Syth Gaming","Round 2 Round 2 March 20, 2022 - 12:35 JSTWorld's Edge DON LFT VMJ Syth Gaming","Round 3 Round 3 March 20, 2022 - 13:10 JSTWorld's Edge DSG Ichariba Chode NoTeam","Round 3 Round 3 March 20, 2022 - 13:10 JSTWorld's Edge DSG Ichariba Chode NoTeam","Round 4 Round 4 March 20, 2022 - 13:45 JSTStorm Point DSG Team Nature O2 esports","Round 4 Round 4 March 20, 2022 - 13:45 JSTStorm Point DSG Team Nature O2 esports","Round 5 Round 5 March 20, 2022 - 14:20 JSTStorm Point Ichariba Chode Crow 2nd人生始まりー","Round 5 Round 5 March 20, 2022 - 14:20 JSTStorm Point Ichariba Chode Crow 2nd人生始まりー","Round 6 Round 6 March 20, 2022 - 14:55 JSTStorm Point Crow AXIZ Etoiles","Round 6 Round 6 March 20, 2022 - 14:55 JSTStorm Point Crow AXIZ Etoiles"
,Unnamed: 0_level_2,Team,Total,P,K,P,K,P,K,P,K,P,K,P,K
0,1.0,DSG,98,2,16,6,9,1,16,1,13,8,6,19,0
1,2.0,CRW,60,19,3,13,3,15,2,6,3,2,13,1,10
2,3.0,VMJ,52,7,10,2,10,14,2,15,0,20,0,5,12
3,4.0,2ND,50,3,4,10,1,5,3,7,6,3,7,10,4
4,5.0,ETOLS,44,1,9,9,1,12,5,9,0,16,1,3,4
5,6.0,O2,38,8,3,16,0,9,2,3,9,6,5,7,2
6,7.0,NAT,37,12,0,7,5,6,5,2,3,10,2,6,1
7,8.0,ICHC,35,6,0,17,1,2,3,19,0,1,6,14,0
8,9.0,AXIZ,34,9,2,12,1,8,0,20,0,4,2,2,10
9,10.0,NT,33,4,3,14,3,3,4,18,0,18,0,4,5
10,11.0,DON,29,10,0,1,8,10,2,11,0,9,0,20,0
11,12.0,GEMI,24,5,5,8,3,17,0,8,0,5,2,9,0
12,13.0,VS,23,18,0,19,0,13,2,5,8,13,3,8,2
13,14.0,NVS,21,17,0,5,1,7,2,13,2,11,7,18,0
14,15.0,SYTH,18,16,0,3,1,11,2,14,3,14,1,16,1
15,16.0,EVA:E,17,11,0,11,3,4,3,10,1,17,0,15,0
16,17.0,VEX,15,14,1,4,3,19,1,17,0,15,2,11,0
17,18.0,BeastMode,14,15,0,18,0,16,3,12,4,12,0,12,3
18,19.0,HGC,14,20,0,20,0,18,1,4,3,7,2,17,0
19,20.0,RDNS,8,13,0,15,0,20,0,16,1,19,0,13,4
