,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints
,Unnamed: 0_level_1,Team,Total,"Round 1 Round 1 October 23, 2021 - 12:00 JSTWorld's Edge Schwarzerland SyS RAZE e-sports","Round 1 Round 1 October 23, 2021 - 12:00 JSTWorld's Edge Schwarzerland SyS RAZE e-sports","Round 2 Round 2 October 23, 2021 - 12:35 JSTWorld's Edge Nesie Family RAZE e-sports NANB","Round 2 Round 2 October 23, 2021 - 12:35 JSTWorld's Edge Nesie Family RAZE e-sports NANB","Round 3 Round 3 October 23, 2021 - 13:10 JSTWorld's Edge shes NANB Root Union Gaming","Round 3 Round 3 October 23, 2021 - 13:10 JSTWorld's Edge shes NANB Root Union Gaming","Round 4 Round 4 October 23, 2021 - 13:45 JSTWorld's Edge shes SyS YaBaL","Round 4 Round 4 October 23, 2021 - 13:45 JSTWorld's Edge shes SyS YaBaL"
,Unnamed: 0_level_2,Team,Total,P,K,P,K,P,K,P,K
0,1.0,shes,62,92,22,73,88,112,1111,112,1212
1,2.0,NANB,39,54,22,37,33,29,44,45,55
2,3.0,SyS,38,29,66,63,33,73,22,29,33
3,4.0,NFM,37,63,11,112,99,102,44,73,33
4,5.0,RAZE,33,37,66,29,44,63,11,111,22
5,6.0,ScL,32,112,88,54,33,92,0,102,11
6,7.0,Solid,22,45,55,111,33,54,22,92,0
7,8.0,GEMI,20,73,33,92,0,111,0,63,88
8,9.0,RUG,20,111,0,45,0,37,44,82,11
9,10.0,YaBaL,18,121,0,131,0,45,44,37,0
10,11.0,BeastMode,10,200,0,82,33,121,0,54,0
11,12.0,Fortuna,8,102,0,102,0,82,11,131,0
12,13.0,EB,5,82,0,121,0,131,0,121,0
